Theories,SU2nf4,SU2adj1nf2,SU6s1a1A2F8nf1,SU6adj1s1A1F8nf1,SU3adj1nf2,SU5s1a1A2F8nf0,SU3nf6,SU5s1a1A2F8nf1,SU6s2S2nf1,SU10s2A2F16nf1,SU8s1S2a1f8nf1
SU2nf4,0.0,0.976,1.0,0.999,0.8790000000000001,1.0,0.9904999999999999,1.0,1.0,1.0,0.999
SU2adj1nf2,0.976,0.0,1.0,0.9995,0.9410000000000001,1.0,0.9914999999999999,1.0,1.0,1.0,0.999
SU6s1a1A2F8nf1,1.0,1.0,0.0,0.6155,1.0,0.9484999999999999,1.0,0.9484999999999999,0.7945,1.0,0.74
SU6adj1s1A1F8nf1,0.999,0.9995,0.6155,0.0,0.999,0.833,0.9960000000000001,0.833,0.6775,1.0,0.74
SU3adj1nf2,0.8790000000000001,0.9410000000000001,1.0,0.999,0.0,1.0,0.962,1.0,1.0,1.0,0.9979999999999999
SU5s1a1A2F8nf0,1.0,1.0,0.9484999999999999,0.833,1.0,0.0,0.9995,0.9375000000000002,0.6855,1.0,0.9800000000000001
SU3nf6,0.9904999999999999,0.9914999999999999,1.0,0.9960000000000001,0.962,0.9995,0.0,1.0,0.998,1.0,0.9969999999999999
SU5s1a1A2F8nf1,1.0,1.0,0.9484999999999999,0.833,1.0,0.9375000000000002,1.0,0.0,0.7855000000000001,1.0,0.9239999999999998
SU6s2S2nf1,1.0,1.0,0.7945,0.6775,1.0,0.6855,0.998,0.7855000000000001,0.0,1.0,0.9530000000000001
SU10s2A2F16nf1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
SU8s1S2a1f8nf1,0.999,0.999,0.74,0.74,0.9979999999999999,0.9800000000000001,0.9969999999999999,0.9239999999999998,0.9530000000000001,1.0,0.0
