Theories,SU2nf4,SU2adj1nf2,SU6s1a1A2F8nf1,SU6adj1s1A1F8nf1,SU3adj1nf2,SU5s1a1A2F8nf0,SU3nf6,SU5s1a1A2F8nf1,SU6s2S2nf1,SU10s2A2F16nf1,SU8s1S2a1f8nf1
SU2nf4,0.0,0.9995,0.999,0.9949999999999999,0.9995,0.9984999999999999,0.982,0.9995,0.9979999999999999,0.998,1.0
SU2adj1nf2,0.9995,0.0,0.9225000000000001,0.8384999999999998,0.5975,0.9574999999999999,0.9369999999999999,0.9494999999999999,0.594,0.9984999999999999,0.736
SU6s1a1A2F8nf1,0.999,0.9225000000000001,0.0,0.7885,0.8564999999999999,0.7140000000000001,0.7675,0.722,0.9065,0.9984999999999999,0.7365
SU6adj1s1A1F8nf1,0.9949999999999999,0.8384999999999998,0.7885,0.0,0.78,0.819,0.8089999999999999,0.6735,0.6845000000000001,0.9875,0.552
SU3adj1nf2,0.9995,0.5975,0.8564999999999999,0.78,0.0,0.8885,0.8809999999999999,0.9199999999999999,0.6090000000000001,0.9984999999999999,0.7355
SU5s1a1A2F8nf0,0.9984999999999999,0.9574999999999999,0.7140000000000001,0.819,0.8885,0.0,0.9450000000000001,0.9324999999999999,0.9585000000000001,0.998,0.7365
SU3nf6,0.982,0.9369999999999999,0.7675,0.8089999999999999,0.8809999999999999,0.9450000000000001,0.0,0.9109999999999999,0.9329999999999998,0.9974999999999999,0.7535000000000001
SU5s1a1A2F8nf1,0.9995,0.9494999999999999,0.722,0.6735,0.9199999999999999,0.9324999999999999,0.9109999999999999,0.0,0.9510000000000002,0.9984999999999999,0.7255
SU6s2S2nf1,0.9979999999999999,0.594,0.9065,0.6845000000000001,0.6090000000000001,0.9585000000000001,0.9329999999999998,0.9510000000000002,0.0,0.9219999999999999,0.6525000000000001
SU10s2A2F16nf1,0.998,0.9984999999999999,0.9984999999999999,0.9875,0.9984999999999999,0.998,0.9974999999999999,0.9984999999999999,0.9219999999999999,0.0,0.7605000000000001
SU8s1S2a1f8nf1,1.0,0.736,0.7365,0.552,0.7355,0.7365,0.7535000000000001,0.7255,0.6525000000000001,0.7605000000000001,0.0
