Theories,SU2nf4,SU2adj1nf2,SU6s1a1A2F8nf1,SU6adj1s1A1F8nf1,SU3adj1nf2,SU5s1a1A2F8nf0,SU3nf6,SU5s1a1A2F8nf1,SU6s2S2nf1,SU10s2A2F16nf1,SU8s1S2a1f8nf1,Sp2adj1a2nf4,SU5adj1s1A1F8nf0,SU9s2A2F16nf0,SO5adj1nf2,SU7a2A2nf1,Sp2s1a2nf0,Sp2adj1nf1,SU5s1S1a1A1nf1,SU4adj2a1A1nf1,Sp2s2a1nf1,Sp2s1a1nf2,Sp2s1a2nf1,SU5adj1a2A2nf1,Sp3a3nf1,SU4a3A3nf1,Sp2s2nf1,Sp2adj2nf2,SU3adj1nf3,SU4adj2a1A1nf0,Sp4a3nf0,SO12s2nf1,SU2adj1nf3,SU3adj2nf2,SU5a3A3nf0,SU7s1S2a1f8nf0,SU4adj1a2A2nf1,SU4s1S1a2A2nf1,SO5nf5,SU2adj2nf1,Sp4s1a1nf1,SU5s1S1a2A2nf1
SU2nf4,0.0,0.9858333333333332,1.0,0.9991666666666668,0.8975,1.0,0.9925,1.0,1.0,1.0,0.9974999999999999,0.99,1.0,1.0,0.9966666666666667,1.0,0.9724999999999999,0.905,1.0,0.9799999999999999,0.9275,0.9366666666666665,0.9766666666666666,0.9316666666666666,1.0,0.9758333333333333,0.975,0.9125000000000002,0.9833333333333334,0.9549999999999998,0.9908333333333335,0.6575,0.8666666666666666,0.9841666666666666,1.0,1.0,0.9983333333333334,1.0,0.9841666666666666,0.675,1.0,0.9966666666666667
SU2adj1nf2,0.9858333333333332,0.0,1.0,0.9991666666666668,0.9608333333333334,1.0,0.9941666666666666,1.0,1.0,1.0,0.9983333333333334,0.9975000000000002,1.0,1.0,0.9966666666666667,1.0,0.9733333333333333,0.9466666666666667,1.0,0.9799999999999999,0.9550000000000001,0.9366666666666665,0.9866666666666667,0.9316666666666666,1.0,0.9866666666666667,0.9816666666666667,0.9491666666666667,0.9891666666666665,0.9783333333333333,0.9908333333333335,0.6575,0.9858333333333332,0.9908333333333335,1.0,1.0,0.9983333333333334,1.0,1.0,0.6291666666666667,1.0,0.9966666666666667
SU6s1a1A2F8nf1,1.0,1.0,0.0,0.6141666666666666,1.0,0.9433333333333334,1.0,0.9433333333333334,0.785,1.0,0.7333333333333333,1.0,0.9841666666666666,1.0,1.0,0.9433333333333334,1.0,1.0,0.9691666666666666,0.9983333333333334,1.0,1.0,1.0,0.9599999999999997,0.9974999999999999,1.0,1.0,1.0,1.0,1.0,0.9433333333333334,0.6183333333333332,1.0,1.0,0.9841666666666666,0.8425,0.9991666666666668,0.9966666666666667,1.0,1.0,0.9433333333333334,0.9433333333333334
SU6adj1s1A1F8nf1,0.9991666666666668,0.9991666666666668,0.6141666666666666,0.0,0.9983333333333334,0.8291666666666666,0.9975000000000002,0.8291666666666666,0.6683333333333332,1.0,0.7333333333333333,0.985,0.8825,1.0,0.9975000000000002,0.8291666666666666,0.9975000000000002,0.9983333333333334,0.835,0.9625,0.9950000000000001,0.9975000000000002,0.9975000000000002,0.8333333333333334,0.9433333333333334,0.975,0.9950000000000001,0.9941666666666666,0.9975000000000002,0.9775,0.8291666666666666,0.6183333333333332,0.9983333333333334,0.9975000000000002,0.8791666666666667,0.8425,0.9650000000000001,0.9433333333333334,0.9975000000000002,0.9991666666666668,0.8291666666666666,0.8291666666666666
SU3adj1nf2,0.8975,0.9608333333333334,1.0,0.9983333333333334,0.0,1.0,0.9716666666666665,1.0,1.0,1.0,0.9974999999999999,0.9416666666666667,0.9975000000000002,1.0,0.9508333333333333,1.0,0.9008333333333335,0.8466666666666667,0.9949999999999999,0.9708333333333332,0.8433333333333334,0.9258333333333333,0.9733333333333333,0.9316666666666666,0.9491666666666665,0.975,0.9691666666666666,0.865,0.9349999999999999,0.7641666666666668,0.985,0.6575,0.8908333333333334,0.9683333333333334,1.0,1.0,0.9925,1.0,0.6841666666666667,0.9458333333333334,1.0,0.9966666666666667
SU5s1a1A2F8nf0,1.0,1.0,0.9433333333333334,0.8291666666666666,1.0,0.0,0.9991666666666668,0.8808333333333334,0.6858333333333334,1.0,0.9858333333333332,0.9949999999999999,0.9216666666666665,1.0,1.0,0.8666666666666666,1.0,1.0,0.8358333333333332,0.9908333333333333,0.9949999999999999,0.9974999999999999,0.9958333333333332,0.5916666666666666,0.9866666666666666,0.9933333333333334,0.9949999999999999,0.9949999999999999,1.0,0.9933333333333334,0.5916666666666667,0.6416666666666666,1.0,0.9991666666666668,0.9841666666666665,0.8425,0.9916666666666666,0.9866666666666666,1.0,1.0,0.8433333333333332,0.5349999999999999
SU3nf6,0.9925,0.9941666666666666,1.0,0.9975000000000002,0.9716666666666665,0.9991666666666668,0.0,1.0,0.9991666666666668,1.0,0.9958333333333332,0.9208333333333334,0.9950000000000001,1.0,0.9566666666666664,1.0,0.6499999999999999,0.975,0.99,0.9275,0.8241666666666667,0.5408333333333333,0.5924999999999999,0.9316666666666666,0.945,0.9716666666666667,0.6841666666666667,0.8583333333333332,0.6483333333333333,0.75,0.9149999999999998,0.6575,0.9916666666666668,0.605,1.0,1.0,0.9675,1.0,0.8225,0.9933333333333334,1.0,0.9966666666666667
SU5s1a1A2F8nf1,1.0,1.0,0.9433333333333334,0.8291666666666666,1.0,0.8808333333333334,1.0,0.0,0.7841666666666668,1.0,0.9708333333333332,1.0,0.9358333333333334,1.0,1.0,0.8091666666666667,1.0,1.0,0.9891666666666665,1.0,1.0,1.0,1.0,0.6025,0.9991666666666668,1.0,1.0,1.0,1.0,1.0,0.6075,0.6416666666666666,1.0,1.0,0.9924999999999999,0.8425,1.0,0.9991666666666668,1.0,1.0,0.6991666666666667,0.6908333333333333
SU6s2S2nf1,1.0,1.0,0.785,0.6683333333333332,1.0,0.6858333333333334,0.9991666666666668,0.7841666666666668,0.0,1.0,0.9824999999999999,0.9974999999999999,0.6358333333333334,1.0,1.0,0.7016666666666668,1.0,1.0,0.6883333333333332,0.7725,0.9983333333333334,0.9991666666666668,0.9991666666666668,0.6883333333333332,0.7,0.9916666666666668,0.9983333333333334,0.9983333333333334,1.0,0.9958333333333332,0.6691666666666667,0.6416666666666666,1.0,0.9991666666666668,0.6900000000000001,0.8425,0.8300000000000001,0.7,1.0,1.0,0.6891666666666666,0.6858333333333334
SU10s2A2F16nf1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6575,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
