Theories,SU2nf4,SU2adj1nf2,SU6s1a1A2F8nf1,SU6adj1s1A1F8nf1,SU3adj1nf2,SU5s1a1A2F8nf0,SU3nf6,SU5s1a1A2F8nf1,SU6s2S2nf1,SU10s2A2F16nf1,SU8s1S2a1f8nf1,Sp2adj1a2nf4,SU5adj1s1A1F8nf0,SU9s2A2F16nf0,SO5adj1nf2,SU7a2A2nf1,Sp2s1a2nf0,Sp2adj1nf1,SU5s1S1a1A1nf1,SU4adj2a1A1nf1,Sp2s2a1nf1,Sp2s1a1nf2,Sp2s1a2nf1,SU5adj1a2A2nf1,Sp3a3nf1,SU4a3A3nf1,Sp2s2nf1,Sp2adj2nf2,SU3adj1nf3,SU4adj2a1A1nf0,Sp4a3nf0,SO12s2nf1,SU2adj1nf3,SU3adj2nf2,SU5a3A3nf0,SU7s1S2a1f8nf0,SU4adj1a2A2nf1,SU4s1S1a2A2nf1,SO5nf5,SU2adj2nf1,Sp4s1a1nf1,SU5s1S1a2A2nf1
SU2nf4,0.0,0.9974999999999999,0.9983333333333334,0.9974999999999999,0.9991666666666668,1.0,0.9441666666666668,1.0,0.9991666666666668,0.9974999999999999,0.9991666666666668,0.9974999999999999,0.9983333333333334,0.9974999999999999,1.0,0.9983333333333334,1.0,1.0,0.9866666666666666,0.9974999999999999,1.0,1.0,1.0,1.0,1.0,0.9950000000000001,0.9933333333333334,0.9991666666666668,0.9883333333333333,0.9916666666666666,1.0,0.9933333333333334,0.9983333333333334,1.0,1.0,1.0,1.0,0.9983333333333334,1.0,0.9775,1.0,0.9966666666666667
SU2adj1nf2,0.9974999999999999,0.0,0.9075,0.8508333333333333,0.6100000000000001,0.9416666666666667,0.9475,0.9416666666666667,0.5733333333333333,1.0,0.7225,0.825,0.8724999999999999,1.0,0.5458333333333333,0.8866666666666667,0.9983333333333334,0.5683333333333334,0.7849999999999999,0.705,1.0,0.7566666666666666,0.9991666666666668,0.8550000000000001,0.7508333333333332,0.835,0.5825,0.805,0.745,0.5875,0.6191666666666666,0.7275,0.7950000000000002,0.8216666666666667,0.8308333333333333,0.8400000000000001,0.7408333333333335,0.8941666666666668,0.6533333333333333,0.5358333333333334,0.6366666666666667,0.8933333333333333
SU6s1a1A2F8nf1,0.9983333333333334,0.9075,0.0,0.7899999999999999,0.8425,0.7041666666666667,0.7291666666666667,0.6666666666666666,0.8958333333333334,1.0,0.7233333333333333,0.6416666666666666,0.7291666666666667,1.0,0.9125,0.8883333333333333,1.0,0.9183333333333332,0.8133333333333332,0.7975,0.9991666666666668,0.7916666666666666,0.9991666666666668,0.6858333333333333,0.8091666666666667,0.8324999999999999,0.8408333333333333,0.8508333333333333,0.7558333333333332,0.85,0.85,0.9550000000000001,0.7508333333333334,0.8033333333333333,0.6933333333333332,0.8400000000000001,0.8058333333333334,0.9150000000000003,0.8358333333333332,0.8816666666666666,0.7991666666666667,0.8958333333333334
SU6adj1s1A1F8nf1,0.9974999999999999,0.8508333333333333,0.7899999999999999,0.0,0.7625,0.8141666666666666,0.8150000000000001,0.6525000000000001,0.6933333333333334,0.9608333333333334,0.5475000000000001,0.7075,0.7183333333333333,0.9991666666666668,0.8,0.8875,0.9983333333333334,0.8858333333333333,0.6658333333333334,0.6299999999999999,0.9983333333333334,0.7516666666666667,0.9983333333333334,0.7324999999999999,0.7883333333333333,0.7541666666666668,0.7941666666666667,0.5383333333333333,0.715,0.8016666666666665,0.7866666666666667,0.5558333333333334,0.7033333333333334,0.5708333333333334,0.7333333333333333,0.6116666666666666,0.7258333333333333,0.5941666666666666,0.7691666666666667,0.7849999999999999,0.6675,0.6824999999999999
SU3adj1nf2,0.9991666666666668,0.6100000000000001,0.8425,0.7625,0.0,0.8675,0.8775000000000001,0.9099999999999999,0.6158333333333332,1.0,0.7225,0.7366666666666667,0.7716666666666667,1.0,0.6141666666666667,0.8866666666666667,0.9991666666666668,0.695,0.6525000000000001,0.6158333333333335,1.0,0.6441666666666667,1.0,0.7341666666666666,0.6608333333333333,0.7558333333333334,0.5366666666666667,0.7666666666666666,0.6174999999999999,0.5941666666666666,0.5450000000000002,0.7025,0.675,0.7033333333333334,0.75,0.8400000000000001,0.6191666666666666,0.8949999999999999,0.5983333333333334,0.5908333333333334,0.5608333333333333,0.8975
SU5s1a1A2F8nf0,1.0,0.9416666666666667,0.7041666666666667,0.8141666666666666,0.8675,0.0,0.875,0.9291666666666666,0.9266666666666665,1.0,0.7225,0.6525000000000001,0.5791666666666667,1.0,0.9425000000000001,0.8891666666666668,1.0,0.9516666666666668,0.7316666666666668,0.8149999999999998,1.0,0.79,1.0,0.5599999999999999,0.8350000000000002,0.7791666666666667,0.8458333333333334,0.8816666666666666,0.7116666666666667,0.8950000000000001,0.9033333333333333,0.9550000000000001,0.77,0.8541666666666667,0.5591666666666667,0.8425,0.7008333333333334,0.9241666666666667,0.8983333333333332,0.8758333333333332,0.8066666666666666,0.8966666666666667
SU3nf6,0.9441666666666668,0.9475,0.7291666666666667,0.8150000000000001,0.8775000000000001,0.875,0.0,0.9058333333333332,0.9250000000000002,0.9991666666666668,0.7325,0.6225,0.705,0.9991666666666668,0.9524999999999999,0.8883333333333333,0.9991666666666668,0.9516666666666665,0.8208333333333334,0.8425,0.9991666666666668,0.7608333333333333,0.9991666666666668,0.6933333333333334,0.7733333333333332,0.8516666666666668,0.875,0.885,0.7641666666666665,0.9083333333333334,0.8808333333333334,0.9625,0.8216666666666667,0.8983333333333334,0.6575000000000001,0.8416666666666666,0.8191666666666666,0.9266666666666667,0.9116666666666667,0.9033333333333331,0.8366666666666667,0.8966666666666667
SU5s1a1A2F8nf1,1.0,0.9416666666666667,0.6666666666666666,0.6525000000000001,0.9099999999999999,0.9291666666666666,0.9058333333333332,0.0,0.9325000000000001,1.0,0.6925,0.8066666666666669,0.8516666666666668,1.0,0.9483333333333335,0.8883333333333333,0.9991666666666668,0.9399999999999998,0.8833333333333334,0.7975,0.9991666666666668,0.9075,0.9991666666666668,0.8708333333333333,0.9508333333333333,0.9483333333333335,0.9108333333333333,0.76,0.885,0.915,0.9283333333333335,0.9541666666666666,0.8433333333333334,0.715,0.9408333333333333,0.8458333333333332,0.8891666666666665,0.9033333333333333,0.9491666666666667,0.8991666666666666,0.8825000000000001,0.8975
SU6s2S2nf1,0.9991666666666668,0.5733333333333333,0.8958333333333334,0.6933333333333334,0.6158333333333332,0.9266666666666665,0.9250000000000002,0.9325000000000001,0.0,0.9325000000000001,0.64,0.8041666666666666,0.8283333333333334,1.0,0.5716666666666667,0.8866666666666667,0.9991666666666668,0.6683333333333332,0.7408333333333333,0.5983333333333334,0.9991666666666668,0.7283333333333333,0.9991666666666668,0.8300000000000001,0.7358333333333333,0.8216666666666667,0.585,0.6966666666666667,0.7116666666666667,0.6,0.615,0.6375,0.7625,0.67,0.8066666666666666,0.7541666666666667,0.7424999999999999,0.7733333333333332,0.7266666666666667,0.5691666666666666,0.6283333333333334,0.8149999999999998
SU10s2A2F16nf1,0.9974999999999999,1.0,1.0,0.9608333333333334,1.0,1.0,0.9991666666666668,1.0,0.9325000000000001,0.0,0.7783333333333334,0.9774999999999998,0.9558333333333332,0.95,1.0,0.8950000000000001,1.0,1.0,0.9866666666666666,0.9925,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9983333333333334,0.9991666666666668,1.0,1.0,0.8941666666666667,1.0,0.9949999999999999,0.9958333333333333,0.845,1.0,1.0,1.0,1.0,1.0,0.9983333333333334
