Theories,SU2nf4,SU2adj1nf2,SU6s1a1A2F8nf1,SU6adj1s1A1F8nf1,SU3adj1nf2,SU5s1a1A2F8nf0,SU3nf6,SU5s1a1A2F8nf1,SU6s2S2nf1,SU10s2A2F16nf1,SU8s1S2a1f8nf1,Sp2adj1a2nf4,SU5adj1s1A1F8nf0,SU9s2A2F16nf0,SO5adj1nf2,SU7a2A2nf1,Sp2s1a2nf0,Sp2adj1nf1,SU5s1S1a1A1nf1,SU4adj2a1A1nf1,Sp2s2a1nf1,Sp2s1a1nf2,Sp2s1a2nf1,SU5adj1a2A2nf1,Sp3a3nf1,SU4a3A3nf1,Sp2s2nf1,Sp2adj2nf2,SU3adj1nf3
SU2nf4,0.0,0.9988333333333334,0.9991666666666668,0.9975000000000002,0.9981666666666668,0.9983333333333334,0.9546666666666667,0.9990000000000001,0.9981666666666668,0.9996666666666667,0.9996666666666667,0.9968333333333335,0.9973333333333335,0.9990000000000001,0.9996666666666667,0.9993333333333334,1.0,0.9998333333333334,0.9885,0.9991666666666668,0.9995,0.9998333333333334,0.9996666666666667,0.9998333333333334,0.9998333333333334,0.9961666666666666,0.9906666666666666,0.9991666666666668,0.9903333333333333
SU2adj1nf2,0.9988333333333334,0.0,0.9050000000000001,0.8196666666666665,0.6128333333333335,0.9435000000000001,0.9311666666666666,0.9505,0.5688333333333333,0.9996666666666667,0.7314999999999999,0.7886666666666667,0.8633333333333333,1.0,0.5413333333333332,0.8901666666666667,0.9990000000000001,0.5763333333333334,0.7475,0.6978333333333333,0.9991666666666668,0.7314999999999999,0.9996666666666667,0.8401666666666668,0.7461666666666668,0.831,0.565,0.7741666666666667,0.7093333333333334
SU6s1a1A2F8nf1,0.9991666666666668,0.9050000000000001,0.0,0.7905000000000001,0.8538333333333334,0.6995,0.6906666666666667,0.6984999999999999,0.8930000000000001,0.9996666666666667,0.7445,0.6543333333333333,0.6940000000000001,1.0,0.9016666666666667,0.8921666666666667,0.9998333333333334,0.9255000000000001,0.8005,0.8043333333333332,0.9998333333333334,0.7718333333333334,0.9998333333333334,0.6564999999999999,0.8141666666666666,0.8393333333333334,0.8543333333333334,0.8636666666666667,0.7523333333333335
SU6adj1s1A1F8nf1,0.9975000000000002,0.8196666666666665,0.7905000000000001,0.0,0.7918333333333333,0.8121666666666666,0.8193333333333334,0.6873333333333335,0.6998333333333332,0.9438333333333331,0.5548333333333333,0.7038333333333335,0.7251666666666666,1.0,0.8134999999999999,0.8916666666666666,0.9996666666666667,0.8883333333333333,0.6671666666666667,0.6411666666666666,0.9993333333333334,0.7748333333333332,0.9993333333333334,0.7603333333333333,0.7966666666666665,0.7773333333333333,0.7783333333333333,0.5488333333333333,0.7128333333333333
SU3adj1nf2,0.9981666666666668,0.6128333333333335,0.8538333333333334,0.7918333333333333,0.0,0.8486666666666666,0.8791666666666665,0.9276666666666665,0.6191666666666665,0.9996666666666667,0.7306666666666666,0.7201666666666665,0.7705,1.0,0.603,0.8906666666666666,1.0,0.6921666666666668,0.6351666666666667,0.6056666666666667,1.0,0.6423333333333332,1.0,0.7268333333333332,0.6491666666666667,0.7430000000000001,0.5785,0.7506666666666665,0.6060000000000001
SU5s1a1A2F8nf0,0.9983333333333334,0.9435000000000001,0.6995,0.8121666666666666,0.8486666666666666,0.0,0.8450000000000002,0.9298333333333332,0.9233333333333333,0.9996666666666667,0.7365,0.6368333333333334,0.6071666666666666,0.9998333333333334,0.9228333333333333,0.8916666666666666,1.0,0.9555000000000001,0.7186666666666666,0.7985,1.0,0.7398333333333335,1.0,0.5648333333333333,0.8021666666666667,0.7265,0.871,0.9063333333333334,0.6665000000000001
SU3nf6,0.9546666666666667,0.9311666666666666,0.6906666666666667,0.8193333333333334,0.8791666666666665,0.8450000000000002,0.0,0.8998333333333334,0.9206666666666666,0.9990000000000001,0.7641666666666667,0.6041666666666667,0.6755000000000001,0.9991666666666668,0.9326666666666666,0.8911666666666666,0.9985,0.9438333333333333,0.8173333333333334,0.8415,0.9980000000000001,0.7603333333333334,0.9976666666666667,0.6491666666666667,0.7873333333333333,0.8444999999999999,0.8808333333333335,0.8926666666666666,0.7483333333333333
SU5s1a1A2F8nf1,0.9990000000000001,0.9505,0.6984999999999999,0.6873333333333335,0.9276666666666665,0.9298333333333332,0.8998333333333334,0.0,0.9439999999999997,0.9996666666666667,0.6859999999999999,0.8158333333333333,0.8730000000000001,1.0,0.9463333333333332,0.8916666666666666,0.9996666666666667,0.9533333333333333,0.8948333333333334,0.7746666666666667,0.9996666666666667,0.9031666666666667,0.9996666666666667,0.8908333333333335,0.9656666666666667,0.9518333333333332,0.9194999999999999,0.7791666666666666,0.8909999999999999
SU6s2S2nf1,0.9981666666666668,0.5688333333333333,0.8930000000000001,0.6998333333333332,0.6191666666666665,0.9233333333333333,0.9206666666666666,0.9439999999999997,0.0,0.9351666666666665,0.6513333333333332,0.7874999999999999,0.8238333333333333,0.9956666666666666,0.5725,0.8905,0.9991666666666668,0.6535,0.7451666666666666,0.6044999999999999,0.9993333333333334,0.7375000000000002,0.9991666666666668,0.8163333333333332,0.7481666666666668,0.8171666666666667,0.5826666666666667,0.6873333333333332,0.7148333333333334
SU10s2A2F16nf1,0.9996666666666667,0.9996666666666667,0.9996666666666667,0.9438333333333331,0.9996666666666667,0.9996666666666667,0.9990000000000001,0.9996666666666667,0.9351666666666665,0.0,0.7778333333333335,0.9716666666666667,0.9534999999999999,0.9496666666666669,0.9996666666666667,0.8963333333333334,1.0,0.9996666666666667,0.9928333333333335,0.9956666666666666,1.0,0.9996666666666667,1.0,0.9996666666666667,0.9996666666666667,0.9996666666666667,0.9996666666666667,0.9968333333333333,0.997
SU8s1S2a1f8nf1,0.9996666666666667,0.7314999999999999,0.7445,0.5548333333333333,0.7306666666666666,0.7365,0.7641666666666667,0.6859999999999999,0.6513333333333332,0.7778333333333335,0.0,0.6583333333333333,0.6836666666666666,0.9833333333333333,0.7421666666666666,0.8913333333333333,0.9993333333333334,0.7453333333333333,0.6818333333333334,0.5981666666666666,0.9993333333333334,0.7178333333333333,0.9991666666666668,0.7234999999999999,0.7296666666666668,0.725,0.7335,0.5673333333333332,0.7055
Sp2adj1a2nf4,0.9968333333333335,0.7886666666666667,0.6543333333333333,0.7038333333333335,0.7201666666666665,0.6368333333333334,0.6041666666666667,0.8158333333333333,0.7874999999999999,0.9716666666666667,0.6583333333333333,0.0,0.579,0.9956666666666666,0.7946666666666666,0.89,0.9968333333333333,0.8489999999999999,0.6955000000000001,0.6970000000000002,0.9968333333333333,0.6073333333333334,0.9973333333333335,0.5581666666666667,0.6004999999999999,0.6403333333333333,0.747,0.7310000000000001,0.6143333333333334
SU5adj1s1A1F8nf0,0.9973333333333335,0.8633333333333333,0.6940000000000001,0.7251666666666666,0.7705,0.6071666666666666,0.6755000000000001,0.8730000000000001,0.8238333333333333,0.9534999999999999,0.6836666666666666,0.579,0.0,0.9610000000000001,0.8471666666666667,0.8911666666666666,0.9991666666666668,0.8925,0.6546666666666668,0.6736666666666667,0.9991666666666668,0.5976666666666667,0.9991666666666668,0.5478333333333333,0.5838333333333333,0.6286666666666667,0.7978333333333333,0.7698333333333331,0.5775
SU9s2A2F16nf0,0.9990000000000001,1.0,1.0,1.0,1.0,0.9998333333333334,0.9991666666666668,1.0,0.9956666666666666,0.9496666666666669,0.9833333333333333,0.9956666666666666,0.9610000000000001,0.0,1.0,0.9103333333333333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9998333333333334
SO5adj1nf2,0.9996666666666667,0.5413333333333332,0.9016666666666667,0.8134999999999999,0.603,0.9228333333333333,0.9326666666666666,0.9463333333333332,0.5725,0.9996666666666667,0.7421666666666666,0.7946666666666666,0.8471666666666667,1.0,0.0,0.8908333333333333,0.9973333333333333,0.5721666666666667,0.7346666666666666,0.6953333333333334,0.9991666666666668,0.752,0.9993333333333334,0.8431666666666667,0.7694999999999999,0.7961666666666666,0.5566666666666665,0.7915000000000001,0.7193333333333334
SU7a2A2nf1,0.9993333333333334,0.8901666666666667,0.8921666666666667,0.8916666666666666,0.8906666666666666,0.8916666666666666,0.8911666666666666,0.8916666666666666,0.8905,0.8963333333333334,0.8913333333333333,0.89,0.8911666666666666,0.9103333333333333,0.8908333333333333,0.0,0.8813333333333333,0.8908333333333333,0.8891666666666667,0.8903333333333333,0.6468333333333334,0.8898333333333334,0.5931666666666667,0.8905,0.8906666666666666,0.8909999999999999,0.8908333333333333,0.8881666666666667,0.8911666666666666
Sp2s1a2nf0,1.0,0.9990000000000001,0.9998333333333334,0.9996666666666667,1.0,1.0,0.9985,0.9996666666666667,0.9991666666666668,1.0,0.9993333333333334,0.9968333333333333,0.9991666666666668,1.0,0.9973333333333333,0.8813333333333333,0.0,0.9990000000000001,0.995,0.9990000000000001,0.7228333333333333,0.9973333333333333,0.6533333333333333,0.9985,1.0,0.9998333333333334,1.0,0.9923333333333333,0.9976666666666668
Sp2adj1nf1,0.9998333333333334,0.5763333333333334,0.9255000000000001,0.8883333333333333,0.6921666666666668,0.9555000000000001,0.9438333333333333,0.9533333333333333,0.6535,0.9996666666666667,0.7453333333333333,0.8489999999999999,0.8925,1.0,0.5721666666666667,0.8908333333333333,0.9990000000000001,0.0,0.787,0.7786666666666666,0.9996666666666667,0.7865000000000001,0.9996666666666667,0.8755,0.8186666666666668,0.8470000000000002,0.6141666666666666,0.8023333333333333,0.7583333333333334
SU5s1S1a1A1nf1,0.9885,0.7475,0.8005,0.6671666666666667,0.6351666666666667,0.7186666666666666,0.8173333333333334,0.8948333333333334,0.7451666666666666,0.9928333333333335,0.6818333333333334,0.6955000000000001,0.6546666666666668,1.0,0.7346666666666666,0.8891666666666667,0.995,0.787,0.0,0.5978333333333333,0.9945,0.5776666666666666,0.9954999999999999,0.639,0.6198333333333332,0.6686666666666667,0.6436666666666667,0.703,0.564
SU4adj2a1A1nf1,0.9991666666666668,0.6978333333333333,0.8043333333333332,0.6411666666666666,0.6056666666666667,0.7985,0.8415,0.7746666666666667,0.6044999999999999,0.9956666666666666,0.5981666666666666,0.6970000000000002,0.6736666666666667,1.0,0.6953333333333334,0.8903333333333333,0.9990000000000001,0.7786666666666666,0.5978333333333333,0.0,0.9971666666666666,0.6156666666666666,0.9990000000000001,0.6916666666666668,0.6506666666666666,0.7081666666666666,0.622,0.6150000000000001,0.5971666666666667
Sp2s2a1nf1,0.9995,0.9991666666666668,0.9998333333333334,0.9993333333333334,1.0,1.0,0.9980000000000001,0.9996666666666667,0.9993333333333334,1.0,0.9993333333333334,0.9968333333333333,0.9991666666666668,1.0,0.9991666666666668,0.6468333333333334,0.7228333333333333,0.9996666666666667,0.9945,0.9971666666666666,0.0,0.9971666666666666,0.595,0.9986666666666667,0.9991666666666668,0.9993333333333334,0.9991666666666668,0.9916666666666667,0.9976666666666668
Sp2s1a1nf2,0.9998333333333334,0.7314999999999999,0.7718333333333334,0.7748333333333332,0.6423333333333332,0.7398333333333335,0.7603333333333334,0.9031666666666667,0.7375000000000002,0.9996666666666667,0.7178333333333333,0.6073333333333334,0.5976666666666667,1.0,0.752,0.8898333333333334,0.9973333333333333,0.7865000000000001,0.5776666666666666,0.6156666666666666,0.9971666666666666,0.0,0.9975000000000002,0.5988333333333332,0.5481666666666666,0.5881666666666666,0.6811666666666667,0.7218333333333332,0.5308333333333333
Sp2s1a2nf1,0.9996666666666667,0.9996666666666667,0.9998333333333334,0.9993333333333334,1.0,1.0,0.9976666666666667,0.9996666666666667,0.9991666666666668,1.0,0.9991666666666668,0.9973333333333335,0.9991666666666668,1.0,0.9993333333333334,0.5931666666666667,0.6533333333333333,0.9996666666666667,0.9954999999999999,0.9990000000000001,0.595,0.9975000000000002,0.0,0.9986666666666667,0.9998333333333334,0.9995,1.0,0.9936666666666667,0.9978333333333333
