Sp3a3nf1,Sp3a3nf1,SU5adj1s1A1F8nf0,SU5adj1a2A2nf1,SU5s1S1a1A1nf1,Sp2adj1a2nf4,Sp2s1a1nf2,SU8s1S2a1f8nf1,SU4adj2a1A1nf1,SU3adj1nf3
Sp3a3nf1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SU5adj1s1A1F8nf0,0.0,0.0,0.48311111111111116,0.4335555555555555,0.4925555555555555,0.42466666666666664,0.49433333333333335,0.45911111111111114,0.4212222222222222
SU5adj1a2A2nf1,0.0,0.48311111111111116,0.0,0.4624444444444445,0.4337777777777777,0.4172222222222222,0.5256666666666665,0.4974444444444444,0.4106666666666667
SU5s1S1a1A1nf1,0.0,0.4335555555555555,0.4624444444444445,0.0,0.49677777777777776,0.4505555555555555,0.4866666666666667,0.45233333333333337,0.4353333333333333
Sp2adj1a2nf4,0.0,0.4925555555555555,0.4337777777777777,0.49677777777777776,0.0,0.40988888888888886,0.559111111111111,0.5018888888888888,0.4024444444444444
Sp2s1a1nf2,0.0,0.42466666666666664,0.4172222222222222,0.4505555555555555,0.40988888888888886,0.0,0.4903333333333334,0.4443333333333333,0.37355555555555553
SU8s1S2a1f8nf1,0.0,0.49433333333333335,0.5256666666666665,0.4866666666666667,0.559111111111111,0.4903333333333334,0.0,0.45099999999999996,0.4847777777777778
SU4adj2a1A1nf1,0.0,0.45911111111111114,0.4974444444444444,0.45233333333333337,0.5018888888888888,0.4443333333333333,0.45099999999999996,0.0,0.4563333333333333
SU3adj1nf3,0.0,0.4212222222222222,0.4106666666666667,0.4353333333333333,0.4024444444444444,0.37355555555555553,0.4847777777777778,0.4563333333333333,0.0

SU5adj1s1A1F8nf0,Sp3a3nf1,SU5adj1s1A1F8nf0,SU5adj1a2A2nf1,SU5s1S1a1A1nf1,Sp2adj1a2nf4,Sp2s1a1nf2,SU8s1S2a1f8nf1,SU4adj2a1A1nf1,SU3adj1nf3
Sp3a3nf1,0.0,0.0,0.48311111111111116,0.4335555555555555,0.4925555555555555,0.42466666666666664,0.49433333333333335,0.45911111111111114,0.4212222222222222
SU5adj1s1A1F8nf0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SU5adj1a2A2nf1,0.48311111111111116,0.0,0.0,0.4538888888888888,0.42033333333333334,0.45755555555555555,0.494,0.446,0.46544444444444444
SU5s1S1a1A1nf1,0.4335555555555555,0.0,0.4538888888888888,0.0,0.45644444444444443,0.4176666666666666,0.5075555555555556,0.45000000000000007,0.41266666666666674
Sp2adj1a2nf4,0.4925555555555555,0.0,0.42033333333333334,0.45644444444444443,0.0,0.44866666666666677,0.518,0.43866666666666676,0.4572222222222222
Sp2s1a1nf2,0.42466666666666664,0.0,0.45755555555555555,0.4176666666666666,0.44866666666666677,0.0,0.4827777777777778,0.4676666666666667,0.42766666666666675
SU8s1S2a1f8nf1,0.49433333333333335,0.0,0.494,0.5075555555555556,0.518,0.4827777777777778,0.0,0.44300000000000006,0.4718888888888889
SU4adj2a1A1nf1,0.45911111111111114,0.0,0.446,0.45000000000000007,0.43866666666666676,0.4676666666666667,0.44300000000000006,0.0,0.39388888888888896
SU3adj1nf3,0.4212222222222222,0.0,0.46544444444444444,0.41266666666666674,0.4572222222222222,0.42766666666666675,0.4718888888888889,0.39388888888888896,0.0

SU5adj1a2A2nf1,Sp3a3nf1,SU5adj1s1A1F8nf0,SU5adj1a2A2nf1,SU5s1S1a1A1nf1,Sp2adj1a2nf4,Sp2s1a1nf2,SU8s1S2a1f8nf1,SU4adj2a1A1nf1,SU3adj1nf3
Sp3a3nf1,0.0,0.48311111111111116,0.0,0.4624444444444445,0.4337777777777777,0.4172222222222222,0.5256666666666665,0.4974444444444444,0.4106666666666667
SU5adj1s1A1F8nf0,0.48311111111111116,0.0,0.0,0.4538888888888888,0.42033333333333334,0.45755555555555555,0.494,0.446,0.46544444444444444
SU5adj1a2A2nf1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SU5s1S1a1A1nf1,0.4624444444444445,0.4538888888888888,0.0,0.0,0.4392222222222222,0.44177777777777777,0.4994444444444444,0.47300000000000003,0.4402222222222222
Sp2adj1a2nf4,0.4337777777777777,0.42033333333333334,0.0,0.4392222222222222,0.0,0.4313333333333334,0.5146666666666667,0.45022222222222225,0.4431111111111111
Sp2s1a1nf2,0.4172222222222222,0.45755555555555555,0.0,0.44177777777777777,0.4313333333333334,0.0,0.502,0.4567777777777778,0.4174444444444444
SU8s1S2a1f8nf1,0.5256666666666665,0.494,0.0,0.4994444444444444,0.5146666666666667,0.502,0.0,0.45122222222222214,0.4851111111111111
SU4adj2a1A1nf1,0.4974444444444444,0.446,0.0,0.47300000000000003,0.45022222222222225,0.4567777777777778,0.45122222222222214,0.0,0.45555555555555555
SU3adj1nf3,0.4106666666666667,0.46544444444444444,0.0,0.4402222222222222,0.4431111111111111,0.4174444444444444,0.4851111111111111,0.45555555555555555,0.0

SU5s1S1a1A1nf1,Sp3a3nf1,SU5adj1s1A1F8nf0,SU5adj1a2A2nf1,SU5s1S1a1A1nf1,Sp2adj1a2nf4,Sp2s1a1nf2,SU8s1S2a1f8nf1,SU4adj2a1A1nf1,SU3adj1nf3
Sp3a3nf1,0.0,0.4335555555555555,0.4624444444444445,0.0,0.49677777777777776,0.4505555555555555,0.4866666666666667,0.45233333333333337,0.4353333333333333
SU5adj1s1A1F8nf0,0.4335555555555555,0.0,0.4538888888888888,0.0,0.45644444444444443,0.4176666666666666,0.5075555555555556,0.45000000000000007,0.41266666666666674
SU5adj1a2A2nf1,0.4624444444444445,0.4538888888888888,0.0,0.0,0.4392222222222222,0.44177777777777777,0.4994444444444444,0.47300000000000003,0.4402222222222222
SU5s1S1a1A1nf1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sp2adj1a2nf4,0.49677777777777776,0.45644444444444443,0.4392222222222222,0.0,0.0,0.4832222222222222,0.618,0.5573333333333333,0.4786666666666667
Sp2s1a1nf2,0.4505555555555555,0.4176666666666666,0.44177777777777777,0.0,0.4832222222222222,0.0,0.5363333333333333,0.45611111111111113,0.43022222222222234
SU8s1S2a1f8nf1,0.4866666666666667,0.5075555555555556,0.4994444444444444,0.0,0.618,0.5363333333333333,0.0,0.4905555555555556,0.5206666666666666
SU4adj2a1A1nf1,0.45233333333333337,0.45000000000000007,0.47300000000000003,0.0,0.5573333333333333,0.45611111111111113,0.4905555555555556,0.0,0.45611111111111113
SU3adj1nf3,0.4353333333333333,0.41266666666666674,0.4402222222222222,0.0,0.4786666666666667,0.43022222222222234,0.5206666666666666,0.45611111111111113,0.0

Sp2adj1a2nf4,Sp3a3nf1,SU5adj1s1A1F8nf0,SU5adj1a2A2nf1,SU5s1S1a1A1nf1,Sp2adj1a2nf4,Sp2s1a1nf2,SU8s1S2a1f8nf1,SU4adj2a1A1nf1,SU3adj1nf3
Sp3a3nf1,0.0,0.4925555555555555,0.4337777777777777,0.49677777777777776,0.0,0.40988888888888886,0.559111111111111,0.5018888888888888,0.4024444444444444
SU5adj1s1A1F8nf0,0.4925555555555555,0.0,0.42033333333333334,0.45644444444444443,0.0,0.44866666666666677,0.518,0.43866666666666676,0.4572222222222222
SU5adj1a2A2nf1,0.4337777777777777,0.42033333333333334,0.0,0.4392222222222222,0.0,0.4313333333333334,0.5146666666666667,0.45022222222222225,0.4431111111111111
SU5s1S1a1A1nf1,0.49677777777777776,0.45644444444444443,0.4392222222222222,0.0,0.0,0.4832222222222222,0.618,0.5573333333333333,0.4786666666666667
Sp2adj1a2nf4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sp2s1a1nf2,0.40988888888888886,0.44866666666666677,0.4313333333333334,0.4832222222222222,0.0,0.0,0.5666666666666668,0.5186666666666666,0.40477777777777774
SU8s1S2a1f8nf1,0.559111111111111,0.518,0.5146666666666667,0.618,0.0,0.5666666666666668,0.0,0.5213333333333332,0.5605555555555556
SU4adj2a1A1nf1,0.5018888888888888,0.43866666666666676,0.45022222222222225,0.5573333333333333,0.0,0.5186666666666666,0.5213333333333332,0.0,0.41944444444444445
SU3adj1nf3,0.4024444444444444,0.4572222222222222,0.4431111111111111,0.4786666666666667,0.0,0.40477777777777774,0.5605555555555556,0.41944444444444445,0.0

Sp2s1a1nf2,Sp3a3nf1,SU5adj1s1A1F8nf0,SU5adj1a2A2nf1,SU5s1S1a1A1nf1,Sp2adj1a2nf4,Sp2s1a1nf2,SU8s1S2a1f8nf1,SU4adj2a1A1nf1,SU3adj1nf3
Sp3a3nf1,0.0,0.42466666666666664,0.4172222222222222,0.4505555555555555,0.40988888888888886,0.0,0.4903333333333334,0.4443333333333333,0.37355555555555553
SU5adj1s1A1F8nf0,0.42466666666666664,0.0,0.45755555555555555,0.4176666666666666,0.44866666666666677,0.0,0.4827777777777778,0.4676666666666667,0.42766666666666675
SU5adj1a2A2nf1,0.4172222222222222,0.45755555555555555,0.0,0.44177777777777777,0.4313333333333334,0.0,0.502,0.4567777777777778,0.4174444444444444
SU5s1S1a1A1nf1,0.4505555555555555,0.4176666666666666,0.44177777777777777,0.0,0.4832222222222222,0.0,0.5363333333333333,0.45611111111111113,0.43022222222222234
Sp2adj1a2nf4,0.40988888888888886,0.44866666666666677,0.4313333333333334,0.4832222222222222,0.0,0.0,0.5666666666666668,0.5186666666666666,0.40477777777777774
Sp2s1a1nf2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SU8s1S2a1f8nf1,0.4903333333333334,0.4827777777777778,0.502,0.5363333333333333,0.5666666666666668,0.0,0.0,0.449,0.48177777777777775
SU4adj2a1A1nf1,0.4443333333333333,0.4676666666666667,0.4567777777777778,0.45611111111111113,0.5186666666666666,0.0,0.449,0.0,0.43266666666666675
SU3adj1nf3,0.37355555555555553,0.42766666666666675,0.4174444444444444,0.43022222222222234,0.40477777777777774,0.0,0.48177777777777775,0.43266666666666675,0.0

SU8s1S2a1f8nf1,Sp3a3nf1,SU5adj1s1A1F8nf0,SU5adj1a2A2nf1,SU5s1S1a1A1nf1,Sp2adj1a2nf4,Sp2s1a1nf2,SU8s1S2a1f8nf1,SU4adj2a1A1nf1,SU3adj1nf3
Sp3a3nf1,0.0,0.49433333333333335,0.5256666666666665,0.4866666666666667,0.559111111111111,0.4903333333333334,0.0,0.45099999999999996,0.4847777777777778
SU5adj1s1A1F8nf0,0.49433333333333335,0.0,0.494,0.5075555555555556,0.518,0.4827777777777778,0.0,0.44300000000000006,0.4718888888888889
SU5adj1a2A2nf1,0.5256666666666665,0.494,0.0,0.4994444444444444,0.5146666666666667,0.502,0.0,0.45122222222222214,0.4851111111111111
SU5s1S1a1A1nf1,0.4866666666666667,0.5075555555555556,0.4994444444444444,0.0,0.618,0.5363333333333333,0.0,0.4905555555555556,0.5206666666666666
Sp2adj1a2nf4,0.559111111111111,0.518,0.5146666666666667,0.618,0.0,0.5666666666666668,0.0,0.5213333333333332,0.5605555555555556
Sp2s1a1nf2,0.4903333333333334,0.4827777777777778,0.502,0.5363333333333333,0.5666666666666668,0.0,0.0,0.449,0.48177777777777775
SU8s1S2a1f8nf1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SU4adj2a1A1nf1,0.45099999999999996,0.44300000000000006,0.45122222222222214,0.4905555555555556,0.5213333333333332,0.449,0.0,0.0,0.42933333333333346
SU3adj1nf3,0.4847777777777778,0.4718888888888889,0.4851111111111111,0.5206666666666666,0.5605555555555556,0.48177777777777775,0.0,0.42933333333333346,0.0

SU4adj2a1A1nf1,Sp3a3nf1,SU5adj1s1A1F8nf0,SU5adj1a2A2nf1,SU5s1S1a1A1nf1,Sp2adj1a2nf4,Sp2s1a1nf2,SU8s1S2a1f8nf1,SU4adj2a1A1nf1,SU3adj1nf3
Sp3a3nf1,0.0,0.45911111111111114,0.4974444444444444,0.45233333333333337,0.5018888888888888,0.4443333333333333,0.45099999999999996,0.0,0.4563333333333333
SU5adj1s1A1F8nf0,0.45911111111111114,0.0,0.446,0.45000000000000007,0.43866666666666676,0.4676666666666667,0.44300000000000006,0.0,0.39388888888888896
SU5adj1a2A2nf1,0.4974444444444444,0.446,0.0,0.47300000000000003,0.45022222222222225,0.4567777777777778,0.45122222222222214,0.0,0.45555555555555555
SU5s1S1a1A1nf1,0.45233333333333337,0.45000000000000007,0.47300000000000003,0.0,0.5573333333333333,0.45611111111111113,0.4905555555555556,0.0,0.45611111111111113
Sp2adj1a2nf4,0.5018888888888888,0.43866666666666676,0.45022222222222225,0.5573333333333333,0.0,0.5186666666666666,0.5213333333333332,0.0,0.41944444444444445
Sp2s1a1nf2,0.4443333333333333,0.4676666666666667,0.4567777777777778,0.45611111111111113,0.5186666666666666,0.0,0.449,0.0,0.43266666666666675
SU8s1S2a1f8nf1,0.45099999999999996,0.44300000000000006,0.45122222222222214,0.4905555555555556,0.5213333333333332,0.449,0.0,0.0,0.42933333333333346
SU4adj2a1A1nf1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SU3adj1nf3,0.4563333333333333,0.39388888888888896,0.45555555555555555,0.45611111111111113,0.41944444444444445,0.43266666666666675,0.42933333333333346,0.0,0.0

SU3adj1nf3,Sp3a3nf1,SU5adj1s1A1F8nf0,SU5adj1a2A2nf1,SU5s1S1a1A1nf1,Sp2adj1a2nf4,Sp2s1a1nf2,SU8s1S2a1f8nf1,SU4adj2a1A1nf1,SU3adj1nf3
Sp3a3nf1,0.0,0.4212222222222222,0.4106666666666667,0.4353333333333333,0.4024444444444444,0.37355555555555553,0.4847777777777778,0.4563333333333333,0.0
SU5adj1s1A1F8nf0,0.4212222222222222,0.0,0.46544444444444444,0.41266666666666674,0.4572222222222222,0.42766666666666675,0.4718888888888889,0.39388888888888896,0.0
SU5adj1a2A2nf1,0.4106666666666667,0.46544444444444444,0.0,0.4402222222222222,0.4431111111111111,0.4174444444444444,0.4851111111111111,0.45555555555555555,0.0
SU5s1S1a1A1nf1,0.4353333333333333,0.41266666666666674,0.4402222222222222,0.0,0.4786666666666667,0.43022222222222234,0.5206666666666666,0.45611111111111113,0.0
Sp2adj1a2nf4,0.4024444444444444,0.4572222222222222,0.4431111111111111,0.4786666666666667,0.0,0.40477777777777774,0.5605555555555556,0.41944444444444445,0.0
Sp2s1a1nf2,0.37355555555555553,0.42766666666666675,0.4174444444444444,0.43022222222222234,0.40477777777777774,0.0,0.48177777777777775,0.43266666666666675,0.0
SU8s1S2a1f8nf1,0.4847777777777778,0.4718888888888889,0.4851111111111111,0.5206666666666666,0.5605555555555556,0.48177777777777775,0.0,0.42933333333333346,0.0
SU4adj2a1A1nf1,0.4563333333333333,0.39388888888888896,0.45555555555555555,0.45611111111111113,0.41944444444444445,0.43266666666666675,0.42933333333333346,0.0,0.0
SU3adj1nf3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0

