Sp3a3nf1,Sp3a3nf1,SU5adj1s1A1F8nf0,SU5adj1a2A2nf1,SU5s1S1a1A1nf1,Sp2adj1a2nf4,Sp2s1a1nf2,SU8s1S2a1f8nf1,SU4adj2a1A1nf1,SU3adj1nf3
Sp3a3nf1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SU5adj1s1A1F8nf0,0.0,0.0,0.06153348982765701,0.059607357239161655,0.07395869718220358,0.0488150958233917,0.0367085619238689,0.04659730294743794,0.048390005089817806
SU5adj1a2A2nf1,0.0,0.06153348982765701,0.0,0.07984212817866747,0.06270487408940315,0.04061639272540942,0.040489138918608406,0.05501077335563631,0.04407961371971189
SU5s1S1a1A1nf1,0.0,0.059607357239161655,0.07984212817866747,0.0,0.07113792897091963,0.06037179048545565,0.08890277669287784,0.07592304420908917,0.059314603785427265
Sp2adj1a2nf4,0.0,0.07395869718220358,0.06270487408940315,0.07113792897091963,0.0,0.043564766599729285,0.03676350847723263,0.06266321897529427,0.039723737344841754
Sp2s1a1nf2,0.0,0.0488150958233917,0.04061639272540942,0.06037179048545565,0.043564766599729285,0.0,0.05321526282497216,0.053118665199650805,0.03561730748656603
SU8s1S2a1f8nf1,0.0,0.0367085619238689,0.040489138918608406,0.08890277669287784,0.03676350847723263,0.05321526282497216,0.0,0.044175435886954974,0.05475884279454352
SU4adj2a1A1nf1,0.0,0.04659730294743794,0.05501077335563631,0.07592304420908917,0.06266321897529427,0.053118665199650805,0.044175435886954974,0.0,0.053587473199905755
SU3adj1nf3,0.0,0.048390005089817806,0.04407961371971189,0.059314603785427265,0.039723737344841754,0.03561730748656603,0.05475884279454352,0.053587473199905755,0.0

SU5adj1s1A1F8nf0,Sp3a3nf1,SU5adj1s1A1F8nf0,SU5adj1a2A2nf1,SU5s1S1a1A1nf1,Sp2adj1a2nf4,Sp2s1a1nf2,SU8s1S2a1f8nf1,SU4adj2a1A1nf1,SU3adj1nf3
Sp3a3nf1,0.0,0.0,0.06153348982765701,0.059607357239161655,0.07395869718220358,0.0488150958233917,0.0367085619238689,0.04659730294743794,0.048390005089817806
SU5adj1s1A1F8nf0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SU5adj1a2A2nf1,0.06153348982765701,0.0,0.0,0.04464192238880289,0.05953119319283768,0.052195737965167195,0.03242922017236391,0.05200949580914034,0.058100487662898895
SU5s1S1a1A1nf1,0.059607357239161655,0.0,0.04464192238880289,0.0,0.08159944323218431,0.05152836926884231,0.09685014515881712,0.09639809434108432,0.04425013078030475
Sp2adj1a2nf4,0.07395869718220358,0.0,0.05953119319283768,0.08159944323218431,0.0,0.09470917146978865,0.035979417984710625,0.06311815297177113,0.07741383102887948
Sp2s1a1nf2,0.0488150958233917,0.0,0.052195737965167195,0.05152836926884231,0.09470917146978865,0.0,0.060361564911113094,0.05948015542085351,0.04291090396405493
SU8s1S2a1f8nf1,0.0367085619238689,0.0,0.03242922017236391,0.09685014515881712,0.035979417984710625,0.060361564911113094,0.0,0.05956436502009329,0.058292684249715565
SU4adj2a1A1nf1,0.04659730294743794,0.0,0.05200949580914034,0.09639809434108432,0.06311815297177113,0.05948015542085351,0.05956436502009329,0.0,0.08391831713408751
SU3adj1nf3,0.048390005089817806,0.0,0.058100487662898895,0.04425013078030475,0.07741383102887948,0.04291090396405493,0.058292684249715565,0.08391831713408751,0.0

SU5adj1a2A2nf1,Sp3a3nf1,SU5adj1s1A1F8nf0,SU5adj1a2A2nf1,SU5s1S1a1A1nf1,Sp2adj1a2nf4,Sp2s1a1nf2,SU8s1S2a1f8nf1,SU4adj2a1A1nf1,SU3adj1nf3
Sp3a3nf1,0.0,0.06153348982765701,0.0,0.07984212817866747,0.06270487408940315,0.04061639272540942,0.040489138918608406,0.05501077335563631,0.04407961371971189
SU5adj1s1A1F8nf0,0.06153348982765701,0.0,0.0,0.04464192238880289,0.05953119319283768,0.052195737965167195,0.03242922017236391,0.05200949580914034,0.058100487662898895
SU5adj1a2A2nf1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SU5s1S1a1A1nf1,0.07984212817866747,0.04464192238880289,0.0,0.0,0.053013042886155694,0.0599510088054415,0.09528547102079267,0.0883456315687649,0.053189156975393836
Sp2adj1a2nf4,0.06270487408940315,0.05953119319283768,0.0,0.053013042886155694,0.0,0.05594044452212847,0.04683514560880035,0.06115109802876361,0.0503758711593331
Sp2s1a1nf2,0.04061639272540942,0.052195737965167195,0.0,0.0599510088054415,0.05594044452212847,0.0,0.05721693610966754,0.06388927536114994,0.033017204643475434
SU8s1S2a1f8nf1,0.040489138918608406,0.03242922017236391,0.0,0.09528547102079267,0.04683514560880035,0.05721693610966754,0.0,0.050568252373877305,0.0653049825108371
SU4adj2a1A1nf1,0.05501077335563631,0.05200949580914034,0.0,0.0883456315687649,0.06115109802876361,0.06388927536114994,0.050568252373877305,0.0,0.059139926142983384
SU3adj1nf3,0.04407961371971189,0.058100487662898895,0.0,0.053189156975393836,0.0503758711593331,0.033017204643475434,0.0653049825108371,0.059139926142983384,0.0

