Theories,SU2nf4,SU9s2A2F16nf0,Sp2s1a2nf0,SU10s2A2F16nf1,Sp2s1a2nf1,Sp2s2a1nf1,SU5s1a1A2F8nf0,SU5s1a1A2F8nf1,SU6s1a1A2F8nf1,SU5s1S1a2A2nf1,SU7a2A2nf1,SU4a3A3nf1,Sp2adj1nf1,SU2adj1nf2,SO5adj1nf2,SO5nf5,SU4s1S1a2A2nf1,SU2adj1nf3,SU2adj2nf1,SU5a3A3nf0,SU7s1S2a1f8nf0,SU3nf6,SU5adj1a2A2nf1,SU5adj1s1A1F8nf0,SU5s1S1a1A1nf1,Sp4a3nf0,SU3adj2nf2,SU6adj1s1A1F8nf1,Sp3a3nf1,SO12s2nf1,SU6s2S2nf1,Sp2adj2nf2,Sp2adj1a2nf4,SU3adj1nf3,Sp2s1a1nf2,SU4adj2a1A1nf0,Sp4s1a1nf1,SU4adj1a2A2nf1,SU3adj1nf2,Sp2s2nf1,SU8s1S2a1f8nf1,SU4adj2a1A1nf1
SU2nf4,0.0,1.0,0.9991666666666668,1.0,0.9741666666666667,0.9983333333333334,1.0,0.9983333333333334,0.9924999999999999,1.0,0.9625,1.0,1.0,1.0,1.0,1.0,0.9983333333333334,0.9991666666666668,1.0,1.0,1.0,0.8766666666666667,1.0,0.9791666666666667,0.9891666666666667,1.0,1.0,0.9974999999999999,1.0,1.0,0.9983333333333334,0.9966666666666667,0.9983333333333334,0.9800000000000001,0.9983333333333334,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SU9s2A2F16nf0,1.0,0.0,1.0,0.9491666666666665,1.0,1.0,1.0,1.0,1.0,1.0,0.9108333333333334,1.0,1.0,1.0,1.0,1.0,0.9966666666666667,1.0,1.0,0.9966666666666667,1.0,0.8766666666666667,1.0,0.9333333333333333,0.9983333333333334,1.0,1.0,1.0,1.0,0.9674999999999999,0.9899999999999999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8708333333333333,1.0
Sp2s1a2nf0,0.9991666666666668,1.0,0.0,1.0,0.75,0.7233333333333334,1.0,0.9991666666666668,1.0,0.9966666666666667,0.8775000000000001,1.0,0.9908333333333333,0.9958333333333333,0.9916666666666668,0.9875,0.9899999999999999,0.9966666666666667,0.9558333333333333,0.9958333333333333,1.0,0.9991666666666668,0.9966666666666667,1.0,0.99,0.9991666666666668,0.9991666666666668,0.9991666666666668,0.9941666666666666,0.9875,0.9966666666666667,0.9925,0.9983333333333334,0.9933333333333334,0.9958333333333333,0.9816666666666665,0.9974999999999999,0.9983333333333334,0.9991666666666668,0.9916666666666668,1.0,0.9908333333333333
SU10s2A2F16nf1,1.0,0.9491666666666665,1.0,0.0,0.9966666666666667,0.9958333333333333,1.0,1.0,1.0,1.0,0.9008333333333335,1.0,1.0,1.0,1.0,1.0,0.9966666666666667,1.0,0.9975000000000002,0.9950000000000001,0.7683333333333333,0.9800000000000001,1.0,0.9475,0.9816666666666668,0.9925,0.9975000000000002,0.9266666666666667,1.0,0.9416666666666667,0.9441666666666666,0.9991666666666668,0.9933333333333334,0.9991666666666668,1.0,0.9941666666666664,1.0,1.0,1.0,1.0,0.7966666666666666,0.9933333333333334
Sp2s1a2nf1,0.9741666666666667,1.0,0.75,0.9966666666666667,0.0,0.6549999999999999,1.0,1.0,1.0,0.9966666666666667,0.6491666666666667,1.0,0.9941666666666666,0.9983333333333334,0.9949999999999999,0.9941666666666666,0.99,0.9966666666666667,0.9816666666666667,0.9908333333333335,1.0,0.9983333333333334,0.9958333333333333,1.0,0.9858333333333335,0.9941666666666666,0.9966666666666667,0.9991666666666668,0.9925,0.9841666666666666,0.9958333333333333,0.9908333333333333,0.9966666666666667,0.9908333333333335,0.9941666666666669,0.9916666666666668,0.9883333333333333,0.9974999999999999,0.9916666666666668,0.9958333333333333,0.9983333333333334,0.9841666666666666
Sp2s2a1nf1,0.9983333333333334,1.0,0.7233333333333334,0.9958333333333333,0.6549999999999999,0.0,1.0,0.9991666666666668,1.0,0.9958333333333333,0.6266666666666667,0.9991666666666668,0.9916666666666668,0.9983333333333334,0.9974999999999999,0.9991666666666668,0.9925,0.9991666666666668,0.9616666666666666,0.9925,0.9991666666666668,0.9991666666666668,0.9958333333333332,0.9991666666666668,0.99,0.9991666666666668,0.9941666666666666,1.0,0.9991666666666668,0.9816666666666667,0.9933333333333334,0.9883333333333335,0.9983333333333334,0.9941666666666666,0.9933333333333334,0.9883333333333335,0.9941666666666666,1.0,0.9941666666666666,0.9933333333333334,0.9991666666666668,0.99
SU5s1a1A2F8nf0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.9475000000000001,0.9058333333333335,0.9075000000000001,0.8908333333333334,0.9658333333333333,0.9966666666666667,0.9949999999999999,0.9966666666666667,0.9941666666666666,0.8841666666666667,0.9933333333333332,0.9825000000000002,0.9275000000000002,0.8375,0.9758333333333333,0.7391666666666666,0.8691666666666666,0.8958333333333333,0.9916666666666666,0.8724999999999999,0.8133333333333332,0.9883333333333333,0.915,0.9816666666666668,0.8341666666666667,0.9283333333333333,0.9633333333333333,0.9841666666666666,0.9791666666666667,0.9883333333333333,0.8966666666666667,0.9825000000000002,0.9016666666666666,0.8,0.8158333333333332
SU5s1a1A2F8nf1,0.9983333333333334,1.0,0.9991666666666668,1.0,1.0,0.9991666666666668,0.9475000000000001,0.0,0.905,0.9091666666666667,0.8916666666666666,0.9658333333333333,0.9850000000000001,0.9825000000000002,0.9791666666666667,0.9783333333333335,0.8258333333333333,0.9416666666666667,0.975,0.9616666666666667,0.8358333333333332,0.9574999999999999,0.9416666666666667,0.8833333333333332,0.9441666666666666,0.9724999999999999,0.7133333333333335,0.7216666666666667,0.9658333333333333,0.7841666666666666,0.9424999999999999,0.6658333333333333,0.8583333333333334,0.95,0.9583333333333334,0.9516666666666668,0.9641666666666666,0.9574999999999999,0.9458333333333332,0.9533333333333331,0.7150000000000001,0.7766666666666666
SU6s1a1A2F8nf1,0.9924999999999999,1.0,1.0,1.0,1.0,1.0,0.9058333333333335,0.905,0.0,0.9091666666666667,0.8916666666666666,0.9116666666666667,0.9775,0.9633333333333333,0.9625,0.9458333333333332,0.8241666666666667,0.7591666666666668,0.9475,0.8925000000000001,0.8333333333333334,0.8608333333333332,0.7100000000000001,0.7791666666666666,0.8483333333333333,0.9475,0.7450000000000001,0.8058333333333334,0.9041666666666666,0.8933333333333332,0.9400000000000001,0.8175000000000001,0.7816666666666666,0.8799999999999999,0.8941666666666667,0.8833333333333334,0.9016666666666667,0.8583333333333334,0.9100000000000001,0.8666666666666666,0.7366666666666667,0.6591666666666667
SU5s1S1a2A2nf1,1.0,1.0,0.9966666666666667,1.0,0.9966666666666667,0.9958333333333333,0.9075000000000001,0.9091666666666667,0.9091666666666667,0.0,0.8841666666666667,0.9066666666666668,0.9091666666666667,0.9058333333333334,0.9091666666666667,0.9091666666666667,0.6483333333333333,0.9066666666666668,0.9033333333333335,0.9058333333333334,0.6033333333333333,0.9091666666666667,0.9091666666666667,0.8408333333333333,0.89,0.9091666666666667,0.8799999999999999,0.7224999999999999,0.9091666666666667,0.6883333333333334,0.8308333333333332,0.7975,0.8408333333333333,0.9083333333333334,0.9083333333333334,0.9066666666666666,0.9083333333333334,0.9091666666666667,0.9091666666666667,0.9091666666666667,0.6799999999999999,0.8074999999999999
SU7a2A2nf1,0.9625,0.9108333333333334,0.8775000000000001,0.9008333333333335,0.6491666666666667,0.6266666666666667,0.8908333333333334,0.8916666666666666,0.8916666666666666,0.8841666666666667,0.0,0.8891666666666665,0.8875,0.8883333333333333,0.8883333333333333,0.8874999999999998,0.8733333333333333,0.8866666666666665,0.8658333333333333,0.8866666666666667,0.8858333333333333,0.8858333333333335,0.8858333333333333,0.8883333333333333,0.8858333333333333,0.8891666666666665,0.8858333333333333,0.8916666666666666,0.8866666666666667,0.8791666666666668,0.8866666666666667,0.8841666666666667,0.8866666666666667,0.8841666666666667,0.8833333333333334,0.8858333333333333,0.8883333333333333,0.8875,0.8858333333333335,0.8875,0.8891666666666665,0.8825000000000001
SU4a3A3nf1,1.0,1.0,1.0,1.0,1.0,0.9991666666666668,0.9658333333333333,0.9658333333333333,0.9116666666666667,0.9066666666666668,0.8891666666666665,0.0,0.9324999999999999,0.9133333333333334,0.9008333333333333,0.8558333333333333,0.8658333333333333,0.8933333333333333,0.8766666666666666,0.5866666666666667,0.8283333333333334,0.9216666666666666,0.865,0.8258333333333333,0.7875,0.9049999999999999,0.8641666666666665,0.8091666666666667,0.8908333333333334,0.8166666666666667,0.8716666666666667,0.8150000000000001,0.8033333333333333,0.8408333333333333,0.7658333333333334,0.8233333333333333,0.8308333333333333,0.6991666666666667,0.8025,0.7533333333333333,0.7591666666666667,0.7224999999999999
Sp2adj1nf1,1.0,1.0,0.9908333333333333,1.0,0.9941666666666666,0.9916666666666668,0.9966666666666667,0.9850000000000001,0.9775,0.9091666666666667,0.8875,0.9324999999999999,0.0,0.5666666666666667,0.5708333333333333,0.6408333333333334,0.9025000000000001,0.8933333333333333,0.7291666666666666,0.8724999999999999,0.8375,0.975,0.945,0.9574999999999999,0.9083333333333332,0.605,0.8850000000000001,0.9033333333333333,0.8366666666666666,0.78,0.7416666666666666,0.8074999999999999,0.9341666666666667,0.8875,0.8358333333333334,0.6466666666666667,0.7550000000000001,0.8466666666666667,0.7058333333333333,0.6433333333333333,0.7958333333333333,0.8483333333333334
SU2adj1nf2,1.0,1.0,0.9958333333333333,1.0,0.9983333333333334,0.9983333333333334,0.9949999999999999,0.9825000000000002,0.9633333333333333,0.9058333333333334,0.8883333333333333,0.9133333333333334,0.5666666666666667,0.0,0.5475000000000001,0.635,0.9000000000000001,0.8966666666666667,0.7366666666666666,0.8958333333333333,0.8316666666666667,0.9633333333333333,0.9233333333333335,0.9541666666666666,0.8791666666666667,0.5958333333333332,0.8708333333333333,0.8608333333333332,0.775,0.8533333333333333,0.6491666666666667,0.8125,0.9141666666666666,0.8433333333333334,0.8116666666666665,0.6316666666666666,0.7141666666666666,0.7983333333333332,0.6108333333333332,0.6658333333333333,0.8233333333333335,0.8041666666666666
SO5adj1nf2,1.0,1.0,0.9916666666666668,1.0,0.9949999999999999,0.9974999999999999,0.9966666666666667,0.9791666666666667,0.9625,0.9091666666666667,0.8883333333333333,0.9008333333333333,0.5708333333333333,0.5475000000000001,0.0,0.6725,0.8991666666666667,0.8833333333333332,0.7141666666666666,0.8258333333333333,0.8333333333333334,0.9733333333333333,0.9299999999999999,0.95,0.8516666666666668,0.6425,0.8783333333333333,0.85,0.7658333333333334,0.8099999999999999,0.6975,0.8175000000000001,0.9066666666666666,0.8625,0.8466666666666667,0.5875,0.7183333333333334,0.8441666666666666,0.6133333333333334,0.6358333333333334,0.8041666666666666,0.8141666666666667
SO5nf5,1.0,1.0,0.9875,1.0,0.9941666666666666,0.9991666666666668,0.9941666666666666,0.9783333333333335,0.9458333333333332,0.9091666666666667,0.8874999999999998,0.8558333333333333,0.6408333333333334,0.635,0.6725,0.0,0.8783333333333333,0.875,0.6824999999999999,0.8741666666666668,0.8375,0.9766666666666666,0.8358333333333332,0.9033333333333333,0.8791666666666667,0.8041666666666666,0.8508333333333333,0.8408333333333331,0.7191666666666666,0.8641666666666665,0.7758333333333333,0.8075000000000001,0.9191666666666668,0.7941666666666667,0.7841666666666667,0.645,0.7191666666666666,0.7566666666666666,0.5958333333333332,0.6575,0.8083333333333333,0.7233333333333334
SU4s1S1a2A2nf1,0.9983333333333334,0.9966666666666667,0.9899999999999999,0.9966666666666667,0.99,0.9925,0.8841666666666667,0.8258333333333333,0.8241666666666667,0.6483333333333333,0.8733333333333333,0.8658333333333333,0.9025000000000001,0.9000000000000001,0.8991666666666667,0.8783333333333333,0.0,0.8358333333333332,0.8491666666666667,0.8774999999999998,0.6341666666666667,0.8574999999999999,0.8558333333333333,0.775,0.85,0.86,0.7233333333333334,0.56,0.8708333333333332,0.5975,0.7491666666666665,0.5958333333333334,0.8008333333333333,0.86,0.8608333333333335,0.8724999999999999,0.8358333333333332,0.8799999999999999,0.8691666666666666,0.8858333333333335,0.5816666666666668,0.7308333333333333
SU2adj1nf3,0.9991666666666668,1.0,0.9966666666666667,1.0,0.9966666666666667,0.9991666666666668,0.9933333333333332,0.9416666666666667,0.7591666666666668,0.9066666666666668,0.8866666666666665,0.8933333333333333,0.8933333333333333,0.8966666666666667,0.8833333333333332,0.875,0.8358333333333332,0.0,0.8058333333333334,0.8933333333333332,0.8375,0.8333333333333334,0.7700000000000001,0.6566666666666666,0.8225,0.7891666666666667,0.6483333333333333,0.7691666666666668,0.7825,0.7775000000000001,0.7508333333333334,0.7274999999999999,0.7550000000000001,0.8066666666666666,0.7516666666666667,0.7741666666666667,0.725,0.8108333333333333,0.7675000000000001,0.7783333333333334,0.7108333333333333,0.5633333333333334
SU2adj2nf1,1.0,1.0,0.9558333333333333,0.9975000000000002,0.9816666666666667,0.9616666666666666,0.9825000000000002,0.975,0.9475,0.9033333333333335,0.8658333333333333,0.8766666666666666,0.7291666666666666,0.7366666666666666,0.7141666666666666,0.6824999999999999,0.8491666666666667,0.8058333333333334,0.0,0.8691666666666666,0.8308333333333333,0.9166666666666666,0.8566666666666668,0.8808333333333334,0.8949999999999999,0.6708333333333333,0.7241666666666667,0.8658333333333333,0.6608333333333334,0.8141666666666667,0.7875,0.7808333333333334,0.8558333333333333,0.7858333333333333,0.8258333333333333,0.6241666666666666,0.7891666666666667,0.8425,0.6658333333333333,0.6416666666666667,0.7424999999999999,0.6333333333333334
SU5a3A3nf0,1.0,0.9966666666666667,0.9958333333333333,0.9950000000000001,0.9908333333333335,0.9925,0.9275000000000002,0.9616666666666667,0.8925000000000001,0.9058333333333334,0.8866666666666667,0.5866666666666667,0.8724999999999999,0.8958333333333333,0.8258333333333333,0.8741666666666668,0.8774999999999998,0.8933333333333332,0.8691666666666666,0.0,0.8275,0.6950000000000001,0.7483333333333333,0.7166666666666666,0.6625,0.7266666666666668,0.835,0.8116666666666668,0.8016666666666665,0.7966666666666666,0.8416666666666666,0.8091666666666667,0.6758333333333334,0.7066666666666667,0.7008333333333333,0.7983333333333332,0.7258333333333333,0.6925000000000001,0.7300000000000001,0.6433333333333333,0.7425,0.7141666666666666
SU7s1S2a1f8nf0,1.0,1.0,1.0,0.7683333333333333,1.0,0.9991666666666668,0.8375,0.8358333333333332,0.8333333333333334,0.6033333333333333,0.8858333333333333,0.8283333333333334,0.8375,0.8316666666666667,0.8333333333333334,0.8375,0.6341666666666667,0.8375,0.8308333333333333,0.8275,0.0,0.8225,0.8383333333333333,0.7775000000000001,0.8183333333333334,0.8383333333333333,0.8233333333333335,0.6158333333333333,0.8291666666666666,0.6116666666666666,0.7508333333333334,0.7475,0.7858333333333334,0.8316666666666667,0.8341666666666667,0.8341666666666667,0.8316666666666667,0.8375,0.8316666666666667,0.8383333333333333,0.5983333333333334,0.7350000000000001
SU3nf6,0.8766666666666667,0.8766666666666667,0.9991666666666668,0.9800000000000001,0.9983333333333334,0.9991666666666668,0.9758333333333333,0.9574999999999999,0.8608333333333332,0.9091666666666667,0.8858333333333335,0.9216666666666666,0.975,0.9633333333333333,0.9733333333333333,0.9766666666666666,0.8574999999999999,0.8333333333333334,0.9166666666666666,0.6950000000000001,0.8225,0.0,0.6525000000000001,0.6,0.5925,0.8574999999999999,0.8150000000000001,0.8158333333333333,0.8516666666666666,0.8391666666666666,0.8099999999999999,0.7258333333333333,0.525,0.5433333333333333,0.5433333333333333,0.7166666666666666,0.7999999999999999,0.5458333333333334,0.7741666666666667,0.7525000000000001,0.7225,0.73
SU5adj1a2A2nf1,1.0,1.0,0.9966666666666667,1.0,0.9958333333333333,0.9958333333333332,0.7391666666666666,0.9416666666666667,0.7100000000000001,0.9091666666666667,0.8858333333333333,0.865,0.945,0.9233333333333335,0.9299999999999999,0.8358333333333332,0.8558333333333333,0.7700000000000001,0.8566666666666668,0.7483333333333333,0.8383333333333333,0.6525000000000001,0.0,0.6758333333333333,0.6116666666666667,0.8333333333333334,0.8191666666666666,0.8166666666666667,0.7166666666666666,0.8625,0.8800000000000001,0.8041666666666666,0.6291666666666668,0.6441666666666667,0.6708333333333333,0.6333333333333333,0.6749999999999999,0.6433333333333333,0.8324999999999999,0.6408333333333334,0.725,0.6066666666666667
SU5adj1s1A1F8nf0,0.9791666666666667,0.9333333333333333,1.0,0.9475,1.0,0.9991666666666668,0.8691666666666666,0.8833333333333332,0.7791666666666666,0.8408333333333333,0.8883333333333333,0.8258333333333333,0.9574999999999999,0.9541666666666666,0.95,0.9033333333333333,0.775,0.6566666666666666,0.8808333333333334,0.7166666666666666,0.7775000000000001,0.6,0.6758333333333333,0.0,0.68,0.8808333333333334,0.6958333333333333,0.7324999999999999,0.7583333333333332,0.6808333333333334,0.8041666666666666,0.7125,0.625,0.6441666666666667,0.7125000000000001,0.8733333333333334,0.8058333333333334,0.6883333333333332,0.8024999999999999,0.8466666666666667,0.6766666666666666,0.5358333333333334
SU5s1S1a1A1nf1,0.9891666666666667,0.9983333333333334,0.99,0.9816666666666668,0.9858333333333335,0.99,0.8958333333333333,0.9441666666666666,0.8483333333333333,0.89,0.8858333333333333,0.7875,0.9083333333333332,0.8791666666666667,0.8516666666666668,0.8791666666666667,0.85,0.8225,0.8949999999999999,0.6625,0.8183333333333334,0.5925,0.6116666666666667,0.68,0.0,0.7508333333333334,0.8016666666666667,0.7883333333333333,0.72,0.7833333333333332,0.7658333333333334,0.7958333333333334,0.5916666666666667,0.6108333333333333,0.6033333333333333,0.8033333333333333,0.6783333333333335,0.5875,0.7066666666666667,0.6991666666666666,0.7083333333333334,0.6966666666666665
Sp4a3nf0,1.0,1.0,0.9991666666666668,0.9925,0.9941666666666666,0.9991666666666668,0.9916666666666666,0.9724999999999999,0.9475,0.9091666666666667,0.8891666666666665,0.9049999999999999,0.605,0.5958333333333332,0.6425,0.8041666666666666,0.86,0.7891666666666667,0.6708333333333333,0.7266666666666668,0.8383333333333333,0.8574999999999999,0.8333333333333334,0.8808333333333334,0.7508333333333334,0.0,0.805,0.8166666666666667,0.7116666666666667,0.7983333333333335,0.6699999999999999,0.8100000000000002,0.8666666666666666,0.6383333333333334,0.635,0.5766666666666667,0.6083333333333333,0.6941666666666667,0.5783333333333334,0.5516666666666666,0.7558333333333335,0.7333333333333334
SU3adj2nf2,1.0,1.0,0.9991666666666668,0.9975000000000002,0.9966666666666667,0.9941666666666666,0.8724999999999999,0.7133333333333335,0.7450000000000001,0.8799999999999999,0.8858333333333333,0.8641666666666665,0.8850000000000001,0.8708333333333333,0.8783333333333333,0.8508333333333333,0.7233333333333334,0.6483333333333333,0.7241666666666667,0.835,0.8233333333333335,0.8150000000000001,0.8191666666666666,0.6958333333333333,0.8016666666666667,0.805,0.0,0.5625,0.825,0.5491666666666666,0.6733333333333332,0.5483333333333332,0.7274999999999999,0.7766666666666666,0.8133333333333332,0.7808333333333334,0.7541666666666667,0.7866666666666667,0.7708333333333333,0.7775000000000001,0.6008333333333333,0.6141666666666665
