Theories,SU2nf4,SU9s2A2F16nf0,SU10s2A2F16nf1,Sp2s1a2nf0,Sp2s1a2nf1,Sp2s2a1nf1,SU5s1a1A2F8nf0,SU5s1a1A2F8nf1,SU6s1a1A2F8nf1,Sp2adj1nf1,SU4a3A3nf1,SU2adj1nf2,SO5adj1nf2,SU7a2A2nf1,SU3nf6,Sp3a3nf1,SU6adj1s1A1F8nf1,SU5adj1a2A2nf1,SU6s2S2nf1,SU5adj1s1A1F8nf0,SU3adj1nf2,SU5s1S1a1A1nf1,Sp2adj1a2nf4,Sp2s1a1nf2,SU8s1S2a1f8nf1,SU4adj2a1A1nf1
SU2nf4,0.0,0.0,0.002260776661041748,0.0011666666666666624,0.022241727550809637,0.005066228051190219,0.0030550504633038824,0.003004626062886659,0.006718548123582132,0.0011666666666666624,0.002260776661041748,0.004412734098291246,0.0016329931618554463,0.043711173247428015,0.021860669909426138,0.0016329931618554463,0.0034359213546813925,0.0011666666666666624,0.0011666666666666626,0.02434930982366624,0.0016329931618554463,0.0057638721552635466,0.018800118202938094,0.012710450643291746,0.002587362449376675,0.002260776661041748
SU9s2A2F16nf0,0.0,0.0,0.017260262647673316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04037635446644484,0.036026610535362144,0.0,0.002333333333333341,0.0,0.03543381937578216,0.0258736244937667,0.0,0.005842849380986042,0.011086778913041719,0.0058333333333333275,0.09412594989929421,0.004166666666666673
SU10s2A2F16nf1,0.002260776661041748,0.017260262647673316,0.0,0.002260776661041748,0.004946940693218619,0.003929942040850527,0.002260776661041748,0.002260776661041748,0.002260776661041748,0.002260776661041748,0.002260776661041748,0.002260776661041748,0.002260776661041748,0.041880783182743846,0.023109041039770076,0.002260776661041748,0.027833333333333335,0.002260776661041748,0.03710944773384685,0.02061620182714987,0.002260776661041748,0.012489995996796796,0.01656720321062738,0.005637178175095935,0.037737764757453364,0.01602168669162034
Sp2s1a2nf0,0.0011666666666666624,0.0,0.002260776661041748,0.0,0.0800388794413204,0.06536138853414232,0.002260776661041748,0.0016329931618554463,0.0,0.009340770846134716,0.003333333333333322,0.008373237791386977,0.010515861036231576,0.12013661205292729,0.001979057014506312,0.006489307444643929,0.0,0.0055,0.00552770798392567,0.0011666666666666624,0.008812869377601534,0.008164965809277277,0.003480102169636847,0.007189884870041003,0.0,0.010307764064044161
Sp2s1a2nf1,0.022241727550809637,0.0,0.004946940693218619,0.0800388794413204,0.0,0.0678937077758724,0.0019790570145063126,0.0016329931618554463,0.0011666666666666624,0.006741249472052242,0.0032015621187164132,0.004229525846816499,0.006256108126374492,0.08618391187841654,0.003201562118716413,0.005795112883571238,0.0016329931618554463,0.005580223014261068,0.0058333333333333345,0.001979057014506312,0.0059066817155564565,0.009921917377424825,0.006920179830675569,0.008738484485945565,0.002891558595482902,0.009172725270544689
Sp2s2a1nf1,0.005066228051190219,0.0,0.003929942040850527,0.06536138853414232,0.0678937077758724,0.0,0.002260776661041748,0.0016329931618554463,0.0,0.006256108126374495,0.003179797338056485,0.004179978734661485,0.006716480559869968,0.05410894360249308,0.0034520525295346507,0.0042295258468164985,0.0016329931618554463,0.0055,0.005325515102890155,0.001979057014506312,0.006030017505041854,0.008207381501496771,0.006489307444643937,0.00567890834580028,0.003337497399083463,0.008326663997864543
SU5s1a1A2F8nf0,0.0030550504633038824,0.0,0.002260776661041748,0.002260776661041748,0.0019790570145063126,0.002260776661041748,0.0,0.019436506316150997,0.04093660410385253,0.007266743118863891,0.017672954855748747,0.00827311576399392,0.008472176684759235,0.024438698819699876,0.018436075745366452,0.009510228411791414,0.031633754826837175,0.0791664912278758,0.015242484486898238,0.05081666393353005,0.01652018966799919,0.052820713529616176,0.05524214373505471,0.015478479684172262,0.07068887229731896,0.07535766568689464
SU5s1a1A2F8nf1,0.003004626062886659,0.0,0.002260776661041748,0.0016329931618554463,0.0016329931618554463,0.0016329931618554463,0.019436506316150997,0.0,0.026140645235596865,0.015766525721709695,0.020429417786885437,0.020440292452789305,0.01917463602435954,0.024574716003784598,0.03107383679775211,0.020968892303706566,0.0909195309661852,0.021281186266016484,0.04711098008367523,0.027988092706244434,0.021310534692702776,0.02463567873363075,0.035077691549536785,0.020085926526910436,0.034706707645000785,0.03954041532969076
SU6s1a1A2F8nf1,0.006718548123582132,0.0,0.002260776661041748,0.0,0.0011666666666666624,0.0,0.04093660410385253,0.026140645235596865,0.0,0.016583123951776996,0.031029108197876965,0.024991109530302084,0.025796209885261143,0.02485569463031672,0.058955020519413315,0.02991144336946053,0.039080046059338264,0.034379014917048825,0.03547338595498195,0.05008326400438906,0.03285659074760429,0.03633792019976438,0.040646169697907714,0.03414389485040563,0.05009130552190558,0.08293638793945902
Sp2adj1nf1,0.0011666666666666624,0.0,0.002260776661041748,0.009340770846134716,0.006741249472052242,0.006256108126374495,0.007266743118863891,0.015766525721709695,0.016583123951776996,0.0,0.02459448899426228,0.04920365840057018,0.03724580513292738,0.02435615368284209,0.06565820588471787,0.05206726418777926,0.05913473316644514,0.017480942003603044,0.07491550796285995,0.021171259344267224,0.06189148209209047,0.037351186207550506,0.03822448313726572,0.07485634390098292,0.10689052031557025,0.04839765834555773
SU4a3A3nf1,0.002260776661041748,0.0,0.002260776661041748,0.003333333333333322,0.0032015621187164132,0.003179797338056485,0.017672954855748747,0.020429417786885437,0.031029108197876965,0.02459448899426228,0.0,0.028756158760631895,0.03906013881752655,0.023606143268225754,0.06395940552847217,0.04966247185864908,0.03173851498311371,0.07696391650926065,0.04392575807225439,0.0562753646515655,0.07708599094517757,0.07496758558796521,0.10331505214633538,0.06221044035279681,0.061449165982948875,0.05640651065652301
