Theories,SU2nf4,SU2adj1nf2,SU6s1a1A2F8nf1,SU6adj1s1A1F8nf1,SU3adj1nf2,SU5s1a1A2F8nf0,SU3nf6,SU5s1a1A2F8nf1,SU6s2S2nf1,SU10s2A2F16nf1,SU8s1S2a1f8nf1,Sp2adj1a2nf4,SU5adj1s1A1F8nf0,SU9s2A2F16nf0,SO5adj1nf2,SU7a2A2nf1,Sp2s1a2nf0,Sp2adj1nf1,SU5s1S1a1A1nf1,SU4adj2a1A1nf1,Sp2s2a1nf1,Sp2s1a1nf2,Sp2s1a2nf1,SU5adj1a2A2nf1,Sp3a3nf1,SU4a3A3nf1
SU2nf4,0.0,0.9988333333333334,0.9958333333333332,0.9991666666666668,0.9996666666666667,0.9986666666666667,0.8809999999999999,0.9991666666666668,0.9998333333333334,0.9993333333333334,0.9995,0.9956666666666668,0.9776666666666668,1.0,0.9996666666666667,0.9576666666666667,0.9998333333333334,0.9998333333333334,0.9913333333333333,0.9993333333333334,0.9956666666666666,0.9953333333333333,0.9701666666666666,0.9998333333333334,0.9996666666666667,0.9993333333333334
SU2adj1nf2,0.9988333333333334,0.0,0.9576666666666666,0.8745,0.6233333333333333,0.9906666666666668,0.9461666666666667,0.9745,0.6956666666666667,0.9993333333333334,0.8196666666666665,0.8953333333333332,0.9400000000000002,1.0,0.546,0.8845000000000001,0.9956666666666668,0.5813333333333334,0.8635,0.7989999999999999,0.9981666666666668,0.7976666666666666,0.9973333333333333,0.9213333333333334,0.77,0.9068333333333334
SU6s1a1A2F8nf1,0.9958333333333332,0.9576666666666666,0.0,0.7938333333333332,0.9093333333333332,0.8898333333333333,0.8691666666666665,0.91,0.9261666666666667,0.9993333333333334,0.7435,0.7863333333333332,0.8016666666666667,1.0,0.9519999999999998,0.8921666666666667,1.0,0.975,0.8596666666666667,0.6873333333333334,1.0,0.8901666666666666,0.9998333333333334,0.7168333333333335,0.9035,0.9111666666666668
SU6adj1s1A1F8nf1,0.9991666666666668,0.8745,0.7938333333333332,0.0,0.8003333333333331,0.8041666666666666,0.8061666666666667,0.7218333333333333,0.7131666666666666,0.9301666666666667,0.5656666666666665,0.7143333333333334,0.7121666666666667,0.9996666666666667,0.866,0.8910000000000001,1.0,0.9218333333333333,0.7738333333333333,0.6453333333333333,0.9996666666666667,0.7983333333333333,0.9996666666666667,0.8024999999999999,0.8038333333333331,0.7926666666666665
SU3adj1nf2,0.9996666666666667,0.6233333333333333,0.9093333333333332,0.8003333333333331,0.0,0.9825,0.784,0.9668333333333333,0.57,0.9993333333333334,0.7361666666666666,0.7313333333333334,0.8158333333333333,1.0,0.6098333333333333,0.8844999999999998,0.9913333333333334,0.7033333333333333,0.7101666666666666,0.6491666666666667,0.9965,0.6325000000000001,0.9936666666666667,0.7663333333333334,0.5986666666666666,0.7955
SU5s1a1A2F8nf0,0.9986666666666667,0.9906666666666668,0.8898333333333333,0.8041666666666666,0.9825,0.0,0.9763333333333334,0.9516666666666667,0.9760000000000001,0.9993333333333334,0.7948333333333332,0.9445,0.8760000000000001,1.0,0.991,0.8905,0.9993333333333334,0.9928333333333333,0.8838333333333331,0.9013333333333332,0.9993333333333334,0.9791666666666667,0.9995,0.7376666666666667,0.9853333333333335,0.9693333333333334
SU3nf6,0.8809999999999999,0.9461666666666667,0.8691666666666665,0.8061666666666667,0.784,0.9763333333333334,0.0,0.9611666666666667,0.8473333333333334,0.9941666666666665,0.7416666666666667,0.542,0.6088333333333333,0.8891666666666667,0.9695,0.8856666666666668,0.9995,0.9670000000000001,0.591,0.7073333333333334,0.9981666666666668,0.5405000000000001,0.9985,0.6679999999999998,0.8851666666666667,0.9431666666666665
SU5s1a1A2F8nf1,0.9991666666666668,0.9745,0.91,0.7218333333333333,0.9668333333333333,0.9516666666666667,0.9611666666666667,0.0,0.9316666666666669,0.9993333333333334,0.7406666666666668,0.867,0.895,1.0,0.9763333333333334,0.8921666666666667,0.9996666666666667,0.9835,0.9418333333333335,0.7909999999999999,0.9996666666666667,0.9623333333333334,0.9996666666666667,0.9476666666666667,0.9684999999999999,0.9674999999999998
SU6s2S2nf1,0.9998333333333334,0.6956666666666667,0.9261666666666667,0.7131666666666666,0.57,0.9760000000000001,0.8473333333333334,0.9316666666666669,0.0,0.9446666666666665,0.6446666666666667,0.7625,0.7696666666666665,0.975,0.7281666666666666,0.887,0.995,0.7443333333333332,0.7855000000000001,0.5633333333333332,0.9961666666666666,0.7373333333333334,0.9958333333333332,0.883,0.6888333333333333,0.8778333333333334
SU10s2A2F16nf1,0.9993333333333334,0.9993333333333334,0.9993333333333334,0.9301666666666667,0.9993333333333334,0.9993333333333334,0.9941666666666665,0.9993333333333334,0.9446666666666665,0.0,0.7818333333333334,0.9938333333333333,0.9488333333333335,0.9508333333333334,0.9993333333333334,0.9026666666666665,0.9993333333333334,0.9993333333333334,0.9796666666666667,0.9921666666666666,0.998,0.9973333333333333,0.9978333333333333,0.9993333333333334,0.9993333333333334,0.9993333333333334
SU8s1S2a1f8nf1,0.9995,0.8196666666666665,0.7435,0.5656666666666665,0.7361666666666666,0.7948333333333332,0.7416666666666667,0.7406666666666668,0.6446666666666667,0.7818333333333334,0.0,0.666,0.677,0.8751666666666666,0.8176666666666667,0.8716666666666666,1.0,0.8205000000000001,0.7101666666666666,0.6046666666666667,0.9988333333333334,0.7343333333333333,0.9988333333333334,0.7391666666666667,0.7538333333333332,0.7736666666666667
Sp2adj1a2nf4,0.9956666666666668,0.8953333333333332,0.7863333333333332,0.7143333333333334,0.7313333333333334,0.9445,0.542,0.867,0.7625,0.9938333333333333,0.666,0.0,0.6313333333333333,0.9975,0.9171666666666667,0.8833333333333333,0.9986666666666667,0.9333333333333332,0.586,0.6201666666666666,0.9953333333333333,0.565,0.9956666666666666,0.6533333333333333,0.7131666666666666,0.7843333333333333
SU5adj1s1A1F8nf0,0.9776666666666668,0.9400000000000002,0.8016666666666667,0.7121666666666667,0.8158333333333333,0.8760000000000001,0.6088333333333333,0.895,0.7696666666666665,0.9488333333333335,0.677,0.6313333333333333,0.0,0.9483333333333333,0.9470000000000001,0.8894999999999998,0.9998333333333334,0.9596666666666667,0.6884999999999999,0.5646666666666667,0.9995,0.6900000000000002,0.9995,0.665,0.7768333333333334,0.8215
SU9s2A2F16nf0,1.0,1.0,1.0,0.9996666666666667,1.0,1.0,0.8891666666666667,1.0,0.975,0.9508333333333334,0.8751666666666666,0.9975,0.9483333333333333,0.0,1.0,0.9051666666666667,1.0,1.0,0.9981666666666666,0.9991666666666665,1.0,0.9991666666666668,1.0,1.0,1.0,1.0
SO5adj1nf2,0.9996666666666667,0.546,0.9519999999999998,0.866,0.6098333333333333,0.991,0.9695,0.9763333333333334,0.7281666666666666,0.9993333333333334,0.8176666666666667,0.9171666666666667,0.9470000000000001,1.0,0.0,0.8878333333333334,0.9895,0.5671666666666666,0.8493333333333334,0.7729999999999998,0.9956666666666666,0.8216666666666668,0.9951666666666666,0.9161666666666668,0.745,0.9041666666666666
SU7a2A2nf1,0.9576666666666667,0.8845000000000001,0.8921666666666667,0.8910000000000001,0.8844999999999998,0.8905,0.8856666666666668,0.8921666666666667,0.887,0.9026666666666665,0.8716666666666666,0.8833333333333333,0.8894999999999998,0.9051666666666667,0.8878333333333334,0.0,0.8561666666666666,0.8853333333333333,0.8836666666666666,0.8809999999999999,0.6183333333333333,0.8813333333333333,0.6579999999999999,0.8875,0.8874999999999998,0.8888333333333333
Sp2s1a2nf0,0.9998333333333334,0.9956666666666668,1.0,1.0,0.9913333333333334,0.9993333333333334,0.9995,0.9996666666666667,0.995,0.9993333333333334,1.0,0.9986666666666667,0.9998333333333334,1.0,0.9895,0.8561666666666666,0.0,0.9911666666666668,0.9866666666666668,0.9875,0.7496666666666667,0.9945000000000002,0.8043333333333332,0.9968333333333333,0.9963333333333334,0.9983333333333334
Sp2adj1nf1,0.9998333333333334,0.5813333333333334,0.975,0.9218333333333333,0.7033333333333333,0.9928333333333333,0.9670000000000001,0.9835,0.7443333333333332,0.9993333333333334,0.8205000000000001,0.9333333333333332,0.9596666666666667,1.0,0.5671666666666666,0.8853333333333333,0.9911666666666668,0.0,0.8956666666666666,0.8376666666666668,0.9964999999999999,0.8391666666666666,0.9930000000000001,0.9405,0.8420000000000002,0.9363333333333334
SU5s1S1a1A1nf1,0.9913333333333333,0.8635,0.8596666666666667,0.7738333333333333,0.7101666666666666,0.8838333333333331,0.591,0.9418333333333335,0.7855000000000001,0.9796666666666667,0.7101666666666666,0.586,0.6884999999999999,0.9981666666666666,0.8493333333333334,0.8836666666666666,0.9866666666666668,0.8956666666666666,0.0,0.6686666666666667,0.9858333333333335,0.5829999999999999,0.9860000000000001,0.6081666666666666,0.6635,0.7725
SU4adj2a1A1nf1,0.9993333333333334,0.7989999999999999,0.6873333333333334,0.6453333333333333,0.6491666666666667,0.9013333333333332,0.7073333333333334,0.7909999999999999,0.5633333333333332,0.9921666666666666,0.6046666666666667,0.6201666666666666,0.5646666666666667,0.9991666666666665,0.7729999999999998,0.8809999999999999,0.9875,0.8376666666666668,0.6686666666666667,0.0,0.9913333333333334,0.6561666666666668,0.9898333333333333,0.5991666666666666,0.7048333333333333,0.7244999999999999
Sp2s2a1nf1,0.9956666666666666,0.9981666666666668,1.0,0.9996666666666667,0.9965,0.9993333333333334,0.9981666666666668,0.9996666666666667,0.9961666666666666,0.998,0.9988333333333334,0.9953333333333333,0.9995,1.0,0.9956666666666666,0.6183333333333333,0.7496666666666667,0.9964999999999999,0.9858333333333335,0.9913333333333334,0.0,0.9945,0.7026666666666667,0.9968333333333333,0.9973333333333333,0.9990000000000001
Sp2s1a1nf2,0.9953333333333333,0.7976666666666666,0.8901666666666666,0.7983333333333333,0.6325000000000001,0.9791666666666667,0.5405000000000001,0.9623333333333334,0.7373333333333334,0.9973333333333333,0.7343333333333333,0.565,0.6900000000000002,0.9991666666666668,0.8216666666666668,0.8813333333333333,0.9945000000000002,0.8391666666666666,0.5829999999999999,0.6561666666666668,0.9945,0.0,0.9915,0.6680000000000001,0.5976666666666667,0.7991666666666666
Sp2s1a2nf1,0.9701666666666666,0.9973333333333333,0.9998333333333334,0.9996666666666667,0.9936666666666667,0.9995,0.9985,0.9996666666666667,0.9958333333333332,0.9978333333333333,0.9988333333333334,0.9956666666666666,0.9995,1.0,0.9951666666666666,0.6579999999999999,0.8043333333333332,0.9930000000000001,0.9860000000000001,0.9898333333333333,0.7026666666666667,0.9915,0.0,0.9961666666666668,0.9951666666666666,0.9985
SU5adj1a2A2nf1,0.9998333333333334,0.9213333333333334,0.7168333333333335,0.8024999999999999,0.7663333333333334,0.7376666666666667,0.6679999999999998,0.9476666666666667,0.883,0.9993333333333334,0.7391666666666667,0.6533333333333333,0.665,1.0,0.9161666666666668,0.8875,0.9968333333333333,0.9405,0.6081666666666666,0.5991666666666666,0.9968333333333333,0.6680000000000001,0.9961666666666668,0.0,0.7444999999999999,0.8693333333333334
Sp3a3nf1,0.9996666666666667,0.77,0.9035,0.8038333333333331,0.5986666666666666,0.9853333333333335,0.8851666666666667,0.9684999999999999,0.6888333333333333,0.9993333333333334,0.7538333333333332,0.7131666666666666,0.7768333333333334,1.0,0.745,0.8874999999999998,0.9963333333333334,0.8420000000000002,0.6635,0.7048333333333333,0.9973333333333333,0.5976666666666667,0.9951666666666666,0.7444999999999999,0.0,0.8718333333333332
SU4a3A3nf1,0.9993333333333334,0.9068333333333334,0.9111666666666668,0.7926666666666665,0.7955,0.9693333333333334,0.9431666666666665,0.9674999999999998,0.8778333333333334,0.9993333333333334,0.7736666666666667,0.7843333333333333,0.8215,1.0,0.9041666666666666,0.8888333333333333,0.9983333333333334,0.9363333333333334,0.7725,0.7244999999999999,0.9990000000000001,0.7991666666666666,0.9985,0.8693333333333334,0.8718333333333332,0.0
