SU5adj1a2A2nf1,SU5adj1a2A2nf1,SU6s2S2nf1,SU5adj1s1A1F8nf0,SU3adj1nf2,SU5s1S1a1A1nf1,Sp2adj1a2nf4,Sp2s1a1nf2,SU8s1S2a1f8nf1,SU4adj2a1A1nf1
SU5adj1a2A2nf1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SU6s2S2nf1,0.0,0.0,0.636,0.5694444444444444,0.583,0.6361111111111112,0.6042222222222222,0.666,0.5646666666666667
SU5adj1s1A1F8nf0,0.0,0.636,0.0,0.5814444444444444,0.5026666666666667,0.5013333333333333,0.5354444444444444,0.5908888888888889,0.45
SU3adj1nf2,0.0,0.5694444444444444,0.5814444444444444,0.0,0.5586666666666666,0.6066666666666667,0.5235555555555556,0.6022222222222222,0.5333333333333333
SU5s1S1a1A1nf1,0.0,0.583,0.5026666666666667,0.5586666666666666,0.0,0.4616666666666667,0.47300000000000003,0.5381111111111111,0.4691111111111111
Sp2adj1a2nf4,0.0,0.6361111111111112,0.5013333333333333,0.6066666666666667,0.4616666666666667,0.0,0.43822222222222224,0.5741111111111112,0.46399999999999997
Sp2s1a1nf2,0.0,0.6042222222222222,0.5354444444444444,0.5235555555555556,0.47300000000000003,0.43822222222222224,0.0,0.5582222222222222,0.47844444444444434
SU8s1S2a1f8nf1,0.0,0.666,0.5908888888888889,0.6022222222222222,0.5381111111111111,0.5741111111111112,0.5582222222222222,0.0,0.4804444444444445
SU4adj2a1A1nf1,0.0,0.5646666666666667,0.45,0.5333333333333333,0.4691111111111111,0.46399999999999997,0.47844444444444434,0.4804444444444445,0.0

SU6s2S2nf1,SU5adj1a2A2nf1,SU6s2S2nf1,SU5adj1s1A1F8nf0,SU3adj1nf2,SU5s1S1a1A1nf1,Sp2adj1a2nf4,Sp2s1a1nf2,SU8s1S2a1f8nf1,SU4adj2a1A1nf1
SU5adj1a2A2nf1,0.0,0.0,0.636,0.5694444444444444,0.583,0.6361111111111112,0.6042222222222222,0.666,0.5646666666666667
SU6s2S2nf1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SU5adj1s1A1F8nf0,0.636,0.0,0.0,0.5361111111111111,0.5984444444444444,0.5734444444444444,0.5266666666666666,0.639,0.5556666666666668
SU3adj1nf2,0.5694444444444444,0.0,0.5361111111111111,0.0,0.4786666666666667,0.5031111111111111,0.4831111111111111,0.4647777777777778,0.4401111111111111
SU5s1S1a1A1nf1,0.583,0.0,0.5984444444444444,0.4786666666666667,0.0,0.5517777777777778,0.513,0.6414444444444445,0.5711111111111111
Sp2adj1a2nf4,0.6361111111111112,0.0,0.5734444444444444,0.5031111111111111,0.5517777777777778,0.0,0.4774444444444444,0.6054444444444443,0.5464444444444445
Sp2s1a1nf2,0.6042222222222222,0.0,0.5266666666666666,0.4831111111111111,0.513,0.4774444444444444,0.0,0.5654444444444444,0.5165555555555555
SU8s1S2a1f8nf1,0.666,0.0,0.639,0.4647777777777778,0.6414444444444445,0.6054444444444443,0.5654444444444444,0.0,0.49522222222222223
SU4adj2a1A1nf1,0.5646666666666667,0.0,0.5556666666666668,0.4401111111111111,0.5711111111111111,0.5464444444444445,0.5165555555555555,0.49522222222222223,0.0

SU5adj1s1A1F8nf0,SU5adj1a2A2nf1,SU6s2S2nf1,SU5adj1s1A1F8nf0,SU3adj1nf2,SU5s1S1a1A1nf1,Sp2adj1a2nf4,Sp2s1a1nf2,SU8s1S2a1f8nf1,SU4adj2a1A1nf1
SU5adj1a2A2nf1,0.0,0.636,0.0,0.5814444444444444,0.5026666666666667,0.5013333333333333,0.5354444444444444,0.5908888888888889,0.45
SU6s2S2nf1,0.636,0.0,0.0,0.5361111111111111,0.5984444444444444,0.5734444444444444,0.5266666666666666,0.639,0.5556666666666668
SU5adj1s1A1F8nf0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SU3adj1nf2,0.5814444444444444,0.5361111111111111,0.0,0.0,0.5732222222222222,0.5877777777777777,0.5231111111111111,0.6423333333333332,0.511888888888889
SU5s1S1a1A1nf1,0.5026666666666667,0.5984444444444444,0.0,0.5732222222222222,0.0,0.46255555555555555,0.48744444444444446,0.5567777777777778,0.47611111111111115
Sp2adj1a2nf4,0.5013333333333333,0.5734444444444444,0.0,0.5877777777777777,0.46255555555555555,0.0,0.44322222222222224,0.5284444444444446,0.4236666666666666
Sp2s1a1nf2,0.5354444444444444,0.5266666666666666,0.0,0.5231111111111111,0.48744444444444446,0.44322222222222224,0.0,0.609,0.46411111111111114
SU8s1S2a1f8nf1,0.5908888888888889,0.639,0.0,0.6423333333333332,0.5567777777777778,0.5284444444444446,0.609,0.0,0.5035555555555555
SU4adj2a1A1nf1,0.45,0.5556666666666668,0.0,0.511888888888889,0.47611111111111115,0.4236666666666666,0.46411111111111114,0.5035555555555555,0.0

SU3adj1nf2,SU5adj1a2A2nf1,SU6s2S2nf1,SU5adj1s1A1F8nf0,SU3adj1nf2,SU5s1S1a1A1nf1,Sp2adj1a2nf4,Sp2s1a1nf2,SU8s1S2a1f8nf1,SU4adj2a1A1nf1
SU5adj1a2A2nf1,0.0,0.5694444444444444,0.5814444444444444,0.0,0.5586666666666666,0.6066666666666667,0.5235555555555556,0.6022222222222222,0.5333333333333333
SU6s2S2nf1,0.5694444444444444,0.0,0.5361111111111111,0.0,0.4786666666666667,0.5031111111111111,0.4831111111111111,0.4647777777777778,0.4401111111111111
SU5adj1s1A1F8nf0,0.5814444444444444,0.5361111111111111,0.0,0.0,0.5732222222222222,0.5877777777777777,0.5231111111111111,0.6423333333333332,0.511888888888889
SU3adj1nf2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SU5s1S1a1A1nf1,0.5586666666666666,0.4786666666666667,0.5732222222222222,0.0,0.0,0.5296666666666667,0.4822222222222223,0.5963333333333334,0.5593333333333333
Sp2adj1a2nf4,0.6066666666666667,0.5031111111111111,0.5877777777777777,0.0,0.5296666666666667,0.0,0.47144444444444455,0.5914444444444444,0.5654444444444444
Sp2s1a1nf2,0.5235555555555556,0.4831111111111111,0.5231111111111111,0.0,0.4822222222222223,0.47144444444444455,0.0,0.5591111111111111,0.5048888888888888
