Theories,SU9s2A2F16nf0,SU10s2A2F16nf1,SU2nf4,SU5s1a1A2F8nf0,SU5s1a1A2F8nf1,SU4a3A3nf1,SU6s1a1A2F8nf1,SU4s1S1a2A2nf1,SU3nf6,SU5s1S1a2A2nf1,SO5nf5,SU2adj1nf3,SU7s1S2a1f8nf0,SU5a3A3nf0,Sp2adj1nf1,SU2adj2nf1,SU2adj1nf2,SO5adj1nf2,Sp2s1a2nf0,Sp3a3nf1,SO12s2nf1,SU3adj2nf2,SU6adj1s1A1F8nf1,SU7a2A2nf1,Sp2adj2nf2,Sp2s1a2nf1,Sp4a3nf0,Sp2adj1a2nf4,SU8s1S2a1f8nf1,SU6s2S2nf1,Sp2s2nf1,SU5adj1a2A2nf1,Sp2s1a1nf2,SU5s1S1a1A1nf1,SU4adj2a1A1nf0,SU5adj1s1A1F8nf0,Sp2s2a1nf1,SU3adj1nf2,SU4adj1a2A2nf1,Sp4s1a1nf1,SU3adj1nf3,SU4adj2a1A1nf1
SU9s2A2F16nf0,0.0,0.9508333333333334,1.0,1.0,1.0,1.0,0.9974999999999999,0.9983333333333334,0.8799999999999999,0.9974999999999999,1.0,1.0,0.9283333333333333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9708333333333332,1.0,1.0,1.0,1.0,0.9708333333333334,0.835,1.0,0.9983333333333334,1.0,1.0,0.9958333333333333,0.9966666666666667,0.9191666666666667,1.0,1.0,1.0,1.0,0.9958333333333333,1.0
SU10s2A2F16nf1,0.9508333333333334,0.0,0.9675,0.9958333333333333,0.9974999999999999,0.9875,0.9850000000000001,0.9974999999999999,0.8791666666666667,0.9841666666666666,1.0,1.0,0.8483333333333333,0.9783333333333333,1.0,0.9958333333333333,0.9974999999999999,1.0,0.9991666666666668,1.0,0.99,1.0,0.9724999999999999,0.9808333333333333,0.9891666666666667,0.9983333333333334,0.9875,0.9283333333333333,0.7424999999999999,0.9933333333333334,0.9983333333333334,0.9983333333333334,1.0,0.9808333333333333,0.9883333333333333,0.9099999999999999,1.0,1.0,0.9991666666666668,0.9949999999999999,0.9974999999999999,0.9966666666666667
SU2nf4,1.0,0.9675,0.0,0.9958333333333333,0.9991666666666668,1.0,0.9916666666666668,0.9958333333333333,0.8791666666666667,0.9675,1.0,1.0,0.9275,0.9883333333333333,1.0,1.0,0.9891666666666667,1.0,1.0,1.0,0.9941666666666666,0.9949999999999999,0.97,0.9983333333333334,0.9733333333333333,0.97,0.9908333333333333,0.8633333333333333,0.7374999999999999,0.9974999999999999,1.0,0.9966666666666667,0.9425000000000001,0.9825000000000002,0.9733333333333333,0.8766666666666667,0.9958333333333333,0.9983333333333334,0.9566666666666667,1.0,0.9350000000000002,0.9916666666666666
SU5s1a1A2F8nf0,1.0,0.9958333333333333,0.9958333333333333,0.0,0.9691666666666666,0.9883333333333335,0.9041666666666668,0.9816666666666667,0.9824999999999999,0.9025000000000001,0.9908333333333333,0.9899999999999999,0.8724999999999999,0.9650000000000001,0.9891666666666665,0.9883333333333333,0.9891666666666665,0.9891666666666665,0.9883333333333331,0.9883333333333333,0.9508333333333333,0.9791666666666666,0.8549999999999999,0.9883333333333333,0.9650000000000001,0.9891666666666665,0.9891666666666665,0.9199999999999999,0.9075,0.9866666666666667,0.9824999999999999,0.9791666666666666,0.9883333333333333,0.975,0.9891666666666665,0.8516666666666668,0.9783333333333333,0.9891666666666665,0.9516666666666665,0.9891666666666665,0.9883333333333331,0.9874999999999998
SU5s1a1A2F8nf1,1.0,0.9974999999999999,0.9991666666666668,0.9691666666666666,0.0,0.99,0.8225,0.9824999999999999,0.99,0.8958333333333333,0.9924999999999999,0.9924999999999999,0.825,0.9774999999999998,0.9916666666666666,0.9916666666666666,0.9908333333333333,0.9908333333333333,0.99,0.9891666666666665,0.9700000000000001,0.9908333333333333,0.8008333333333333,0.9466666666666667,0.9591666666666667,0.9891666666666665,0.9908333333333333,0.8775000000000001,0.75,0.9850000000000001,0.9899999999999999,0.9841666666666665,0.9874999999999998,0.9741666666666667,0.99,0.7950000000000002,0.975,0.9891666666666665,0.9841666666666666,0.9841666666666666,0.9875,0.9291666666666666
SU4a3A3nf1,1.0,0.9875,1.0,0.9883333333333335,0.99,0.0,0.9649999999999999,0.9683333333333334,0.9766666666666668,0.9025000000000001,0.8591666666666666,0.9608333333333332,0.9666666666666666,0.82,0.9816666666666667,0.9574999999999999,0.9658333333333333,0.9541666666666666,0.9558333333333332,0.8483333333333333,0.9066666666666666,0.9450000000000001,0.8916666666666666,0.9258333333333333,0.9108333333333334,0.9566666666666667,0.9683333333333334,0.9049999999999999,0.9208333333333334,0.9349999999999999,0.8466666666666667,0.9283333333333333,0.9008333333333335,0.8808333333333334,0.9099999999999999,0.9041666666666666,0.9141666666666668,0.9341666666666667,0.8366666666666666,0.8716666666666667,0.8683333333333334,0.8491666666666667
SU6s1a1A2F8nf1,0.9974999999999999,0.9850000000000001,0.9916666666666668,0.9041666666666668,0.8225,0.9649999999999999,0.0,0.9591666666666665,0.9275,0.8866666666666667,0.985,0.9650000000000001,0.8200000000000001,0.9391666666666666,0.9925,0.9774999999999998,0.9841666666666666,0.9833333333333334,0.9816666666666667,0.9408333333333333,0.9116666666666667,0.8966666666666667,0.7975000000000001,0.9166666666666666,0.8391666666666666,0.9708333333333334,0.945,0.8008333333333333,0.7508333333333334,0.945,0.975,0.8808333333333334,0.9516666666666665,0.9358333333333333,0.975,0.735,0.8966666666666667,0.9641666666666666,0.9366666666666668,0.9425000000000001,0.9491666666666667,0.8916666666666666
SU4s1S1a2A2nf1,0.9983333333333334,0.9974999999999999,0.9958333333333333,0.9816666666666667,0.9824999999999999,0.9683333333333334,0.9591666666666665,0.0,0.9691666666666666,0.6183333333333334,0.9525,0.86,0.8916666666666666,0.9441666666666666,0.9424999999999999,0.9225,0.945,0.925,0.9325000000000001,0.9516666666666665,0.6358333333333335,0.8533333333333333,0.7366666666666666,0.8324999999999999,0.8574999999999999,0.9524999999999999,0.9524999999999999,0.9399999999999998,0.7783333333333333,0.82,0.9225,0.9366666666666665,0.9566666666666667,0.8966666666666667,0.885,0.8850000000000001,0.7866666666666666,0.9366666666666668,0.9416666666666667,0.9208333333333334,0.9433333333333331,0.7441666666666666
SU3nf6,0.8799999999999999,0.8791666666666667,0.8791666666666667,0.9824999999999999,0.99,0.9766666666666668,0.9275,0.9691666666666666,0.0,0.9049999999999999,0.99,0.9974999999999999,0.7116666666666666,0.9416666666666668,0.9925,0.9541666666666666,0.9775,0.9925,0.9916666666666668,0.9591666666666665,0.8966666666666667,0.9358333333333334,0.7883333333333333,0.9433333333333334,0.8308333333333333,0.8425,0.8591666666666666,0.55,0.6358333333333334,0.9791666666666666,0.9608333333333332,0.8491666666666667,0.6916666666666667,0.8191666666666666,0.9516666666666665,0.615,0.9525,0.9741666666666667,0.5533333333333332,0.915,0.6475,0.8825
SU5s1S1a2A2nf1,0.9974999999999999,0.9841666666666666,0.9675,0.9025000000000001,0.8958333333333333,0.9025000000000001,0.8866666666666667,0.6183333333333334,0.9049999999999999,0.0,0.9041666666666666,0.8991666666666667,0.9324999999999999,0.8958333333333334,0.9041666666666666,0.8966666666666665,0.8991666666666666,0.9,0.8991666666666666,0.9033333333333333,0.6725000000000001,0.8999999999999998,0.7416666666666668,0.7975000000000001,0.8933333333333332,0.9008333333333333,0.9008333333333333,0.8308333333333333,0.7491666666666668,0.805,0.8983333333333332,0.9008333333333333,0.9008333333333333,0.8583333333333334,0.8966666666666667,0.8308333333333333,0.8725000000000002,0.9008333333333333,0.9025000000000001,0.8949999999999999,0.8991666666666667,0.7766666666666666
