Theories,SU9s2A2F16nf0,SU10s2A2F16nf1,SU5s1a1A2F8nf0,SU2nf4,SU5s1a1A2F8nf1,SU4a3A3nf1,SU6s1a1A2F8nf1,SU3nf6,Sp2adj1nf1,SO5adj1nf2,SU2adj1nf2,Sp2s1a2nf0,Sp3a3nf1,SU6adj1s1A1F8nf1,SU6s2S2nf1,SU5adj1a2A2nf1,SU7a2A2nf1,Sp2s1a2nf1,SU8s1S2a1f8nf1,Sp2adj1a2nf4,Sp2s2a1nf1,SU5s1S1a1A1nf1,Sp2s1a1nf2,SU5adj1s1A1F8nf0,SU3adj1nf2,SU4adj2a1A1nf1
SU9s2A2F16nf0,0.0,0.9491666666666667,0.9991666666666668,1.0,1.0,1.0,0.9955000000000002,0.8875,1.0,1.0,1.0,1.0,1.0,0.9780000000000001,0.9995,1.0,0.9991666666666668,1.0,0.8131666666666668,0.9670000000000001,1.0,0.9986666666666667,1.0,0.9261666666666667,1.0,1.0
SU10s2A2F16nf1,0.9491666666666667,0.0,0.9948333333333335,0.9608333333333334,0.9998333333333334,0.9908333333333335,0.9803333333333335,0.8853333333333334,1.0,1.0,0.9991666666666665,1.0,1.0,0.9786666666666668,0.9961666666666666,0.9988333333333334,0.9858333333333335,0.9976666666666668,0.7501666666666665,0.9171666666666668,0.9988333333333332,0.9845,0.9996666666666667,0.9221666666666668,1.0,0.9945
SU5s1a1A2F8nf0,0.9991666666666668,0.9948333333333335,0.0,0.9993333333333334,0.9653333333333333,0.9925000000000002,0.8996666666666665,0.9841666666666667,0.9928333333333335,0.9916666666666667,0.9903333333333335,0.992,0.9881666666666667,0.8735,0.9881666666666667,0.9753333333333333,0.9876666666666668,0.9880000000000001,0.893,0.8993333333333335,0.9733333333333334,0.9741666666666667,0.9883333333333333,0.8723333333333333,0.9883333333333333,0.9841666666666665
SU2nf4,1.0,0.9608333333333334,0.9993333333333334,0.0,0.9985,1.0,0.9881666666666667,0.887,1.0,1.0,0.9833333333333334,1.0,1.0,0.9728333333333334,0.9993333333333334,0.9986666666666667,0.9956666666666666,0.9686666666666668,0.7345,0.8484999999999999,0.9948333333333333,0.9670000000000001,0.9343333333333333,0.8836666666666666,0.9995,0.993
SU5s1a1A2F8nf1,1.0,0.9998333333333334,0.9653333333333333,0.9985,0.0,0.9896666666666667,0.8226666666666665,0.9869999999999999,0.9910000000000001,0.9906666666666668,0.9910000000000001,0.9910000000000001,0.9895,0.7958333333333333,0.9875000000000002,0.9806666666666668,0.9826666666666668,0.99,0.7426666666666667,0.8759999999999999,0.9811666666666667,0.9735,0.9895,0.8439999999999999,0.9901666666666666,0.9211666666666666
SU4a3A3nf1,1.0,0.9908333333333335,0.9925000000000002,1.0,0.9896666666666667,0.0,0.9571666666666667,0.9831666666666667,0.983,0.9601666666666666,0.9763333333333334,0.9523333333333334,0.8785,0.8758333333333332,0.9394999999999999,0.9306666666666668,0.9335000000000001,0.9491666666666668,0.9235000000000001,0.9054999999999999,0.8991666666666667,0.8818333333333332,0.9323333333333333,0.9135000000000001,0.9381666666666666,0.8446666666666666
SU6s1a1A2F8nf1,0.9955000000000002,0.9803333333333335,0.8996666666666665,0.9881666666666667,0.8226666666666665,0.9571666666666667,0.0,0.9446666666666665,0.9853333333333335,0.9781666666666666,0.9761666666666666,0.9795,0.9438333333333333,0.7986666666666667,0.9476666666666667,0.8959999999999999,0.9303333333333333,0.9681666666666667,0.7451666666666666,0.8136666666666666,0.8895000000000001,0.9359999999999999,0.9570000000000001,0.7316666666666669,0.9603333333333333,0.8328333333333333
SU3nf6,0.8875,0.8853333333333334,0.9841666666666667,0.887,0.9869999999999999,0.9831666666666667,0.9446666666666665,0.0,0.9934999999999999,0.9901666666666666,0.9751666666666668,0.9913333333333334,0.9656666666666668,0.8191666666666667,0.9753333333333333,0.9373333333333335,0.9296666666666665,0.9108333333333333,0.6475,0.5526666666666666,0.9241666666666667,0.8683333333333334,0.7636666666666666,0.6783333333333332,0.9651666666666666,0.8195
Sp2adj1nf1,1.0,1.0,0.9928333333333335,1.0,0.9910000000000001,0.983,0.9853333333333335,0.9934999999999999,0.0,0.5638333333333334,0.6153333333333333,0.5774999999999999,0.9583333333333335,0.9603333333333333,0.7234999999999999,0.8668333333333332,0.9718333333333333,0.7495,0.9578333333333334,0.9893333333333334,0.7859999999999999,0.664,0.852,0.9606666666666664,0.6366666666666667,0.7238333333333334
SO5adj1nf2,1.0,1.0,0.9916666666666667,1.0,0.9906666666666668,0.9601666666666666,0.9781666666666666,0.9901666666666666,0.5638333333333334,0.0,0.5890000000000001,0.5269999999999999,0.9343333333333333,0.9383333333333335,0.7731666666666668,0.8143333333333334,0.9825000000000002,0.7761666666666666,0.951,0.9818333333333333,0.7723333333333332,0.6896666666666667,0.8358333333333334,0.9456666666666667,0.5731666666666666,0.7024999999999999
SU2adj1nf2,1.0,0.9991666666666665,0.9903333333333335,0.9833333333333334,0.9910000000000001,0.9763333333333334,0.9761666666666666,0.9751666666666668,0.6153333333333333,0.5890000000000001,0.0,0.5843333333333334,0.9263333333333335,0.9181666666666668,0.758,0.8498333333333332,0.9391666666666667,0.7641666666666665,0.9475000000000001,0.9308333333333333,0.7858333333333334,0.7010000000000001,0.7041666666666666,0.9349999999999998,0.6326666666666667,0.711
Sp2s1a2nf0,1.0,1.0,0.992,1.0,0.9910000000000001,0.9523333333333334,0.9795,0.9913333333333334,0.5774999999999999,0.5269999999999999,0.5843333333333334,0.0,0.9001666666666667,0.934,0.7448333333333333,0.8295,0.97,0.7503333333333333,0.9463333333333332,0.9771666666666667,0.7571666666666667,0.7,0.8078333333333334,0.9401666666666667,0.5613333333333332,0.6938333333333333
Sp3a3nf1,1.0,1.0,0.9881666666666667,1.0,0.9895,0.8785,0.9438333333333333,0.9656666666666668,0.9583333333333335,0.9343333333333333,0.9263333333333335,0.9001666666666667,0.0,0.8221666666666667,0.873,0.667,0.737,0.8214999999999999,0.8391666666666666,0.7140000000000001,0.727,0.743,0.6268333333333334,0.6563333333333334,0.6621666666666668,0.6665000000000001
SU6adj1s1A1F8nf1,0.9780000000000001,0.9786666666666668,0.8735,0.9728333333333334,0.7958333333333333,0.8758333333333332,0.7986666666666667,0.8191666666666667,0.9603333333333333,0.9383333333333335,0.9181666666666668,0.934,0.8221666666666667,0.0,0.7923333333333333,0.8431666666666666,0.6625,0.873,0.5531666666666666,0.7395,0.6185,0.8653333333333335,0.8251666666666666,0.6366666666666667,0.8436666666666666,0.6459999999999999
SU6s2S2nf1,0.9995,0.9961666666666666,0.9881666666666667,0.9993333333333334,0.9875000000000002,0.9394999999999999,0.9476666666666667,0.9753333333333333,0.7234999999999999,0.7731666666666668,0.758,0.7448333333333333,0.873,0.7923333333333333,0.0,0.7986666666666667,0.6108333333333335,0.7918333333333334,0.7641666666666665,0.8268333333333332,0.6146666666666667,0.6666666666666665,0.7653333333333333,0.8548333333333334,0.608,0.5601666666666666
SU5adj1a2A2nf1,1.0,0.9988333333333334,0.9753333333333333,0.9986666666666667,0.9806666666666668,0.9306666666666668,0.8959999999999999,0.9373333333333335,0.8668333333333332,0.8143333333333334,0.8498333333333332,0.8295,0.667,0.8431666666666666,0.7986666666666667,0.0,0.7615,0.6781666666666668,0.8018333333333332,0.7489999999999999,0.6938333333333333,0.6498333333333334,0.628,0.6858333333333334,0.6336666666666667,0.6301666666666667
SU7a2A2nf1,0.9991666666666668,0.9858333333333335,0.9876666666666668,0.9956666666666666,0.9826666666666668,0.9335000000000001,0.9303333333333333,0.9296666666666665,0.9718333333333333,0.9825000000000002,0.9391666666666667,0.97,0.737,0.6625,0.6108333333333335,0.7615,0.0,0.8101666666666667,0.642,0.6596666666666667,0.6219999999999999,0.7555,0.6588333333333333,0.5673333333333332,0.6355,0.557
Sp2s1a2nf1,1.0,0.9976666666666668,0.9880000000000001,0.9686666666666668,0.99,0.9491666666666668,0.9681666666666667,0.9108333333333333,0.7495,0.7761666666666666,0.7641666666666665,0.7503333333333333,0.8214999999999999,0.873,0.7918333333333334,0.6781666666666668,0.8101666666666667,0.0,0.9021666666666667,0.5993333333333333,0.7551666666666668,0.5711666666666666,0.5676666666666665,0.7816666666666666,0.5930000000000001,0.685
SU8s1S2a1f8nf1,0.8131666666666668,0.7501666666666665,0.893,0.7345,0.7426666666666667,0.9235000000000001,0.7451666666666666,0.6475,0.9578333333333334,0.951,0.9475000000000001,0.9463333333333332,0.8391666666666666,0.5531666666666666,0.7641666666666665,0.8018333333333332,0.642,0.9021666666666667,0.0,0.6648333333333334,0.7438333333333332,0.8271666666666667,0.8548333333333333,0.5765,0.8903333333333333,0.6695
Sp2adj1a2nf4,0.9670000000000001,0.9171666666666668,0.8993333333333335,0.8484999999999999,0.8759999999999999,0.9054999999999999,0.8136666666666666,0.5526666666666666,0.9893333333333334,0.9818333333333333,0.9308333333333333,0.9771666666666667,0.7140000000000001,0.7395,0.8268333333333332,0.7489999999999999,0.6596666666666667,0.5993333333333333,0.6648333333333334,0.0,0.7371666666666665,0.6881666666666666,0.5676666666666667,0.6311666666666667,0.7975,0.6311666666666667
Sp2s2a1nf1,1.0,0.9988333333333332,0.9733333333333334,0.9948333333333333,0.9811666666666667,0.8991666666666667,0.8895000000000001,0.9241666666666667,0.7859999999999999,0.7723333333333332,0.7858333333333334,0.7571666666666667,0.727,0.6185,0.6146666666666667,0.6938333333333333,0.6219999999999999,0.7551666666666668,0.7438333333333332,0.7371666666666665,0.0,0.7078333333333332,0.7335,0.561,0.6994999999999999,0.5623333333333334
SU5s1S1a1A1nf1,0.9986666666666667,0.9845,0.9741666666666667,0.9670000000000001,0.9735,0.8818333333333332,0.9359999999999999,0.8683333333333334,0.664,0.6896666666666667,0.7010000000000001,0.7,0.743,0.8653333333333335,0.6666666666666665,0.6498333333333334,0.7555,0.5711666666666666,0.8271666666666667,0.6881666666666666,0.7078333333333332,0.0,0.6045,0.7985,0.6221666666666666,0.6273333333333334
Sp2s1a1nf2,1.0,0.9996666666666667,0.9883333333333333,0.9343333333333333,0.9895,0.9323333333333333,0.9570000000000001,0.7636666666666666,0.852,0.8358333333333334,0.7041666666666666,0.8078333333333334,0.6268333333333334,0.8251666666666666,0.7653333333333333,0.628,0.6588333333333333,0.5676666666666665,0.8548333333333333,0.5676666666666667,0.7335,0.6045,0.0,0.6283333333333334,0.5631666666666667,0.6531666666666667
SU5adj1s1A1F8nf0,0.9261666666666667,0.9221666666666668,0.8723333333333333,0.8836666666666666,0.8439999999999999,0.9135000000000001,0.7316666666666669,0.6783333333333332,0.9606666666666664,0.9456666666666667,0.9349999999999998,0.9401666666666667,0.6563333333333334,0.6366666666666667,0.8548333333333334,0.6858333333333334,0.5673333333333332,0.7816666666666666,0.5765,0.6311666666666667,0.561,0.7985,0.6283333333333334,0.0,0.7746666666666665,0.568
SU3adj1nf2,1.0,1.0,0.9883333333333333,0.9995,0.9901666666666666,0.9381666666666666,0.9603333333333333,0.9651666666666666,0.6366666666666667,0.5731666666666666,0.6326666666666667,0.5613333333333332,0.6621666666666668,0.8436666666666666,0.608,0.6336666666666667,0.6355,0.5930000000000001,0.8903333333333333,0.7975,0.6994999999999999,0.6221666666666666,0.5631666666666667,0.7746666666666665,0.0,0.6343333333333334
SU4adj2a1A1nf1,1.0,0.9945,0.9841666666666665,0.993,0.9211666666666666,0.8446666666666666,0.8328333333333333,0.8195,0.7238333333333334,0.7024999999999999,0.711,0.6938333333333333,0.6665000000000001,0.6459999999999999,0.5601666666666666,0.6301666666666667,0.557,0.685,0.6695,0.6311666666666667,0.5623333333333334,0.6273333333333334,0.6531666666666667,0.568,0.6343333333333334,0.0
