Sp2s1a2nf1,Sp2s1a2nf1,SU8s1S2a1f8nf1,Sp2adj1a2nf4,Sp2s2a1nf1,SU5s1S1a1A1nf1,Sp2s1a1nf2,SU5adj1s1A1F8nf0,SU3adj1nf2,SU4adj2a1A1nf1
Sp2s1a2nf1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SU8s1S2a1f8nf1,0.0,0.0,0.08141071000613927,0.1014611766656112,0.06492312643179633,0.07200822998230956,0.05617916664949828,0.09300205759040701,0.07675164372712037
Sp2adj1a2nf4,0.0,0.08141071000613927,0.0,0.09165319766366752,0.0913671200010373,0.045357836515130805,0.05230784942158405,0.07931808132255443,0.057439608650958866
Sp2s2a1nf1,0.0,0.1014611766656112,0.09165319766366752,0.0,0.05165173021853093,0.060502117093862974,0.07222435894275116,0.06638310063097924,0.04175546094247456
SU5s1S1a1A1nf1,0.0,0.06492312643179633,0.0913671200010373,0.05165173021853093,0.0,0.05666056612041941,0.07721390842536717,0.06296736368063134,0.04765164228382564
Sp2s1a1nf2,0.0,0.07200822998230956,0.045357836515130805,0.060502117093862974,0.05666056612041941,0.0,0.06852448422477622,0.06035532646004631,0.06066758241067099
SU5adj1s1A1F8nf0,0.0,0.05617916664949828,0.05230784942158405,0.07222435894275116,0.07721390842536717,0.06852448422477622,0.0,0.10350857303314555,0.07208611105759144
SU3adj1nf2,0.0,0.09300205759040701,0.07931808132255443,0.06638310063097924,0.06296736368063134,0.06035532646004631,0.10350857303314555,0.0,0.04500329206065148
SU4adj2a1A1nf1,0.0,0.07675164372712037,0.057439608650958866,0.04175546094247456,0.04765164228382564,0.06066758241067099,0.07208611105759144,0.04500329206065148,0.0

SU8s1S2a1f8nf1,Sp2s1a2nf1,SU8s1S2a1f8nf1,Sp2adj1a2nf4,Sp2s2a1nf1,SU5s1S1a1A1nf1,Sp2s1a1nf2,SU5adj1s1A1F8nf0,SU3adj1nf2,SU4adj2a1A1nf1
Sp2s1a2nf1,0.0,0.0,0.08141071000613927,0.1014611766656112,0.06492312643179633,0.07200822998230956,0.05617916664949828,0.09300205759040701,0.07675164372712037
SU8s1S2a1f8nf1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sp2adj1a2nf4,0.08141071000613927,0.0,0.0,0.13496085394945245,0.12711111111111112,0.10432315652650814,0.072825599216447,0.17464888939784654,0.09285199958622589
Sp2s2a1nf1,0.1014611766656112,0.0,0.13496085394945245,0.0,0.16882732796163857,0.15738511388970072,0.06431557997220032,0.16803791459292972,0.0937295821387316
SU5s1S1a1A1nf1,0.06492312643179633,0.0,0.12711111111111112,0.16882732796163857,0.0,0.11020883655279638,0.07260037751151723,0.11780508069279966,0.07359121324361127
Sp2s1a1nf2,0.07200822998230956,0.0,0.10432315652650814,0.15738511388970072,0.11020883655279638,0.0,0.07272271029460187,0.09041884704658962,0.07612732998319573
SU5adj1s1A1F8nf0,0.05617916664949828,0.0,0.072825599216447,0.06431557997220032,0.07260037751151723,0.07272271029460187,0.0,0.15772882652213382,0.059599071995426654
SU3adj1nf2,0.09300205759040701,0.0,0.17464888939784654,0.16803791459292972,0.11780508069279966,0.09041884704658962,0.15772882652213382,0.0,0.07838658552407714
SU4adj2a1A1nf1,0.07675164372712037,0.0,0.09285199958622589,0.0937295821387316,0.07359121324361127,0.07612732998319573,0.059599071995426654,0.07838658552407714,0.0

Sp2adj1a2nf4,Sp2s1a2nf1,SU8s1S2a1f8nf1,Sp2adj1a2nf4,Sp2s2a1nf1,SU5s1S1a1A1nf1,Sp2s1a1nf2,SU5adj1s1A1F8nf0,SU3adj1nf2,SU4adj2a1A1nf1
Sp2s1a2nf1,0.0,0.08141071000613927,0.0,0.09165319766366752,0.0913671200010373,0.045357836515130805,0.05230784942158405,0.07931808132255443,0.057439608650958866
SU8s1S2a1f8nf1,0.08141071000613927,0.0,0.0,0.13496085394945245,0.12711111111111112,0.10432315652650814,0.072825599216447,0.17464888939784654,0.09285199958622589
Sp2adj1a2nf4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sp2s2a1nf1,0.09165319766366752,0.13496085394945245,0.0,0.0,0.09551478458371811,0.067058478257211,0.043478531668507195,0.14965066317144846,0.0848219631469277
SU5s1S1a1A1nf1,0.0913671200010373,0.12711111111111112,0.0,0.09551478458371811,0.0,0.0705274659745416,0.07046582220314634,0.14671228246864848,0.10552771562690105
Sp2s1a1nf2,0.045357836515130805,0.10432315652650814,0.0,0.067058478257211,0.0705274659745416,0.0,0.07335193366803296,0.07806494605435359,0.10144395764760894
SU5adj1s1A1F8nf0,0.05230784942158405,0.072825599216447,0.0,0.043478531668507195,0.07046582220314634,0.07335193366803296,0.0,0.12487173666320153,0.06154552665996004
SU3adj1nf2,0.07931808132255443,0.17464888939784654,0.0,0.14965066317144846,0.14671228246864848,0.07806494605435359,0.12487173666320153,0.0,0.12750482924768566
SU4adj2a1A1nf1,0.057439608650958866,0.09285199958622589,0.0,0.0848219631469277,0.10552771562690105,0.10144395764760894,0.06154552665996004,0.12750482924768566,0.0

Sp2s2a1nf1,Sp2s1a2nf1,SU8s1S2a1f8nf1,Sp2adj1a2nf4,Sp2s2a1nf1,SU5s1S1a1A1nf1,Sp2s1a1nf2,SU5adj1s1A1F8nf0,SU3adj1nf2,SU4adj2a1A1nf1
Sp2s1a2nf1,0.0,0.1014611766656112,0.09165319766366752,0.0,0.05165173021853093,0.060502117093862974,0.07222435894275116,0.06638310063097924,0.04175546094247456
SU8s1S2a1f8nf1,0.1014611766656112,0.0,0.13496085394945245,0.0,0.16882732796163857,0.15738511388970072,0.06431557997220032,0.16803791459292972,0.0937295821387316
