Theories,SU9s2A2F16nf0,SU2nf4,SU10s2A2F16nf1,SU4a3A3nf1,SU5s1a1A2F8nf0,SU5s1a1A2F8nf1,SU6s1a1A2F8nf1,Sp3a3nf1,SO12s2nf1,SO5nf5,SU4s1S1a2A2nf1,SU5s1S1a2A2nf1,SU5s1S1a1A1nf1,SU5a3A3nf0,SU2adj2nf1,SU2adj1nf3,Sp2s2nf1,SU7s1S2a1f8nf0,SU6s2S2nf1,SU3nf6,SU2adj1nf2,Sp4a3nf0,Sp2adj1nf1,Sp5a3nf1,SO5adj1nf2,SU7a2A2nf1,SU3adj2nf2,Sp2s1a2nf1,SU6adj1s1A1F8nf1,Sp2s1a2nf0,Sp2adj1a2nf4,SU3adj1nf3,SU3adj1nf4,SU4adj2a1A1nf0,Sp2s2a1nf1,Sp2adj2nf2,SU5adj1a2A2nf1,Sp2s1a1nf2,Sp4s1a1nf1,SU8s1S2a1f8nf1,SU3adj1nf2,SU4adj1a2A2nf1,SU4adj2a1A1nf1,SU5adj1s1A1F8nf0
SU9s2A2F16nf0,0.0,0.0,0.021098314835286926,0.012360330811826106,0.002499999999999991,0.0,0.0,0.0,0.0,0.005000000000000016,0.006666666666666687,0.0,0.0,0.0,0.0,0.0,0.0,0.026034165586355525,0.0,0.024846752526459313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012936812246883346,0.0,0.037500000000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03895331964173414,0.0,0.0,0.0,0.03764785666025505
SU2nf4,0.0,0.0,0.025331140255951103,0.0,0.002499999999999991,0.0,0.0038188130791298527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024846752526459313,0.0,0.0,0.0,0.0,0.0,0.005000000000000016,0.0,0.0,0.0065085413965888924,0.0,0.0826807783654164,0.0,0.009999999999999998,0.0,0.0,0.002499999999999991,0.0,0.0,0.0,0.047463436219660475,0.0,0.010671873729054752,0.0,0.01502313031443328
SU10s2A2F16nf1,0.021098314835286926,0.025331140255951103,0.0,0.009895285072531597,0.0038188130791298527,0.002499999999999991,0.015898986690282415,0.002499999999999991,0.002499999999999991,0.002499999999999991,0.005335936864527384,0.002499999999999991,0.007264831572567809,0.005527707983925671,0.005527707983925673,0.002499999999999991,0.002499999999999991,0.027080128015453186,0.005335936864527384,0.019808107206674537,0.006666666666666682,0.010000000000000009,0.002499999999999991,0.002499999999999991,0.002499999999999991,0.011902380714238091,0.002499999999999991,0.002499999999999991,0.008539125638299679,0.002499999999999991,0.04561310727801335,0.002499999999999991,0.0038188130791298527,0.002499999999999991,0.0033333333333333214,0.017500000000000005,0.002499999999999991,0.002499999999999991,0.002499999999999991,0.08998842518161247,0.002499999999999991,0.002499999999999991,0.002499999999999991,0.04890466917040403
SU4a3A3nf1,0.012360330811826106,0.0,0.009895285072531597,0.0,0.010034662148993581,0.013043729868748766,0.009464847243000443,0.0155679514102245,0.008374896350934065,0.03415650255319866,0.011303883305208783,0.012388390622765413,0.00999999999999999,0.011334558757279517,0.01,0.00927960727138337,0.010573814617041254,0.011785113019775782,0.010671873729054746,0.015567951410224507,0.006454972243679005,0.01067187372905473,0.010671873729054746,0.008164965809277256,0.00946484724300045,0.011902380714238079,0.008700255424092114,0.00946484724300045,0.016996731711975955,0.010671873729054746,0.08177289010152175,0.009166666666666634,0.014648663192705783,0.010671873729054746,0.010671873729054746,0.01057381461704125,0.022607766610417555,0.007637626158259706,0.006236095644623214,0.019382838916021675,0.01067187372905473,0.011334558757279537,0.010671873729054746,0.025617376914898994
SU5s1a1A2F8nf0,0.002499999999999991,0.002499999999999991,0.0038188130791298527,0.010034662148993581,0.0,0.016749792701868167,0.022376202636829243,0.0062360956446232615,0.005527707983925671,0.005270462766947316,0.005833333333333356,0.005590169943749505,0.005335936864527377,0.04717726618239387,0.004082482904638615,0.0069221865524317526,0.006922186552431748,0.02076655965729519,0.005527707983925671,0.025833333333333357,0.0069221865524317526,0.0069221865524317526,0.00623609564462325,0.0062360956446232615,0.006922186552431748,0.0062360956446232615,0.0069221865524317526,0.0069221865524317526,0.03237154099925838,0.00623609564462325,0.09382311963358382,0.0062360956446232615,0.06668749674580852,0.0069221865524317526,0.005833333333333356,0.008498365855987991,0.026990224567836067,0.0062360956446232615,0.009166666666666682,0.0773923984208613,0.0069221865524317526,0.016158932858054424,0.005833333333333356,0.04269562819149834
SU5s1a1A2F8nf1,0.0,0.0,0.002499999999999991,0.013043729868748766,0.016749792701868167,0.0,0.09617692030835673,0.00816496580927727,0.0075000000000000205,0.00816496580927727,0.016435902436096696,0.009860132971832705,0.009279607271383387,0.010408329997330672,0.009279607271383387,0.009128709291752777,0.008539125638299684,0.017499999999999998,0.009895285072531613,0.021015867021530833,0.007861650943380519,0.007861650943380512,0.007264831572567807,0.00745355992499931,0.006922186552431741,0.007861650943380519,0.008975274678557521,0.00837489635093409,0.025013885033006052,0.007861650943380519,0.11920162657354041,0.008333333333333349,0.012909944487358075,0.007264831572567807,0.008539125638299684,0.009166666666666682,0.011334558757279544,0.007264831572567807,0.008498365855987991,0.030103986446980733,0.007264831572567807,0.00837489635093409,0.007264831572567807,0.03815174380753198
SU6s1a1A2F8nf1,0.0,0.0038188130791298527,0.015898986690282415,0.009464847243000443,0.022376202636829243,0.09617692030835673,0.0,0.019075871903765994,0.01433720877840439,0.01750000000000001,0.01707825127659934,0.014999999999999998,0.015478479684172266,0.024224069756247732,0.01643590243609669,0.02409472049133492,0.016996731711975945,0.015567951410224493,0.018427786989579968,0.021424933553637428,0.0097182531580755,0.013462912017836259,0.012047360245667453,0.018333333333333316,0.0205649377987551,0.0318525247560273,0.026034165586355514,0.010034662148993572,0.07201948038937489,0.024094720491334914,0.09342629299197427,0.020682789409984755,0.07190367785370153,0.01343709624716425,0.022047927592204926,0.03785938897200181,0.02450906861642123,0.022988523706889533,0.017559422921421212,0.07455423082115013,0.009895285072531583,0.03163375482683717,0.01668748699541732,0.07139483330201297
Sp3a3nf1,0.0,0.0,0.002499999999999991,0.0155679514102245,0.0062360956446232615,0.00816496580927727,0.019075871903765994,0.0,0.0055901699437494795,0.14108951059522462,0.0065085413965888924,0.00768295371441076,0.0075000000000000015,0.08173466556826152,0.0055901699437494795,0.013540064007726595,0.009718253158075497,0.024166666666666666,0.005527707983925671,0.019999999999999997,0.10963639399801915,0.09078745018509501,0.011211353372561433,0.05963430220938282,0.011814539065631522,0.06793072451647585,0.010408329997330667,0.013565683830083084,0.028734899415944454,0.01455354099714417,0.058925565098878946,0.1537697593445762,0.06570134448142342,0.01224744871391589,0.012388390622765423,0.010172129679778099,0.021473497877875197,0.009464847243000464,0.01224744871391589,0.05454992616351048,0.041365578819969516,0.020344259359556166,0.013540064007726598,0.12555709192766984
SO12s2nf1,0.0,0.0,0.002499999999999991,0.008374896350934065,0.005527707983925671,0.0075000000000000205,0.01433720877840439,0.0055901699437494795,0.0,0.02250000000000002,0.06864259286737032,0.04506168611531923,0.045863626352723376,0.01105541596785135,0.03996526269427265,0.028492201662131247,0.0453075907302273,0.04004337925577988,0.031358146203711294,0.03767551518485772,0.009128709291752777,0.01600781059358214,0.02477678124553085,0.0062360956446232615,0.021164041832000498,0.05110582702153986,0.04021642837337886,0.01945436254988125,0.038550111687401266,0.03782268572636739,0.03551212625443754,0.013540064007726612,0.016853123680130578,0.07794674107648403,0.12609520212918493,0.09372314430159596,0.02181042054717066,0.007637626158259723,0.03419714088113867,0.051126205500593214,0.05713045500334203,0.024438130497691963,0.10243222691668435,0.13076962355396016
SO5nf5,0.005000000000000016,0.0,0.002499999999999991,0.03415650255319866,0.005270462766947316,0.00816496580927727,0.01750000000000001,0.14108951059522462,0.02250000000000002,0.0,0.006666666666666682,0.021810420547170674,0.03876567783204335,0.11345581616745007,0.02583333333333333,0.02733536577809455,0.03316624790355399,0.02422406975624772,0.03516824641001532,0.023643768265185192,0.06798692684790379,0.10152996273678686,0.03077697552103232,0.03496029493900504,0.0414661843487491,0.13600449338982232,0.035949424350204984,0.030833333333333338,0.030092450142112977,0.022189211592823922,0.0872576007513895,0.07699206308300731,0.1506375340566443,0.03068658773253663,0.019021187017522215,0.04253266718391614,0.04879805323985783,0.09197297308328015,0.021098314835286944,0.04847679857416328,0.08542784479703713,0.04816782005539476,0.04190763653560052,0.04444097208657795
SU4s1S1a2A2nf1,0.006666666666666687,0.0,0.005335936864527384,0.011303883305208783,0.005833333333333356,0.016435902436096696,0.01707825127659934,0.0065085413965888924,0.06864259286737032,0.006666666666666682,0.0,0.03472111109333275,0.030516389039334266,0.013017082793177754,0.016435902436096703,0.07817359599705717,0.026140645235596865,0.03144660377352202,0.05367727638395973,0.019808107206674537,0.02849220166213125,0.005335936864527385,0.023584952830141503,0.018276426832884426,0.023333333333333327,0.04369242242972775,0.02915475947422651,0.017950549357115,0.10366881026722656,0.01674979270186814,0.023935677693908454,0.010540925533894577,0.03656235161413384,0.03210226714043038,0.0597680702568037,0.1249583263865731,0.03461093276215865,0.01855921454276673,0.04670385423067352,0.08518362518700409,0.02999999999999998,0.01833333333333333,0.03536515862320492,0.15451761855673432
SU5s1S1a2A2nf1,0.0,0.0,0.002499999999999991,0.012388390622765413,0.005590169943749505,0.009860132971832705,0.014999999999999998,0.00768295371441076,0.04506168611531923,0.021810420547170674,0.03472111109333275,0.0,0.030230595245361765,0.014999999999999986,0.023109041039770073,0.015811388300841892,0.022730302828309772,0.03481099762367572,0.032924577108563995,0.01943650631615101,0.017480147469502518,0.01750000000000001,0.019737865470545023,0.02229848026709944,0.02333333333333333,0.05170025789748699,0.04301162633521314,0.027688746209726924,0.15559027390339453,0.01902118701752219,0.0339934634239519,0.027688746209726892,0.014337208778404378,0.01855921454276672,0.0701437017050632,0.1417254779886493,0.03060727945367826,0.0334995854037363,0.046315644105300854,0.0847750290802401,0.04847679857416328,0.04426090574963167,0.030057814661452378,0.14059644771867857
SU5s1S1a1A1nf1,0.0,0.0,0.007264831572567809,0.00999999999999999,0.005335936864527377,0.009279607271383387,0.015478479684172266,0.0075000000000000015,0.045863626352723376,0.03876567783204335,0.030516389039334266,0.030230595245361765,0.0,0.009718253158075516,0.04268749491621899,0.017159383568311662,0.07224572267231082,0.04333333333333333,0.07737445027627374,0.024720661623652235,0.016435902436096675,0.021015867021530816,0.03590109871423002,0.041466184348749074,0.02743679605525721,0.012936812246883346,0.034369317712168806,0.03460089915337783,0.030788255336518598,0.04555978977612214,0.03905124837953329,0.028198207192814375,0.01685312368013056,0.07774602526460399,0.039449334595148745,0.04534589286804263,0.10898521816181209,0.0189296944860009,0.061941953113827115,0.05495579031265848,0.0701238982880381,0.06467869303977421,0.08654237882871797,0.07528187770712891
SU5a3A3nf0,0.0,0.0,0.005527707983925671,0.011334558757279517,0.04717726618239387,0.010408329997330672,0.024224069756247732,0.08173466556826152,0.01105541596785135,0.11345581616745007,0.013017082793177754,0.014999999999999986,0.009718253158075516,0.0,0.00897527467855751,0.014166666666666664,0.01589898669028244,0.04289036410819256,0.01668748699541732,0.01987810073646094,0.04479118216792229,0.08835298523536148,0.017658016750347588,0.026352313834736497,0.023921166824012196,0.04422166387140534,0.0205649377987551,0.01643590243609667,0.033757715167548503,0.019002923751652277,0.08320406640703727,0.029391986814247324,0.0703957069398096,0.01658312395177699,0.018427786989579968,0.01865252440466616,0.027901115071305355,0.024381231397213,0.021229565338094985,0.05859465277082315,0.022438186696393757,0.035988038136148634,0.0262069753225273,0.04119735698102761
SU2adj2nf1,0.0,0.0,0.005527707983925673,0.01,0.004082482904638615,0.009279607271383387,0.01643590243609669,0.0055901699437494795,0.03996526269427265,0.02583333333333333,0.016435902436096703,0.023109041039770073,0.04268749491621899,0.00897527467855751,0.0,0.010833333333333337,0.062143427291673874,0.054262735320332364,0.06271629240742262,0.024720661623652235,0.017098570440569314,0.010671873729054752,0.013462912017836282,0.002499999999999991,0.026153924710792018,0.03492054473292827,0.07209176251294054,0.025940637360455626,0.038333333333333344,0.11355676505117997,0.04913134324327892,0.038087982940088125,0.03287180487219337,0.09867525300477094,0.10807983160608642,0.040008679613859344,0.13244495712055884,0.021473497877875197,0.04174159928789398,0.054294720430873085,0.039834728009057074,0.043341345413152835,0.08436445407344917,0.04390646624106498
SU2adj1nf3,0.0,0.0,0.002499999999999991,0.00927960727138337,0.0069221865524317526,0.009128709291752777,0.02409472049133492,0.013540064007726595,0.028492201662131247,0.02733536577809455,0.07817359599705717,0.015811388300841892,0.017159383568311662,0.014166666666666664,0.010833333333333337,0.0,0.01699673171197594,0.018559214542766746,0.020344259359556166,0.021229565338095006,0.022376202636829257,0.05835713800003865,0.020086617988656574,0.021746647251166477,0.02581988897471612,0.09721468224730483,0.12086493839543927,0.030505008696205198,0.0506965372475171,0.026925824035672518,0.0871461097493425,0.03083333333333334,0.059634302209382824,0.027688746209726934,0.023109041039770094,0.10915076220021963,0.02479079130107252,0.07230817534845022,0.02048034287907418,0.06125991983163036,0.02472066162365223,0.10995264132040365,0.07889866919029752,0.08936504412303008
Sp2s2nf1,0.0,0.0,0.002499999999999991,0.010573814617041254,0.006922186552431748,0.008539125638299684,0.016996731711975945,0.009718253158075497,0.0453075907302273,0.03316624790355399,0.026140645235596865,0.022730302828309772,0.07224572267231082,0.01589898669028244,0.062143427291673874,0.01699673171197594,0.0,0.05113299652214149,0.08378626909517387,0.024720661623652235,0.020000000000000014,0.06325104303048643,0.11064520374201095,0.028333333333333342,0.03790521805181386,0.005527707983925671,0.033634060117684286,0.043212973874880586,0.03540440964374666,0.07199537022151725,0.03583333333333334,0.03274480450731416,0.02266911751455907,0.07376765325443575,0.03404449702635917,0.02083333333333336,0.13791351960155643,0.028577380332470405,0.05336587548861786,0.07124390812163833,0.04932882862316247,0.039131189606246335,0.060466933112239114,0.09750000000000002
SU7s1S2a1f8nf0,0.026034165586355525,0.0,0.027080128015453186,0.011785113019775782,0.02076655965729519,0.017499999999999998,0.015567951410224493,0.024166666666666666,0.04004337925577988,0.02422406975624772,0.03144660377352202,0.03481099762367572,0.04333333333333333,0.04289036410819256,0.054262735320332364,0.018559214542766746,0.05113299652214149,0.0,0.03822448313726571,0.04284986710727483,0.020429417786885434,0.020344259359556173,0.030092450142112974,0.019166666666666686,0.029119008682760232,0.030379543555930314,0.025289984842489194,0.028000496027352415,0.053935403750948026,0.022422706745122825,0.04282555052509866,0.03420729291962298,0.044103728741330825,0.04755114205895702,0.043493294502332976,0.01916666666666668,0.023935677693908454,0.023921166824012213,0.039930495169036476,0.038197222121219454,0.040147298234819676,0.04358898943540674,0.03712778234990912,0.02142493355363739
SU6s2S2nf1,0.0,0.0,0.005335936864527384,0.010671873729054746,0.005527707983925671,0.009895285072531613,0.018427786989579968,0.005527707983925671,0.031358146203711294,0.03516824641001532,0.05367727638395973,0.032924577108563995,0.07737445027627374,0.01668748699541732,0.06271629240742262,0.020344259359556166,0.08378626909517387,0.03822448313726571,0.0,0.021015867021530833,0.01674979270186815,0.010034662148993576,0.057427490513400174,0.019094065395649333,0.030379543555930286,0.05630398643869622,0.0698212002188447,0.039405301391789646,0.04760952285695233,0.05727613425813194,0.04944132324730442,0.010671873729054752,0.018427786989579968,0.055251948180835925,0.0717828515578601,0.06285454991044359,0.05201495511442412,0.05493051165892332,0.04969350505291857,0.09285592184789414,0.10313152336269987,0.07371585838730889,0.08168792240390663,0.06260546656997648
SU3nf6,0.024846752526459313,0.024846752526459313,0.019808107206674537,0.015567951410224507,0.025833333333333357,0.021015867021530833,0.021424933553637428,0.019999999999999997,0.03767551518485772,0.023643768265185192,0.019808107206674537,0.01943650631615101,0.024720661623652235,0.01987810073646094,0.024720661623652235,0.021229565338095006,0.024720661623652235,0.04284986710727483,0.021015867021530833,0.0,0.01916666666666667,0.019364916731037088,0.025124689052802254,0.01929306150465038,0.021098314835286947,0.018257418583505543,0.021015867021530833,0.021015867021530833,0.06712860791048773,0.018333333333333337,0.05398044913567217,0.020682789409984772,0.01750000000000001,0.024720661623652235,0.021015867021530833,0.019808107206674537,0.024720661623652235,0.019808107206674537,0.02142493355363742,0.04876246279442597,0.018652524404666165,0.021015867021530833,0.021015867021530833,0.02048034287907419
SU2adj1nf2,0.0,0.0,0.006666666666666682,0.006454972243679005,0.0069221865524317526,0.007861650943380519,0.0097182531580755,0.10963639399801915,0.009128709291752777,0.06798692684790379,0.02849220166213125,0.017480147469502518,0.016435902436096675,0.04479118216792229,0.017098570440569314,0.022376202636829257,0.020000000000000014,0.020429417786885434,0.01674979270186815,0.01916666666666667,0.0,0.10710846008706418,0.07429763716894965,0.10959521481849066,0.04169998667732267,0.1355774686295625,0.041466184348749095,0.04062019202317982,0.020138409955990966,0.061964371483404355,0.11572236891226634,0.07147260547463856,0.09272120697134084,0.07095088285411096,0.015456030825826184,0.033218552379991266,0.033134825586785085,0.060231036665308824,0.034570780854485894,0.07304869000270374,0.07557189365836421,0.07418071028089296,0.04902522026694242,0.09023118455759441
Sp4a3nf0,0.0,0.0,0.010000000000000009,0.01067187372905473,0.0069221865524317526,0.007861650943380512,0.013462912017836259,0.09078745018509501,0.01600781059358214,0.10152996273678686,0.005335936864527385,0.01750000000000001,0.021015867021530816,0.08835298523536148,0.010671873729054752,0.05835713800003865,0.06325104303048643,0.020344259359556173,0.010034662148993576,0.019364916731037088,0.10710846008706418,0.0,0.023109041039770094,0.09124524340722888,0.033993463423951896,0.12166666666666669,0.045407109086084245,0.041197356981027576,0.04834051670757726,0.07141428428542848,0.09297923902080986,0.10360180178613368,0.04657729537494042,0.05044936955888436,0.07656242913828919,0.06667187479656538,0.08506533436783231,0.10154706079230238,0.0486198404860494,0.06548960901462834,0.07683405639573004,0.14419556550432164,0.038765677832043356,0.10236440896240363
Sp2adj1nf1,0.0,0.0,0.002499999999999991,0.010671873729054746,0.00623609564462325,0.007264831572567807,0.012047360245667453,0.011211353372561433,0.02477678124553085,0.03077697552103232,0.023584952830141503,0.019737865470545023,0.03590109871423002,0.017658016750347588,0.013462912017836282,0.020086617988656574,0.11064520374201095,0.030092450142112974,0.057427490513400174,0.025124689052802254,0.07429763716894965,0.023109041039770094,0.0,0.03375771516754849,0.039272905559827244,0.027398803704622648,0.023109041039770076,0.07357913351548039,0.0380058475033046,0.0502009849394301,0.032712977377317536,0.13945329763839298,0.09895285072531598,0.04448002048360838,0.029214246904930186,0.01916666666666667,0.0849059937682716,0.12557921360196875,0.12157816415787828,0.09043106644167025,0.05901977069875258,0.04758763845089746,0.0497284291594523,0.13573104533107622
