Theories,SU2nf4,SU2adj1nf2,SU6s1a1A2F8nf1,SU6adj1s1A1F8nf1,SU3adj1nf2,SU3adj1nf3,SU5s1a1A2F8nf0,SU3nf6,SU5s1a1A2F8nf1,SU6s2S2nf1,SU10s2A2F16nf1,SU8s1S2a1f8nf1,Sp2adj1a2nf4,SU5adj1s1A1F8nf0,SU9s2A2F16nf0,SO5adj1nf2,SU7a2A2nf1,SU3adj1nf4,Sp2s1a2nf0,Sp2adj1nf1,SU5s1S1a1A1nf1,SU4adj2a1A1nf1,Sp2s2a1nf1,Sp2s1a1nf2,Sp2s1a2nf1,SU5adj1a2A2nf1,Sp3a3nf1,SU4a3A3nf1
SU2nf4,0.0,1.0,0.997,0.9968333333333333,1.0,0.9984999999999999,0.9986666666666667,0.8728333333333331,1.0,1.0,0.9671666666666667,0.975,0.8871666666666667,0.9474999999999999,1.0,1.0,0.9990000000000001,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SU2adj1nf2,1.0,0.0,0.97,0.8581666666666667,0.64,0.6251666666666665,0.9883333333333334,0.8711666666666666,0.9876666666666667,0.9685000000000001,0.9971666666666666,0.8025,0.8368333333333332,0.7568333333333335,1.0,0.6368333333333333,0.8601666666666667,0.799,0.6556666666666667,0.7266666666666667,0.9763333333333334,0.7765000000000001,0.9076666666666665,0.6993333333333333,0.7935000000000001,0.8621666666666666,0.9436666666666668,0.9673333333333334
SU6s1a1A2F8nf1,0.997,0.97,0.0,0.7994999999999999,0.9555000000000001,0.9513333333333334,0.9011666666666666,0.8660000000000001,0.8180000000000001,0.9799999999999999,0.9931666666666668,0.7313333333333334,0.7555,0.7535,1.0,0.9711666666666667,0.9313333333333332,0.7856666666666667,0.9683333333333334,0.9734999999999999,0.9828333333333333,0.9545000000000001,0.9641666666666667,0.9531666666666665,0.9555,0.9143333333333332,0.9448333333333333,0.9673333333333334
SU6adj1s1A1F8nf1,0.9968333333333333,0.8581666666666667,0.7994999999999999,0.0,0.8425,0.845,0.9086666666666666,0.8681666666666668,0.8911666666666666,0.8961666666666666,0.9926666666666668,0.6236666666666666,0.8161666666666667,0.6835,0.997,0.8743333333333334,0.6801666666666667,0.7316666666666667,0.8701666666666666,0.8883333333333333,0.938,0.7195,0.7693333333333334,0.8413333333333333,0.8665,0.8348333333333333,0.8581666666666666,0.9503333333333335
SU3adj1nf2,1.0,0.64,0.9555000000000001,0.8425,0.0,0.6023333333333333,0.9860000000000001,0.8706666666666666,0.9860000000000001,0.8291666666666666,0.9993333333333334,0.7928333333333333,0.8613333333333335,0.7156666666666668,1.0,0.5681666666666666,0.7815000000000001,0.8193333333333332,0.5631666666666666,0.6733333333333335,0.9075,0.6736666666666667,0.7696666666666667,0.5928333333333333,0.5798333333333333,0.7026666666666668,0.9338333333333334,0.9663333333333333
SU3adj1nf3,0.9984999999999999,0.6251666666666665,0.9513333333333334,0.845,0.6023333333333333,0.0,0.987,0.871,0.9881666666666667,0.948,0.9991666666666668,0.76,0.7845,0.614,0.9995,0.7763333333333334,0.6501666666666666,0.6543333333333333,0.7503333333333333,0.8315,0.9445,0.7625,0.8625000000000002,0.5715,0.727,0.7376666666666667,0.7601666666666667,0.9633333333333334
SU5s1a1A2F8nf0,0.9986666666666667,0.9883333333333334,0.9011666666666666,0.9086666666666666,0.9860000000000001,0.987,0.0,0.8718333333333333,0.9661666666666667,0.9901666666666666,0.9953333333333333,0.799,0.8398333333333333,0.8278333333333333,1.0,0.9881666666666667,0.9854999999999999,0.9448333333333333,0.9890000000000001,0.9898333333333333,0.9901666666666666,0.9861666666666667,0.987,0.9860000000000001,0.9881666666666667,0.9363333333333332,0.9845,0.9683333333333334
SU3nf6,0.8728333333333331,0.8711666666666666,0.8660000000000001,0.8681666666666668,0.8706666666666666,0.871,0.8718333333333333,0.0,0.8718333333333332,0.8724999999999998,0.8693333333333332,0.8201666666666668,0.5638333333333333,0.8553333333333333,0.8733333333333332,0.872,0.868,0.8688333333333332,0.8718333333333332,0.8721666666666665,0.8744999999999998,0.8723333333333333,0.8724999999999998,0.8713333333333333,0.8723333333333333,0.8716666666666667,0.8586666666666666,0.9693333333333334
SU5s1a1A2F8nf1,1.0,0.9876666666666667,0.8180000000000001,0.8911666666666666,0.9860000000000001,0.9881666666666667,0.9661666666666667,0.8718333333333332,0.0,0.9861666666666666,0.9998333333333334,0.7503333333333334,0.763,0.8525,1.0,0.9861666666666667,0.9876666666666668,0.976,0.987,0.987,0.9858333333333333,0.9864999999999999,0.9860000000000001,0.9863333333333333,0.9853333333333333,0.9830000000000001,0.9891666666666667,0.9710000000000001
SU6s2S2nf1,1.0,0.9685000000000001,0.9799999999999999,0.8961666666666666,0.8291666666666666,0.948,0.9901666666666666,0.8724999999999998,0.9861666666666666,0.0,0.9976666666666667,0.9330000000000002,0.9218333333333334,0.8596666666666667,1.0,0.9066666666666666,0.9016666666666668,0.9631666666666667,0.8839999999999999,0.7955,0.6881666666666666,0.5826666666666666,0.643,0.911,0.8775,0.8743333333333332,0.9948333333333333,0.9723333333333332
SU10s2A2F16nf1,0.9671666666666667,0.9971666666666666,0.9931666666666668,0.9926666666666668,0.9993333333333334,0.9991666666666668,0.9953333333333333,0.8693333333333332,0.9998333333333334,0.9976666666666667,0.0,0.7898333333333334,0.9423333333333334,0.9405,0.9523333333333335,0.9993333333333334,0.9893333333333335,0.9981666666666668,0.9993333333333334,0.9993333333333334,0.996,0.9993333333333334,0.9985,0.9993333333333334,0.9978333333333335,0.9993333333333334,0.9993333333333334,0.9753333333333333
SU8s1S2a1f8nf1,0.975,0.8025,0.7313333333333334,0.6236666666666666,0.7928333333333333,0.76,0.799,0.8201666666666668,0.7503333333333334,0.9330000000000002,0.7898333333333334,0.0,0.7083333333333335,0.5701666666666667,0.982,0.8148333333333332,0.609,0.6563333333333332,0.7929999999999999,0.8641666666666667,0.9438333333333334,0.7404999999999999,0.8313333333333333,0.7926666666666666,0.7793333333333333,0.769,0.7771666666666667,0.9525
Sp2adj1a2nf4,0.8871666666666667,0.8368333333333332,0.7555,0.8161666666666667,0.8613333333333335,0.7845,0.8398333333333333,0.5638333333333333,0.763,0.9218333333333334,0.9423333333333334,0.7083333333333335,0.0,0.7061666666666666,0.9448333333333335,0.8761666666666666,0.7908333333333333,0.6786666666666666,0.8671666666666666,0.9033333333333334,0.9458333333333333,0.8715,0.8998333333333335,0.8071666666666668,0.8643333333333334,0.8185000000000001,0.7253333333333333,0.8214999999999999
SU5adj1s1A1F8nf0,0.9474999999999999,0.7568333333333335,0.7535,0.6835,0.7156666666666668,0.614,0.8278333333333333,0.8553333333333333,0.8525,0.8596666666666667,0.9405,0.5701666666666667,0.7061666666666666,0.0,0.9256666666666666,0.7753333333333333,0.5648333333333334,0.5503333333333333,0.7876666666666668,0.8221666666666668,0.8694999999999999,0.6668333333333334,0.7628333333333335,0.627,0.7186666666666666,0.7028333333333333,0.7008333333333334,0.9406666666666668
SU9s2A2F16nf0,1.0,1.0,1.0,0.997,1.0,0.9995,1.0,0.8733333333333332,1.0,1.0,0.9523333333333335,0.982,0.9448333333333335,0.9256666666666666,0.0,1.0,1.0,0.9976666666666667,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9768333333333333
SO5adj1nf2,1.0,0.6368333333333333,0.9711666666666667,0.8743333333333334,0.5681666666666666,0.7763333333333334,0.9881666666666667,0.872,0.9861666666666667,0.9066666666666666,0.9993333333333334,0.8148333333333332,0.8761666666666666,0.7753333333333333,1.0,0.0,0.9286666666666666,0.8670000000000002,0.5395,0.5845,0.93,0.6966666666666668,0.8204999999999998,0.7735000000000001,0.7028333333333333,0.7536666666666667,0.9821666666666666,0.9708333333333333
SU7a2A2nf1,0.9990000000000001,0.8601666666666667,0.9313333333333332,0.6801666666666667,0.7815000000000001,0.6501666666666666,0.9854999999999999,0.868,0.9876666666666668,0.9016666666666668,0.9893333333333335,0.609,0.7908333333333333,0.5648333333333334,1.0,0.9286666666666666,0.0,0.5655000000000001,0.9303333333333333,0.9508333333333334,0.99,0.6696666666666665,0.8318333333333334,0.6633333333333333,0.9143333333333332,0.8098333333333333,0.754,0.9631666666666667
SU3adj1nf4,1.0,0.799,0.7856666666666667,0.7316666666666667,0.8193333333333332,0.6543333333333333,0.9448333333333333,0.8688333333333332,0.976,0.9631666666666667,0.9981666666666668,0.6563333333333332,0.6786666666666666,0.5503333333333333,0.9976666666666667,0.8670000000000002,0.5655000000000001,0.0,0.8933333333333334,0.914,0.9793333333333333,0.8718333333333332,0.9161666666666665,0.6896666666666665,0.884,0.7230000000000001,0.6036666666666666,0.9508333333333333
Sp2s1a2nf0,1.0,0.6556666666666667,0.9683333333333334,0.8701666666666666,0.5631666666666666,0.7503333333333333,0.9890000000000001,0.8718333333333332,0.987,0.8839999999999999,0.9993333333333334,0.7929999999999999,0.8671666666666666,0.7876666666666668,1.0,0.5395,0.9303333333333333,0.8933333333333334,0.0,0.574,0.9059999999999999,0.6823333333333333,0.8028333333333335,0.746,0.6864999999999999,0.7553333333333333,0.9858333333333333,0.971
Sp2adj1nf1,1.0,0.7266666666666667,0.9734999999999999,0.8883333333333333,0.6733333333333335,0.8315,0.9898333333333333,0.8721666666666665,0.987,0.7955,0.9993333333333334,0.8641666666666667,0.9033333333333334,0.8221666666666668,1.0,0.5845,0.9508333333333334,0.914,0.574,0.0,0.8915,0.6844999999999999,0.8101666666666667,0.8073333333333332,0.7155,0.775,0.9893333333333334,0.9701666666666666
SU5s1S1a1A1nf1,1.0,0.9763333333333334,0.9828333333333333,0.938,0.9075,0.9445,0.9901666666666666,0.8744999999999998,0.9858333333333333,0.6881666666666666,0.996,0.9438333333333334,0.9458333333333333,0.8694999999999999,1.0,0.93,0.99,0.9793333333333333,0.9059999999999999,0.8915,0.0,0.7403333333333335,0.7796666666666665,0.9383333333333335,0.9164999999999999,0.8180000000000001,0.9948333333333333,0.9733333333333333
SU4adj2a1A1nf1,1.0,0.7765000000000001,0.9545000000000001,0.7195,0.6736666666666667,0.7625,0.9861666666666667,0.8723333333333333,0.9864999999999999,0.5826666666666666,0.9993333333333334,0.7404999999999999,0.8715,0.6668333333333334,1.0,0.6966666666666668,0.6696666666666665,0.8718333333333332,0.6823333333333333,0.6844999999999999,0.7403333333333335,0.0,0.5511666666666667,0.6906666666666668,0.7070000000000001,0.6125,0.987,0.97
