SU9s2A2F16nf0,SU9s2A2F16nf0,SU2nf4,SU10s2A2F16nf1,SU4a3A3nf1,SU5s1a1A2F8nf0,SU5s1a1A2F8nf1,SU5s1S1a1A1nf1,SU6s1a1A2F8nf1
SU9s2A2F16nf0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SU2nf4,0.0,0.0,0.9675555555555556,0.9943333333333334,0.9991111111111111,0.9998888888888888,0.9998888888888889,0.9963333333333334
SU10s2A2F16nf1,0.0,0.9675555555555556,0.0,0.9503333333333334,0.9643333333333334,0.9678888888888889,0.9617777777777777,0.9597777777777778
SU4a3A3nf1,0.0,0.9943333333333334,0.9503333333333334,0.0,0.9787777777777776,0.9799999999999999,0.9802222222222221,0.9735555555555555
SU5s1a1A2F8nf0,0.0,0.9991111111111111,0.9643333333333334,0.9787777777777776,0.0,0.9762222222222222,0.9867777777777778,0.9287777777777779
SU5s1a1A2F8nf1,0.0,0.9998888888888888,0.9678888888888889,0.9799999999999999,0.9762222222222222,0.0,0.9896666666666667,0.8439999999999999
SU5s1S1a1A1nf1,0.0,0.9998888888888889,0.9617777777777777,0.9802222222222221,0.9867777777777778,0.9896666666666667,0.0,0.9767777777777777
SU6s1a1A2F8nf1,0.0,0.9963333333333334,0.9597777777777778,0.9735555555555555,0.9287777777777779,0.8439999999999999,0.9767777777777777,0.0

SU2nf4,SU9s2A2F16nf0,SU2nf4,SU10s2A2F16nf1,SU4a3A3nf1,SU5s1a1A2F8nf0,SU5s1a1A2F8nf1,SU5s1S1a1A1nf1,SU6s1a1A2F8nf1
SU9s2A2F16nf0,0.0,0.0,0.9675555555555556,0.9943333333333334,0.9991111111111111,0.9998888888888888,0.9998888888888889,0.9963333333333334
SU2nf4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SU10s2A2F16nf1,0.9675555555555556,0.0,0.0,0.978777777777778,0.9925555555555556,0.9990000000000001,0.9885555555555556,0.9888888888888888
SU4a3A3nf1,0.9943333333333334,0.0,0.978777777777778,0.0,0.9753333333333333,0.9763333333333333,0.9773333333333332,0.9725555555555553
SU5s1a1A2F8nf0,0.9991111111111111,0.0,0.9925555555555556,0.9753333333333333,0.0,0.9782222222222222,0.9863333333333333,0.9352222222222224
SU5s1a1A2F8nf1,0.9998888888888888,0.0,0.9990000000000001,0.9763333333333333,0.9782222222222222,0.0,0.9921111111111113,0.7819999999999999
SU5s1S1a1A1nf1,0.9998888888888889,0.0,0.9885555555555556,0.9773333333333332,0.9863333333333333,0.9921111111111113,0.0,0.9854444444444443
SU6s1a1A2F8nf1,0.9963333333333334,0.0,0.9888888888888888,0.9725555555555553,0.9352222222222224,0.7819999999999999,0.9854444444444443,0.0

SU10s2A2F16nf1,SU9s2A2F16nf0,SU2nf4,SU10s2A2F16nf1,SU4a3A3nf1,SU5s1a1A2F8nf0,SU5s1a1A2F8nf1,SU5s1S1a1A1nf1,SU6s1a1A2F8nf1
SU9s2A2F16nf0,0.0,0.9675555555555556,0.0,0.9503333333333334,0.9643333333333334,0.9678888888888889,0.9617777777777777,0.9597777777777778
SU2nf4,0.9675555555555556,0.0,0.0,0.978777777777778,0.9925555555555556,0.9990000000000001,0.9885555555555556,0.9888888888888888
SU10s2A2F16nf1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SU4a3A3nf1,0.9503333333333334,0.978777777777778,0.0,0.0,0.9656666666666665,0.9792222222222222,0.9812222222222221,0.9688888888888889
