SU9s2A2F16nf0,SU9s2A2F16nf0,SU2nf4,SU10s2A2F16nf1,SU4a3A3nf1,SU5s1a1A2F8nf0,SU5s1a1A2F8nf1,SU5s1S1a1A1nf1,SU6s1a1A2F8nf1
SU9s2A2F16nf0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SU2nf4,0.0,0.0,0.011241457662170433,0.009128033066018169,0.002572408200620041,0.000777777777777775,0.000777777777777775,0.005512051891027765
SU10s2A2F16nf1,0.0,0.011241457662170433,0.0,0.014376335150019248,0.012476644848141934,0.011127210558572832,0.013682466025655234,0.014930290695325178
SU4a3A3nf1,0.0,0.009128033066018169,0.014376335150019248,0.0,0.008867334978990579,0.008958064164776167,0.009568466729604892,0.012744400852390805
SU5s1a1A2F8nf0,0.0,0.002572408200620041,0.012476644848141934,0.008867334978990579,0.0,0.011549143520165582,0.00942088564943622,0.02405472156624619
SU5s1a1A2F8nf1,0.0,0.000777777777777775,0.011127210558572832,0.008958064164776167,0.011549143520165582,0.0,0.008013106547601252,0.06528985703843107
SU5s1S1a1A1nf1,0.0,0.000777777777777775,0.013682466025655234,0.009568466729604892,0.00942088564943622,0.008013106547601252,0.0,0.013365239602402547
SU6s1a1A2F8nf1,0.0,0.005512051891027765,0.014930290695325178,0.012744400852390805,0.02405472156624619,0.06528985703843107,0.013365239602402547,0.0

SU2nf4,SU9s2A2F16nf0,SU2nf4,SU10s2A2F16nf1,SU4a3A3nf1,SU5s1a1A2F8nf0,SU5s1a1A2F8nf1,SU5s1S1a1A1nf1,SU6s1a1A2F8nf1
SU9s2A2F16nf0,0.0,0.0,0.011241457662170433,0.009128033066018169,0.002572408200620041,0.000777777777777775,0.000777777777777775,0.005512051891027765
SU2nf4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SU10s2A2F16nf1,0.011241457662170433,0.0,0.0,0.010869029509074663,0.011843110202107352,0.0028738927014172375,0.017998971164012768,0.010772621905369623
SU4a3A3nf1,0.009128033066018169,0.0,0.010869029509074663,0.0,0.011394172216261576,0.010529793122843226,0.010590002273283428,0.01107828484295868
SU5s1a1A2F8nf0,0.002572408200620041,0.0,0.011843110202107352,0.011394172216261576,0.0,0.011157680187229513,0.009763246778317199,0.03120244529828701
SU5s1a1A2F8nf1,0.000777777777777775,0.0,0.0028738927014172375,0.010529793122843226,0.011157680187229513,0.0,0.006946888458818052,0.07005782444118644
SU5s1S1a1A1nf1,0.000777777777777775,0.0,0.017998971164012768,0.010590002273283428,0.009763246778317199,0.006946888458818052,0.0,0.00935513327101858
SU6s1a1A2F8nf1,0.005512051891027765,0.0,0.010772621905369623,0.01107828484295868,0.03120244529828701,0.07005782444118644,0.00935513327101858,0.0

SU10s2A2F16nf1,SU9s2A2F16nf0,SU2nf4,SU10s2A2F16nf1,SU4a3A3nf1,SU5s1a1A2F8nf0,SU5s1a1A2F8nf1,SU5s1S1a1A1nf1,SU6s1a1A2F8nf1
SU9s2A2F16nf0,0.0,0.011241457662170433,0.0,0.014376335150019248,0.012476644848141934,0.011127210558572832,0.013682466025655234,0.014930290695325178
SU2nf4,0.011241457662170433,0.0,0.0,0.010869029509074663,0.011843110202107352,0.0028738927014172375,0.017998971164012768,0.010772621905369623
SU10s2A2F16nf1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SU4a3A3nf1,0.014376335150019248,0.010869029509074663,0.0,0.0,0.019363004052210638,0.009149647500462306,0.008231976196440656,0.013052600138300806
SU5s1a1A2F8nf0,0.012476644848141934,0.011843110202107352,0.0,0.019363004052210638,0.0,0.013932819412815312,0.01029742866142015,0.026695354938802405
SU5s1a1A2F8nf1,0.011127210558572832,0.0028738927014172375,0.0,0.009149647500462306,0.013932819412815312,0.0,0.007888888888888904,0.08057578290108919
SU5s1S1a1A1nf1,0.013682466025655234,0.017998971164012768,0.0,0.008231976196440656,0.01029742866142015,0.007888888888888904,0.0,0.013666666666666657
SU6s1a1A2F8nf1,0.014930290695325178,0.010772621905369623,0.0,0.013052600138300806,0.026695354938802405,0.08057578290108919,0.013666666666666657,0.0

SU4a3A3nf1,SU9s2A2F16nf0,SU2nf4,SU10s2A2F16nf1,SU4a3A3nf1,SU5s1a1A2F8nf0,SU5s1a1A2F8nf1,SU5s1S1a1A1nf1,SU6s1a1A2F8nf1
SU9s2A2F16nf0,0.0,0.009128033066018169,0.014376335150019248,0.0,0.008867334978990579,0.008958064164776167,0.009568466729604892,0.012744400852390805
SU2nf4,0.009128033066018169,0.0,0.010869029509074663,0.0,0.011394172216261576,0.010529793122843226,0.010590002273283428,0.01107828484295868
SU10s2A2F16nf1,0.014376335150019248,0.010869029509074663,0.0,0.0,0.019363004052210638,0.009149647500462306,0.008231976196440656,0.013052600138300806
SU4a3A3nf1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SU5s1a1A2F8nf0,0.008867334978990579,0.011394172216261576,0.019363004052210638,0.0,0.0,0.014272480642961247,0.009495938052987327,0.01835049701617754
SU5s1a1A2F8nf1,0.008958064164776167,0.010529793122843226,0.009149647500462306,0.0,0.014272480642961247,0.0,0.011461691427113634,0.027456137859736204
SU5s1S1a1A1nf1,0.009568466729604892,0.010590002273283428,0.008231976196440656,0.0,0.009495938052987327,0.011461691427113634,0.0,0.016588334440388305
SU6s1a1A2F8nf1,0.012744400852390805,0.01107828484295868,0.013052600138300806,0.0,0.01835049701617754,0.027456137859736204,0.016588334440388305,0.0

SU5s1a1A2F8nf0,SU9s2A2F16nf0,SU2nf4,SU10s2A2F16nf1,SU4a3A3nf1,SU5s1a1A2F8nf0,SU5s1a1A2F8nf1,SU5s1S1a1A1nf1,SU6s1a1A2F8nf1
SU9s2A2F16nf0,0.0,0.002572408200620041,0.012476644848141934,0.008867334978990579,0.0,0.011549143520165582,0.00942088564943622,0.02405472156624619
SU2nf4,0.002572408200620041,0.0,0.011843110202107352,0.011394172216261576,0.0,0.011157680187229513,0.009763246778317199,0.03120244529828701
SU10s2A2F16nf1,0.012476644848141934,0.011843110202107352,0.0,0.019363004052210638,0.0,0.013932819412815312,0.01029742866142015,0.026695354938802405
SU4a3A3nf1,0.008867334978990579,0.011394172216261576,0.019363004052210638,0.0,0.0,0.014272480642961247,0.009495938052987327,0.01835049701617754
SU5s1a1A2F8nf0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SU5s1a1A2F8nf1,0.011549143520165582,0.011157680187229513,0.013932819412815312,0.014272480642961247,0.0,0.0,0.012222222222222218,0.06249187601521685
SU5s1S1a1A1nf1,0.00942088564943622,0.009763246778317199,0.01029742866142015,0.009495938052987327,0.0,0.012222222222222218,0.0,0.02711748558940076
SU6s1a1A2F8nf1,0.02405472156624619,0.03120244529828701,0.026695354938802405,0.01835049701617754,0.0,0.06249187601521685,0.02711748558940076,0.0

SU5s1a1A2F8nf1,SU9s2A2F16nf0,SU2nf4,SU10s2A2F16nf1,SU4a3A3nf1,SU5s1a1A2F8nf0,SU5s1a1A2F8nf1,SU5s1S1a1A1nf1,SU6s1a1A2F8nf1
SU9s2A2F16nf0,0.0,0.000777777777777775,0.011127210558572832,0.008958064164776167,0.011549143520165582,0.0,0.008013106547601252,0.06528985703843107
SU2nf4,0.000777777777777775,0.0,0.0028738927014172375,0.010529793122843226,0.011157680187229513,0.0,0.006946888458818052,0.07005782444118644
SU10s2A2F16nf1,0.011127210558572832,0.0028738927014172375,0.0,0.009149647500462306,0.013932819412815312,0.0,0.007888888888888904,0.08057578290108919
SU4a3A3nf1,0.008958064164776167,0.010529793122843226,0.009149647500462306,0.0,0.014272480642961247,0.0,0.011461691427113634,0.027456137859736204
SU5s1a1A2F8nf0,0.011549143520165582,0.011157680187229513,0.013932819412815312,0.014272480642961247,0.0,0.0,0.012222222222222218,0.06249187601521685
SU5s1a1A2F8nf1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SU5s1S1a1A1nf1,0.008013106547601252,0.006946888458818052,0.007888888888888904,0.011461691427113634,0.012222222222222218,0.0,0.0,0.07049813936779459
SU6s1a1A2F8nf1,0.06528985703843107,0.07005782444118644,0.08057578290108919,0.027456137859736204,0.06249187601521685,0.0,0.07049813936779459,0.0

SU5s1S1a1A1nf1,SU9s2A2F16nf0,SU2nf4,SU10s2A2F16nf1,SU4a3A3nf1,SU5s1a1A2F8nf0,SU5s1a1A2F8nf1,SU5s1S1a1A1nf1,SU6s1a1A2F8nf1
SU9s2A2F16nf0,0.0,0.000777777777777775,0.013682466025655234,0.009568466729604892,0.00942088564943622,0.008013106547601252,0.0,0.013365239602402547
SU2nf4,0.000777777777777775,0.0,0.017998971164012768,0.010590002273283428,0.009763246778317199,0.006946888458818052,0.0,0.00935513327101858
SU10s2A2F16nf1,0.013682466025655234,0.017998971164012768,0.0,0.008231976196440656,0.01029742866142015,0.007888888888888904,0.0,0.013666666666666657
SU4a3A3nf1,0.009568466729604892,0.010590002273283428,0.008231976196440656,0.0,0.009495938052987327,0.011461691427113634,0.0,0.016588334440388305
SU5s1a1A2F8nf0,0.00942088564943622,0.009763246778317199,0.01029742866142015,0.009495938052987327,0.0,0.012222222222222218,0.0,0.02711748558940076
SU5s1a1A2F8nf1,0.008013106547601252,0.006946888458818052,0.007888888888888904,0.011461691427113634,0.012222222222222218,0.0,0.0,0.07049813936779459
SU5s1S1a1A1nf1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SU6s1a1A2F8nf1,0.013365239602402547,0.00935513327101858,0.013666666666666657,0.016588334440388305,0.02711748558940076,0.07049813936779459,0.0,0.0

SU6s1a1A2F8nf1,SU9s2A2F16nf0,SU2nf4,SU10s2A2F16nf1,SU4a3A3nf1,SU5s1a1A2F8nf0,SU5s1a1A2F8nf1,SU5s1S1a1A1nf1,SU6s1a1A2F8nf1
SU9s2A2F16nf0,0.0,0.005512051891027765,0.014930290695325178,0.012744400852390805,0.02405472156624619,0.06528985703843107,0.013365239602402547,0.0
SU2nf4,0.005512051891027765,0.0,0.010772621905369623,0.01107828484295868,0.03120244529828701,0.07005782444118644,0.00935513327101858,0.0
SU10s2A2F16nf1,0.014930290695325178,0.010772621905369623,0.0,0.013052600138300806,0.026695354938802405,0.08057578290108919,0.013666666666666657,0.0
SU4a3A3nf1,0.012744400852390805,0.01107828484295868,0.013052600138300806,0.0,0.01835049701617754,0.027456137859736204,0.016588334440388305,0.0
SU5s1a1A2F8nf0,0.02405472156624619,0.03120244529828701,0.026695354938802405,0.01835049701617754,0.0,0.06249187601521685,0.02711748558940076,0.0
SU5s1a1A2F8nf1,0.06528985703843107,0.07005782444118644,0.08057578290108919,0.027456137859736204,0.06249187601521685,0.0,0.07049813936779459,0.0
SU5s1S1a1A1nf1,0.013365239602402547,0.00935513327101858,0.013666666666666657,0.016588334440388305,0.02711748558940076,0.07049813936779459,0.0,0.0
SU6s1a1A2F8nf1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0

