Sp2adj1a2nf4,Sp2adj1a2nf4,SU5adj1a2A2nf1,SU3adj1nf3,Sp2s1a1nf2,SU3adj1nf2,SU4adj2a1A1nf1,SU8s1S2a1f8nf1,SU5adj1s1A1F8nf0
Sp2adj1a2nf4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SU5adj1a2A2nf1,0.0,0.0,0.5840000000000001,0.5571111111111111,0.6363333333333334,0.6463333333333332,0.7158888888888889,0.6343333333333334
SU3adj1nf3,0.0,0.5840000000000001,0.0,0.5063333333333333,0.5037777777777778,0.5135555555555555,0.6731111111111112,0.5577777777777778
Sp2s1a1nf2,0.0,0.5571111111111111,0.5063333333333333,0.0,0.4945555555555556,0.5261111111111111,0.6733333333333333,0.5808888888888889
SU3adj1nf2,0.0,0.6363333333333334,0.5037777777777778,0.4945555555555556,0.0,0.5192222222222223,0.6809999999999999,0.6161111111111112
SU4adj2a1A1nf1,0.0,0.6463333333333332,0.5135555555555555,0.5261111111111111,0.5192222222222223,0.0,0.7012222222222223,0.6143333333333333
SU8s1S2a1f8nf1,0.0,0.7158888888888889,0.6731111111111112,0.6733333333333333,0.6809999999999999,0.7012222222222223,0.0,0.44500000000000006
SU5adj1s1A1F8nf0,0.0,0.6343333333333334,0.5577777777777778,0.5808888888888889,0.6161111111111112,0.6143333333333333,0.44500000000000006,0.0

SU5adj1a2A2nf1,Sp2adj1a2nf4,SU5adj1a2A2nf1,SU3adj1nf3,Sp2s1a1nf2,SU3adj1nf2,SU4adj2a1A1nf1,SU8s1S2a1f8nf1,SU5adj1s1A1F8nf0
Sp2adj1a2nf4,0.0,0.0,0.5840000000000001,0.5571111111111111,0.6363333333333334,0.6463333333333332,0.7158888888888889,0.6343333333333334
SU5adj1a2A2nf1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SU3adj1nf3,0.5840000000000001,0.0,0.0,0.5325555555555556,0.5216666666666666,0.542,0.5772222222222222,0.5756666666666667
Sp2s1a1nf2,0.5571111111111111,0.0,0.5325555555555556,0.0,0.494,0.5097777777777778,0.5498888888888889,0.517888888888889
SU3adj1nf2,0.6363333333333334,0.0,0.5216666666666666,0.494,0.0,0.49288888888888893,0.5418888888888889,0.5407777777777778
SU4adj2a1A1nf1,0.6463333333333332,0.0,0.542,0.5097777777777778,0.49288888888888893,0.0,0.5357777777777778,0.509888888888889
SU8s1S2a1f8nf1,0.7158888888888889,0.0,0.5772222222222222,0.5498888888888889,0.5418888888888889,0.5357777777777778,0.0,0.605
SU5adj1s1A1F8nf0,0.6343333333333334,0.0,0.5756666666666667,0.517888888888889,0.5407777777777778,0.509888888888889,0.605,0.0

SU3adj1nf3,Sp2adj1a2nf4,SU5adj1a2A2nf1,SU3adj1nf3,Sp2s1a1nf2,SU3adj1nf2,SU4adj2a1A1nf1,SU8s1S2a1f8nf1,SU5adj1s1A1F8nf0
Sp2adj1a2nf4,0.0,0.5840000000000001,0.0,0.5063333333333333,0.5037777777777778,0.5135555555555555,0.6731111111111112,0.5577777777777778
SU5adj1a2A2nf1,0.5840000000000001,0.0,0.0,0.5325555555555556,0.5216666666666666,0.542,0.5772222222222222,0.5756666666666667
SU3adj1nf3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sp2s1a1nf2,0.5063333333333333,0.5325555555555556,0.0,0.0,0.40733333333333327,0.4903333333333334,0.5044444444444445,0.43333333333333335
SU3adj1nf2,0.5037777777777778,0.5216666666666666,0.0,0.40733333333333327,0.0,0.48877777777777776,0.5124444444444445,0.45533333333333326
SU4adj2a1A1nf1,0.5135555555555555,0.542,0.0,0.4903333333333334,0.48877777777777776,0.0,0.5793333333333334,0.5572222222222223
SU8s1S2a1f8nf1,0.6731111111111112,0.5772222222222222,0.0,0.5044444444444445,0.5124444444444445,0.5793333333333334,0.0,0.5818888888888888
