Theories,SU2nf4,SU9s2A2F16nf0,Sp2s1a2nf0,SU10s2A2F16nf1,Sp2s2a1nf1,Sp2s1a2nf1,SU5s1a1A2F8nf0,SU5s1a1A2F8nf1,SU6s1a1A2F8nf1,SU7a2A2nf1,SU5s1S1a2A2nf1,SU4a3A3nf1,Sp2adj1nf1,SO5nf5,SO5adj1nf2,SU2adj1nf3,SU2adj1nf2,SU2adj2nf1,SU4s1S1a2A2nf1,SU5a3A3nf0,SU7s1S2a1f8nf0,SU3nf6,SU3adj1nf4,SU5adj1s1A1F8nf0,SU6adj1s1A1F8nf1,SU5adj1a2A2nf1,SU3adj2nf2,Sp2adj2nf2,Sp4a3nf0,SO12s2nf1,Sp5a3nf1,SU6s2S2nf1,Sp3a3nf1,SU3adj1nf3,SU5s1S1a1A1nf1,Sp2adj1a2nf4,Sp2s1a1nf2,Sp4s1a1nf1,SU3adj1nf2,SU4adj2a1A1nf0,Sp2s2nf1,SU4adj1a2A2nf1,SU8s1S2a1f8nf1,SU4adj2a1A1nf1
SU2nf4,0.0,0.0,0.0033333333333333214,0.002499999999999991,0.0033333333333333214,0.017078251276599326,0.0038188130791298527,0.002499999999999991,0.006666666666666682,0.04475240527365851,0.0,0.0,0.0,0.002499999999999991,0.002499999999999991,0.0,0.0,0.0,0.005000000000000016,0.0,0.002499999999999991,0.02849220166213128,0.002499999999999991,0.015898986690282422,0.009166666666666682,0.0,0.0,0.008164965809277279,0.0,0.0,0.0,0.0,0.0,0.020749832663314535,0.007861650943380512,0.0076829537144107425,0.019720265943665383,0.0,0.0,0.0,0.0,0.002499999999999991,0.0075000000000000075,0.0
SU9s2A2F16nf0,0.0,0.0,0.0,0.023333333333333314,0.0,0.0,0.0,0.0,0.0,0.028674417556808742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005000000000000016,0.0,0.0,0.04412734098291243,0.0,0.021147629234082536,0.0,0.0,0.0,0.0,0.0,0.027950849718747367,0.0,0.03500991922933335,0.0,0.0,0.005000000000000016,0.019999999999999997,0.0,0.0,0.0,0.0075000000000000075,0.0,0.0,0.0997914491994847,0.0033333333333333214
Sp2s1a2nf0,0.0033333333333333214,0.0,0.0,0.002499999999999991,0.05218157401484422,0.07865624931024588,0.0,0.0,0.0,0.12092238098144704,0.004166666666666652,0.002499999999999991,0.0065085413965888924,0.01818118685772619,0.02212653007891958,0.0038188130791298527,0.0075000000000000015,0.030103986446980723,0.012610621625351301,0.006666666666666687,0.0,0.0033333333333333214,0.002499999999999991,0.0,0.0,0.005527707983925673,0.005527707983925673,0.008374896350934096,0.0,0.015456030825826165,0.007637626158259735,0.008975274678557521,0.015115297622680894,0.005527707983925673,0.015275252316519461,0.0,0.0055901699437494795,0.0033333333333333214,0.00816496580927727,0.00971825315807551,0.009464847243000467,0.005000000000000016,0.0,0.005833333333333356
SU10s2A2F16nf1,0.002499999999999991,0.023333333333333314,0.002499999999999991,0.0,0.0033333333333333214,0.0033333333333333214,0.0033333333333333214,0.002499999999999991,0.002499999999999991,0.049025220266942414,0.002499999999999991,0.002499999999999991,0.002499999999999991,0.002499999999999991,0.002499999999999991,0.002499999999999991,0.002499999999999991,0.004166666666666652,0.002499999999999991,0.005527707983925673,0.12333614861651693,0.007637626158259738,0.002499999999999991,0.021794494717703356,0.024565671621639442,0.0,0.002499999999999991,0.002499999999999991,0.009999999999999998,0.03037954355593029,0.002499999999999991,0.031578825535827366,0.002499999999999991,0.002499999999999991,0.012360330811826099,0.031280540631872446,0.005335936864527384,0.0033333333333333214,0.002499999999999991,0.0101721296797781,0.002499999999999991,0.002499999999999991,0.020086617988656606,0.00816496580927727
Sp2s2a1nf1,0.0033333333333333214,0.0,0.05218157401484422,0.0033333333333333214,0.0,0.04816061092266631,0.002499999999999991,0.0,0.0,0.054543560573178565,0.004082482904638615,0.002499999999999991,0.010408329997330674,0.009718253158075516,0.006666666666666682,0.008700255424092142,0.007637626158259735,0.027182510717166822,0.011902380714238091,0.007637626158259738,0.002499999999999991,0.002499999999999991,0.004082482904638616,0.002499999999999991,0.002499999999999991,0.007264831572567809,0.006454972243679048,0.008498365855987993,0.0033333333333333214,0.015388487760516172,0.007453559924999322,0.0033333333333333214,0.0038188130791298527,0.0033333333333333214,0.011334558757279544,0.0033333333333333214,0.004082482904638615,0.0055901699437494795,0.012247448713915877,0.011211353372561428,0.0065085413965888924,0.002499999999999991,0.002499999999999991,0.008164965809277272
Sp2s1a2nf1,0.017078251276599326,0.0,0.07865624931024588,0.0033333333333333214,0.04816061092266631,0.0,0.0,0.0,0.002499999999999991,0.062411047811175936,0.004082482904638615,0.0,0.00816496580927727,0.007861650943380514,0.008374896350934085,0.0033333333333333214,0.005527707983925673,0.01842778698957998,0.007861650943380526,0.0065085413965888924,0.0,0.0033333333333333214,0.0033333333333333214,0.002499999999999991,0.002499999999999991,0.0058333333333333475,0.004082482904638616,0.0075000000000000205,0.006718548123582142,0.01121135337256143,0.005527707983925673,0.0055901699437494795,0.008975274678557526,0.004082482904638615,0.012360330811826106,0.002499999999999991,0.009166666666666682,0.007264831572567807,0.005527707983925671,0.009166666666666682,0.0055901699437494795,0.002499999999999991,0.004082482904638616,0.0075000000000000205
SU5s1a1A2F8nf0,0.0038188130791298527,0.0,0.0,0.0033333333333333214,0.002499999999999991,0.0,0.0,0.01980810720667452,0.05517648452415618,0.023407619841980216,0.013540064007726595,0.016583123951776992,0.0055901699437494795,0.004166666666666652,0.01000000000000001,0.010172129679778086,0.0058333333333333475,0.010671873729054742,0.014337208778404373,0.041508031351374236,0.021746647251166484,0.09714322187139747,0.039826010484495064,0.06423156890847712,0.02905932629027118,0.05354774608805783,0.03060727945367825,0.02494438257849296,0.007637626158259754,0.05664828133119114,0.011303883305208772,0.01404358295529392,0.010540925533894603,0.024944382578492935,0.03940530139178964,0.02236067977499789,0.00768295371441073,0.01083333333333333,0.018800856954464137,0.026731691553909056,0.04561310727801337,0.0460675832036175,0.07896905160321423,0.08967921225741844
SU5s1a1A2F8nf1,0.002499999999999991,0.0,0.0,0.002499999999999991,0.0,0.0,0.01980810720667452,0.0,0.03279778109025737,0.023407619841980216,0.014457792977414554,0.01755942292142123,0.012047360245667467,0.012909944487358055,0.01493039405597409,0.025344843876242577,0.014337208778404371,0.018427786989579968,0.02187400791401114,0.01804700652308976,0.02187400791401115,0.016996731711975955,0.016266017746619288,0.01572330188676101,0.055677643628300216,0.01952562418976663,0.08409650541028577,0.09411871935663667,0.016996731711975948,0.07701460900374679,0.014907119849998589,0.02022443516585266,0.015723301886760997,0.016329931618554522,0.023584952830141483,0.016749792701868143,0.020497289793748076,0.01666666666666667,0.015723301886760997,0.02148966159704603,0.0214249335536374,0.016266017746619284,0.014930394055974088,0.02006932429798716
SU6s1a1A2F8nf1,0.006666666666666682,0.0,0.0,0.002499999999999991,0.0,0.002499999999999991,0.05517648452415618,0.03279778109025737,0.0,0.02409472049133492,0.012499999999999995,0.023935677693908447,0.024166666666666677,0.03287180487219337,0.02886751345948127,0.08349983366583566,0.02561737691489897,0.05835713800003866,0.020816659994661313,0.027500000000000004,0.02187400791401115,0.07049428660852201,0.039965262694272655,0.05263210891546043,0.037721567659187584,0.04200694387042855,0.06368869601428498,0.019454362549881248,0.026087459737497536,0.07009913614937696,0.020344259359556173,0.040833333333333346,0.026352313834736515,0.04027681991198192,0.059517737785563664,0.046398036356916875,0.029825883613622133,0.03321855237999125,0.03045944480416178,0.030743111242827862,0.03206980234148975,0.043851073723076256,0.01827642683288443,0.06706133179576905
SU7a2A2nf1,0.04475240527365851,0.028674417556808742,0.12092238098144704,0.049025220266942414,0.054543560573178565,0.062411047811175936,0.023407619841980216,0.023407619841980216,0.02409472049133492,0.0,0.026627575514450746,0.02409472049133492,0.024094720491334928,0.02387758130315733,0.025055493963954838,0.0225,0.022973414586817033,0.04117206442345208,0.0302765035409749,0.02393567769390845,0.026731691553909052,0.02610076627227638,0.02387758130315732,0.023213980461973517,0.023407619841980216,0.021874007914011135,0.023033791601808743,0.02333333333333333,0.02333333333333333,0.04068851871911234,0.022376202636829254,0.028734899415944426,0.02505549396395484,0.024734703466093046,0.022745573439926975,0.025819888974716126,0.024734703466093067,0.02380476142847616,0.02416666666666666,0.02466441431158125,0.025069348260818865,0.02333333333333333,0.06751543033509695,0.025289984842489215
