Theories,SU2nf4,SU2adj1nf2,SU6s1a1A2F8nf1,SU6adj1s1A1F8nf1,SU3adj1nf2,SU3adj1nf3,SU5s1a1A2F8nf0,SU3nf6,SU5s1a1A2F8nf1,SU6s2S2nf1,SU10s2A2F16nf1,SU8s1S2a1f8nf1,Sp2adj1a2nf4,SU5adj1s1A1F8nf0,SU9s2A2F16nf0,SO5adj1nf2,SU7a2A2nf1,SU3adj1nf4,Sp2s1a2nf0,Sp2adj1nf1,SU5s1S1a1A1nf1,SU4adj2a1A1nf1,Sp2s2a1nf1,Sp2s1a1nf2,Sp2s1a2nf1,SU5adj1a2A2nf1,Sp3a3nf1,SU4a3A3nf1,Sp2s2nf1,Sp2adj2nf2,SU4adj2a1A1nf0,Sp4a3nf0,SO12s2nf1,SU2adj1nf3,SU3adj2nf2,SU5a3A3nf0,SU7s1S2a1f8nf0,Sp5a3nf1,SU4adj1a2A2nf1,SU4s1S1a2A2nf1,SO5nf5,SU2adj2nf1,Sp4s1a1nf1,SU5s1S1a2A2nf1
SU2nf4,0.0,1.0,0.9949999999999999,0.9941666666666666,1.0,0.9666666666666666,0.9974999999999999,0.8841666666666667,0.9991666666666668,1.0,0.9991666666666668,0.9974999999999999,0.9958333333333333,0.9800000000000001,1.0,0.9991666666666668,0.945,0.9991666666666668,0.9983333333333334,1.0,0.9925,1.0,0.9983333333333334,0.9916666666666668,0.9666666666666666,1.0,1.0,1.0,1.0,0.99,1.0,1.0,1.0,1.0,1.0,1.0,0.9991666666666668,1.0,0.9991666666666668,0.9983333333333334,0.9991666666666668,1.0,1.0,1.0
SU2adj1nf2,1.0,0.0,0.9625,0.8700000000000001,0.6116666666666666,0.8474999999999999,0.9924999999999999,0.9533333333333331,0.9816666666666667,0.6916666666666667,0.9991666666666668,0.8091666666666667,0.9166666666666666,0.9416666666666667,1.0,0.5308333333333334,0.8833333333333334,0.9075,0.9941666666666666,0.5933333333333334,0.875,0.7725,0.9949999999999999,0.8275,0.9966666666666667,0.9175000000000001,0.7950000000000002,0.9200000000000002,0.6091666666666666,0.8191666666666666,0.6083333333333334,0.6050000000000001,0.8358333333333332,0.8958333333333334,0.8558333333333333,0.8699999999999999,0.8341666666666667,0.7008333333333334,0.805,0.9016666666666667,0.6508333333333333,0.7291666666666667,0.7074999999999999,0.8916666666666666
SU6s1a1A2F8nf1,0.9949999999999999,0.9625,0.0,0.8158333333333332,0.9016666666666666,0.8516666666666668,0.8950000000000001,0.8566666666666667,0.9175000000000001,0.9141666666666668,0.9991666666666668,0.7274999999999999,0.7666666666666666,0.7841666666666667,1.0,0.9583333333333334,0.8899999999999999,0.7833333333333334,1.0,0.9775,0.8441666666666666,0.6433333333333333,1.0,0.8858333333333333,0.9991666666666668,0.6941666666666667,0.8916666666666666,0.9125,0.8941666666666667,0.8208333333333334,0.8858333333333335,0.95,0.9016666666666666,0.7916666666666666,0.7725,0.8991666666666667,0.8324999999999999,0.9066666666666666,0.8658333333333333,0.8033333333333333,0.9349999999999999,0.9216666666666666,0.8991666666666667,0.8958333333333333
SU6adj1s1A1F8nf1,0.9941666666666666,0.8700000000000001,0.8158333333333332,0.0,0.82,0.8233333333333335,0.8233333333333333,0.8258333333333333,0.7366666666666667,0.7266666666666668,0.9425000000000001,0.5775,0.73,0.73,1.0,0.8683333333333334,0.8908333333333331,0.8266666666666668,1.0,0.9108333333333333,0.79,0.675,0.9991666666666668,0.8200000000000001,0.9991666666666668,0.8241666666666667,0.8241666666666667,0.8141666666666666,0.8091666666666667,0.5366666666666666,0.8308333333333333,0.8258333333333333,0.5691666666666666,0.7491666666666666,0.5725,0.8241666666666667,0.6158333333333333,0.8233333333333335,0.8225,0.5458333333333334,0.8475000000000001,0.8791666666666668,0.8225,0.6925
SU3adj1nf2,1.0,0.6116666666666666,0.9016666666666666,0.82,0.0,0.6483333333333332,0.9825000000000002,0.8183333333333334,0.9766666666666668,0.5775,0.9991666666666668,0.7233333333333333,0.8,0.8208333333333334,1.0,0.6141666666666666,0.8858333333333333,0.7975,0.9933333333333334,0.6933333333333334,0.685,0.6508333333333333,0.9933333333333334,0.6408333333333334,0.9950000000000001,0.735,0.5741666666666667,0.7925000000000001,0.5716666666666667,0.8033333333333333,0.59,0.6008333333333333,0.7625,0.7983333333333332,0.7716666666666667,0.7283333333333333,0.8308333333333333,0.6116666666666666,0.6283333333333333,0.8658333333333333,0.6183333333333334,0.7908333333333334,0.5625,0.8958333333333333
SU3adj1nf3,0.9666666666666666,0.8474999999999999,0.8516666666666668,0.8233333333333335,0.6483333333333332,0.0,0.9566666666666667,0.6258333333333332,0.9633333333333333,0.7941666666666666,0.9991666666666668,0.7300000000000001,0.5758333333333334,0.7083333333333333,1.0,0.8608333333333332,0.8858333333333333,0.6183333333333334,0.9966666666666667,0.8716666666666667,0.5974999999999999,0.655,0.9983333333333334,0.55,0.9966666666666667,0.6525000000000001,0.615,0.8225000000000001,0.6791666666666667,0.795,0.6991666666666666,0.7083333333333333,0.8033333333333333,0.7883333333333333,0.8091666666666667,0.7183333333333334,0.8324999999999999,0.6366666666666667,0.5983333333333334,0.8625,0.8300000000000001,0.8216666666666667,0.5875,0.8958333333333333
SU5s1a1A2F8nf0,0.9974999999999999,0.9924999999999999,0.8950000000000001,0.8233333333333333,0.9825000000000002,0.9566666666666667,0.0,0.9408333333333333,0.9541666666666666,0.97,0.9983333333333334,0.775,0.9666666666666666,0.8641666666666665,1.0,0.9883333333333333,0.8908333333333331,0.9199999999999999,1.0,0.9958333333333333,0.8933333333333333,0.8474999999999999,0.9991666666666668,0.9791666666666664,1.0,0.7424999999999999,0.9833333333333332,0.9683333333333332,0.9149999999999998,0.8516666666666666,0.9508333333333334,0.9866666666666667,0.9058333333333334,0.9925,0.8658333333333333,0.9274999999999999,0.8358333333333332,0.9799999999999999,0.9066666666666666,0.8983333333333334,0.9958333333333333,0.9799999999999999,0.9824999999999999,0.8949999999999999
SU3nf6,0.8841666666666667,0.9533333333333331,0.8566666666666667,0.8258333333333333,0.8183333333333334,0.6258333333333332,0.9408333333333333,0.0,0.9683333333333334,0.8316666666666667,0.9966666666666667,0.7333333333333332,0.5283333333333333,0.6291666666666667,0.8966666666666665,0.9625,0.8858333333333333,0.5966666666666667,0.9983333333333334,0.9758333333333334,0.5758333333333334,0.6825,0.9991666666666668,0.5341666666666667,0.9983333333333334,0.6608333333333334,0.8291666666666666,0.8716666666666665,0.755,0.7825,0.7275,0.9,0.8491666666666665,0.875,0.8083333333333333,0.7983333333333333,0.8375,0.7683333333333333,0.5483333333333333,0.8683333333333332,0.9441666666666666,0.9158333333333333,0.7808333333333333,0.8958333333333333
SU5s1a1A2F8nf1,0.9991666666666668,0.9816666666666667,0.9175000000000001,0.7366666666666667,0.9766666666666668,0.9633333333333333,0.9541666666666666,0.9683333333333334,0.0,0.9508333333333333,0.9991666666666668,0.7308333333333333,0.8716666666666665,0.8933333333333333,1.0,0.9808333333333332,0.8908333333333331,0.9641666666666667,1.0,0.9841666666666666,0.9391666666666667,0.8,1.0,0.9708333333333334,1.0,0.9491666666666667,0.9766666666666668,0.9716666666666667,0.9641666666666666,0.7766666666666666,0.9541666666666664,0.9766666666666666,0.9058333333333334,0.9458333333333334,0.7283333333333334,0.9741666666666667,0.8324999999999999,0.975,0.9724999999999999,0.8075000000000001,0.9833333333333334,0.9591666666666667,0.975,0.8941666666666667
SU6s2S2nf1,1.0,0.6916666666666667,0.9141666666666668,0.7266666666666668,0.5775,0.7941666666666666,0.97,0.8316666666666667,0.9508333333333333,0.0,0.9566666666666667,0.65,0.7116666666666667,0.8091666666666667,0.9791666666666666,0.7041666666666668,0.8841666666666667,0.8933333333333333,0.99,0.7424999999999999,0.8141666666666667,0.5691666666666667,0.9983333333333334,0.7258333333333333,0.9958333333333333,0.8483333333333334,0.6891666666666666,0.8908333333333334,0.7291666666666666,0.7333333333333333,0.6908333333333333,0.6675000000000001,0.6616666666666666,0.7925000000000001,0.6775,0.8208333333333334,0.7583333333333333,0.6441666666666668,0.6866666666666666,0.74,0.8216666666666667,0.7333333333333332,0.6233333333333334,0.8241666666666667
SU10s2A2F16nf1,0.9991666666666668,0.9991666666666668,0.9991666666666668,0.9425000000000001,0.9991666666666668,0.9991666666666668,0.9983333333333334,0.9966666666666667,0.9991666666666668,0.9566666666666667,0.0,0.7691666666666667,0.9741666666666667,0.945,0.9466666666666665,0.9991666666666668,0.9024999999999999,0.9991666666666668,0.9991666666666668,0.9991666666666668,0.975,0.9933333333333334,0.9983333333333334,0.9974999999999999,0.9983333333333334,1.0,0.9991666666666668,0.9991666666666668,0.9991666666666668,0.9991666666666668,0.9908333333333333,0.9966666666666667,0.9091666666666667,0.9991666666666668,0.9991666666666668,0.9966666666666667,0.7375,0.9991666666666668,0.9991666666666668,0.9991666666666668,0.9991666666666668,0.9958333333333333,0.9983333333333334,0.9991666666666668
SU8s1S2a1f8nf1,0.9974999999999999,0.8091666666666667,0.7274999999999999,0.5775,0.7233333333333333,0.7300000000000001,0.775,0.7333333333333332,0.7308333333333333,0.65,0.7691666666666667,0.0,0.6583333333333333,0.6783333333333335,0.8666666666666666,0.8,0.8616666666666667,0.7308333333333333,1.0,0.7949999999999999,0.7041666666666667,0.595,0.9991666666666668,0.7299999999999999,0.9966666666666667,0.7316666666666667,0.7316666666666667,0.7333333333333332,0.7283333333333333,0.5683333333333332,0.7266666666666667,0.7541666666666667,0.5291666666666666,0.725,0.5941666666666666,0.7458333333333333,0.595,0.7333333333333332,0.7308333333333333,0.5633333333333335,0.7958333333333334,0.7275,0.7075,0.6616666666666667
Sp2adj1a2nf4,0.9958333333333333,0.9166666666666666,0.7666666666666666,0.73,0.8,0.5758333333333334,0.9666666666666666,0.5283333333333333,0.8716666666666665,0.7116666666666667,0.9741666666666667,0.6583333333333333,0.0,0.6141666666666666,0.9933333333333334,0.9433333333333331,0.8833333333333334,0.5875,1.0,0.9324999999999999,0.5358333333333334,0.61,0.9983333333333334,0.5650000000000001,0.9991666666666668,0.6725,0.7433333333333334,0.8583333333333334,0.7683333333333333,0.7266666666666667,0.755,0.8341666666666667,0.6925000000000001,0.7341666666666666,0.7191666666666666,0.7541666666666668,0.7833333333333334,0.6191666666666668,0.5650000000000001,0.8,0.905,0.8699999999999999,0.7166666666666666,0.8275
SU5adj1s1A1F8nf0,0.9800000000000001,0.9416666666666667,0.7841666666666667,0.73,0.8208333333333334,0.7083333333333333,0.8641666666666665,0.6291666666666667,0.8933333333333333,0.8091666666666667,0.945,0.6783333333333335,0.6141666666666666,0.0,0.945,0.9466666666666667,0.8899999999999999,0.6599999999999999,1.0,0.9533333333333334,0.6933333333333334,0.565,0.9991666666666668,0.7208333333333332,0.9991666666666668,0.7,0.7275,0.8241666666666667,0.8658333333333333,0.7416666666666666,0.8991666666666666,0.8908333333333334,0.6633333333333333,0.6091666666666666,0.7016666666666667,0.7683333333333334,0.7833333333333333,0.8275,0.6725,0.7341666666666666,0.9416666666666668,0.8816666666666666,0.7691666666666667,0.8291666666666666
SU9s2A2F16nf0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8966666666666665,1.0,0.9791666666666666,0.9466666666666665,0.8666666666666666,0.9933333333333334,0.945,0.0,1.0,0.8866666666666667,1.0,1.0,1.0,0.9983333333333334,0.9983333333333334,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9974999999999999,1.0,0.9708333333333334,1.0,1.0,1.0,1.0,1.0,1.0,0.9983333333333334,1.0,1.0,1.0,1.0
SO5adj1nf2,0.9991666666666668,0.5308333333333334,0.9583333333333334,0.8683333333333334,0.6141666666666666,0.8608333333333332,0.9883333333333333,0.9625,0.9808333333333332,0.7041666666666668,0.9991666666666668,0.8,0.9433333333333331,0.9466666666666667,1.0,0.0,0.8866666666666665,0.9125,0.9875,0.5583333333333333,0.8633333333333333,0.7975,0.9949999999999999,0.8591666666666665,0.9941666666666666,0.9208333333333334,0.7916666666666667,0.8791666666666667,0.62,0.8183333333333334,0.5833333333333333,0.6083333333333332,0.8441666666666666,0.9091666666666667,0.845,0.8075000000000001,0.8324999999999999,0.7325,0.8341666666666667,0.9158333333333332,0.6858333333333333,0.7541666666666667,0.7033333333333334,0.8949999999999999
SU7a2A2nf1,0.945,0.8833333333333334,0.8899999999999999,0.8908333333333331,0.8858333333333333,0.8858333333333333,0.8908333333333331,0.8858333333333333,0.8908333333333331,0.8841666666666667,0.9024999999999999,0.8616666666666667,0.8833333333333334,0.8899999999999999,0.8866666666666667,0.8866666666666665,0.0,0.8891666666666665,0.8433333333333334,0.885,0.8791666666666668,0.8858333333333333,0.63,0.8808333333333334,0.6408333333333334,0.8841666666666667,0.8866666666666665,0.8899999999999999,0.8875,0.8800000000000001,0.8816666666666666,0.8866666666666667,0.8699999999999999,0.8841666666666667,0.8883333333333333,0.8875,0.8825,0.8858333333333333,0.8866666666666665,0.875,0.8858333333333333,0.8558333333333336,0.8816666666666666,0.8808333333333331
SU3adj1nf4,0.9991666666666668,0.9075,0.7833333333333334,0.8266666666666668,0.7975,0.6183333333333334,0.9199999999999999,0.5966666666666667,0.9641666666666667,0.8933333333333333,0.9991666666666668,0.7308333333333333,0.5875,0.6599999999999999,1.0,0.9125,0.8891666666666665,0.0,0.9991666666666668,0.9308333333333334,0.6066666666666667,0.7049999999999998,0.9966666666666667,0.6599999999999999,0.9983333333333334,0.5541666666666667,0.7375,0.8566666666666667,0.7675,0.8175000000000001,0.7558333333333334,0.7733333333333333,0.8524999999999998,0.8158333333333333,0.8324999999999999,0.6925,0.8366666666666667,0.8008333333333333,0.615,0.8683333333333334,0.9250000000000002,0.8783333333333333,0.7891666666666667,0.8958333333333333
Sp2s1a2nf0,0.9983333333333334,0.9941666666666666,1.0,1.0,0.9933333333333334,0.9966666666666667,1.0,0.9983333333333334,1.0,0.99,0.9991666666666668,1.0,1.0,1.0,1.0,0.9875,0.8433333333333334,0.9991666666666668,0.0,0.9941666666666666,0.9816666666666668,0.9908333333333333,0.7941666666666667,0.9958333333333333,0.7491666666666668,0.9966666666666667,0.9925,0.9991666666666668,0.9841666666666666,0.9891666666666665,0.9816666666666667,1.0,0.9866666666666666,0.9975000000000002,0.9966666666666667,0.9966666666666667,1.0,0.9950000000000001,0.9983333333333334,0.9841666666666666,0.9816666666666667,0.9458333333333334,0.9983333333333334,0.9958333333333333
Sp2adj1nf1,1.0,0.5933333333333334,0.9775,0.9108333333333333,0.6933333333333334,0.8716666666666667,0.9958333333333333,0.9758333333333334,0.9841666666666666,0.7424999999999999,0.9991666666666668,0.7949999999999999,0.9324999999999999,0.9533333333333334,1.0,0.5583333333333333,0.885,0.9308333333333334,0.9941666666666666,0.0,0.8833333333333334,0.7966666666666666,0.99,0.8008333333333333,0.9933333333333334,0.9383333333333332,0.8474999999999999,0.9266666666666667,0.6308333333333334,0.8166666666666667,0.6383333333333334,0.6508333333333333,0.8033333333333333,0.8633333333333333,0.8683333333333334,0.9008333333333333,0.835,0.7408333333333333,0.8533333333333333,0.9158333333333333,0.6916666666666667,0.6766666666666665,0.7625,0.8958333333333333
SU5s1S1a1A1nf1,0.9925,0.875,0.8441666666666666,0.79,0.685,0.5974999999999999,0.8933333333333333,0.5758333333333334,0.9391666666666667,0.8141666666666667,0.975,0.7041666666666667,0.5358333333333334,0.6933333333333334,0.9983333333333334,0.8633333333333333,0.8791666666666668,0.6066666666666667,0.9816666666666668,0.8833333333333334,0.0,0.6666666666666666,0.9875,0.5733333333333334,0.9833333333333334,0.6033333333333333,0.6841666666666667,0.7466666666666667,0.6975,0.7825,0.7783333333333334,0.7625,0.8016666666666665,0.8549999999999999,0.7841666666666667,0.6341666666666665,0.8091666666666667,0.6900000000000001,0.5683333333333334,0.85,0.8883333333333333,0.8908333333333334,0.6358333333333334,0.8691666666666666
