Theories,SU2nf4,SU2adj1nf2,SU6s1a1A2F8nf1,SU6adj1s1A1F8nf1,SU3adj1nf2,SU3adj1nf3,SU5s1a1A2F8nf0,SU3nf6,SU5s1a1A2F8nf1,SU6s2S2nf1,SU10s2A2F16nf1,SU8s1S2a1f8nf1,Sp2adj1a2nf4,SU5adj1s1A1F8nf0,SU9s2A2F16nf0,SO5adj1nf2,SU7a2A2nf1,SU3adj1nf4,Sp2s1a2nf0,Sp2adj1nf1,SU5s1S1a1A1nf1,SU4adj2a1A1nf1,Sp2s2a1nf1,Sp2s1a1nf2,Sp2s1a2nf1,SU5adj1a2A2nf1,Sp3a3nf1,SU4a3A3nf1
SU2nf4,0.0,0.9991666666666668,0.9954999999999999,0.9984999999999999,0.9998333333333334,0.971,0.9990000000000001,0.8873333333333333,0.9995,0.9998333333333334,0.9993333333333334,0.9993333333333334,0.9966666666666667,0.9776666666666667,1.0,0.9998333333333334,0.9548333333333335,0.9998333333333334,0.9993333333333334,1.0,0.9910000000000001,0.9996666666666667,0.9963333333333333,0.9956666666666666,0.9713333333333334,1.0,0.9998333333333334,0.9996666666666667
SU2adj1nf2,0.9991666666666668,0.0,0.9558333333333334,0.8853333333333334,0.6271666666666667,0.835,0.9918333333333333,0.9501666666666666,0.9786666666666668,0.6928333333333333,0.9993333333333334,0.7971666666666668,0.9063333333333334,0.9398333333333333,1.0,0.5351666666666667,0.8866666666666667,0.8958333333333335,0.9951666666666666,0.5745,0.8633333333333333,0.7933333333333333,0.9971666666666665,0.7986666666666667,0.9973333333333333,0.9166666666666665,0.778,0.9030000000000001
SU6s1a1A2F8nf1,0.9954999999999999,0.9558333333333334,0.0,0.796,0.9038333333333333,0.8608333333333335,0.8855000000000001,0.8738333333333332,0.9086666666666667,0.925,0.9993333333333334,0.7473333333333333,0.7815000000000001,0.7775000000000002,1.0,0.9495,0.8936666666666666,0.7853333333333333,1.0,0.9734999999999999,0.8615,0.6861666666666667,1.0,0.8859999999999999,0.9996666666666667,0.7108333333333333,0.9016666666666667,0.9155000000000001
SU6adj1s1A1F8nf1,0.9984999999999999,0.8853333333333334,0.796,0.0,0.8061666666666666,0.8073333333333333,0.8093333333333335,0.811,0.7125000000000001,0.7193333333333333,0.9214999999999999,0.5621666666666666,0.7146666666666667,0.721,0.9998333333333334,0.8746666666666667,0.8919999999999999,0.8090000000000002,0.9996666666666667,0.9313333333333332,0.7838333333333333,0.6481666666666668,0.9995,0.8058333333333334,0.9991666666666668,0.8105000000000001,0.8096666666666666,0.8046666666666665
SU3adj1nf2,0.9998333333333334,0.6271666666666667,0.9038333333333333,0.8061666666666666,0.0,0.642,0.977,0.7996666666666666,0.9695,0.5745,0.9993333333333334,0.7328333333333332,0.7356666666666666,0.8276666666666667,1.0,0.6075,0.8865000000000001,0.7438333333333332,0.9936666666666667,0.6826666666666666,0.7138333333333332,0.6713333333333332,0.996,0.6345000000000001,0.9920000000000002,0.7926666666666665,0.5946666666666666,0.8221666666666667
SU3adj1nf3,0.971,0.835,0.8608333333333335,0.8073333333333333,0.642,0.0,0.9568333333333334,0.6115,0.9583333333333333,0.7448333333333335,0.9990000000000001,0.7396666666666666,0.6106666666666667,0.6970000000000001,0.9976666666666668,0.8771666666666667,0.8873333333333333,0.6128333333333333,0.9983333333333334,0.8953333333333333,0.596,0.6561666666666666,0.9966666666666666,0.5643333333333334,0.997,0.6711666666666666,0.5941666666666666,0.8350000000000002
SU5s1a1A2F8nf0,0.9990000000000001,0.9918333333333333,0.8855000000000001,0.8093333333333335,0.977,0.9568333333333334,0.0,0.9651666666666665,0.9495,0.9765,0.9993333333333334,0.7885,0.9225000000000001,0.8665,1.0,0.9926666666666667,0.8923333333333332,0.9305,0.9998333333333334,0.9945,0.8941666666666666,0.8896666666666668,0.9998333333333334,0.9790000000000001,0.9998333333333334,0.7471666666666666,0.9855000000000002,0.966
SU3nf6,0.8873333333333333,0.9501666666666666,0.8738333333333332,0.811,0.7996666666666666,0.6115,0.9651666666666665,0.0,0.9630000000000001,0.87,0.9963333333333333,0.7434999999999999,0.5526666666666666,0.6153333333333333,0.8965,0.9621666666666665,0.8846666666666667,0.6181666666666668,0.9993333333333334,0.9706666666666667,0.5943333333333333,0.6678333333333333,0.9986666666666667,0.551,0.9978333333333333,0.6723333333333333,0.8476666666666668,0.936
SU5s1a1A2F8nf1,0.9995,0.9786666666666668,0.9086666666666667,0.7125000000000001,0.9695,0.9583333333333333,0.9495,0.9630000000000001,0.0,0.9413333333333332,0.9993333333333334,0.738,0.8633333333333333,0.8908333333333335,1.0,0.9798333333333334,0.8936666666666667,0.9571666666666667,0.9991666666666668,0.9850000000000001,0.9476666666666667,0.7948333333333334,0.9991666666666668,0.9630000000000001,0.9993333333333334,0.9481666666666668,0.9731666666666666,0.9710000000000001
SU6s2S2nf1,0.9998333333333334,0.6928333333333333,0.925,0.7193333333333333,0.5745,0.7448333333333335,0.9765,0.87,0.9413333333333332,0.0,0.9460000000000001,0.6550000000000001,0.7468333333333335,0.8206666666666667,0.9821666666666666,0.6968333333333332,0.8886666666666667,0.8785,0.9971666666666666,0.7339999999999999,0.7881666666666667,0.5921666666666667,0.997,0.7096666666666667,0.9980000000000001,0.875,0.6958333333333334,0.8916666666666666
SU10s2A2F16nf1,0.9993333333333334,0.9993333333333334,0.9993333333333334,0.9214999999999999,0.9993333333333334,0.9990000000000001,0.9993333333333334,0.9963333333333333,0.9993333333333334,0.9460000000000001,0.0,0.7873333333333333,0.9826666666666667,0.9484999999999999,0.9515,0.9993333333333334,0.9086666666666666,0.9993333333333334,0.9993333333333334,0.9993333333333334,0.9841666666666667,0.9948333333333333,0.9983333333333334,0.9983333333333334,0.9961666666666668,0.9995,0.9993333333333334,0.9993333333333334
SU8s1S2a1f8nf1,0.9993333333333334,0.7971666666666668,0.7473333333333333,0.5621666666666666,0.7328333333333332,0.7396666666666666,0.7885,0.7434999999999999,0.738,0.6550000000000001,0.7873333333333333,0.0,0.6679999999999998,0.6716666666666665,0.8673333333333335,0.8056666666666666,0.8553333333333333,0.7373333333333334,0.9998333333333334,0.8018333333333334,0.7148333333333333,0.6016666666666667,0.9798333333333333,0.7326666666666667,0.9976666666666668,0.7439999999999999,0.7505,0.7588333333333332
Sp2adj1a2nf4,0.9966666666666667,0.9063333333333334,0.7815000000000001,0.7146666666666667,0.7356666666666666,0.6106666666666667,0.9225000000000001,0.5526666666666666,0.8633333333333333,0.7468333333333335,0.9826666666666667,0.6679999999999998,0.0,0.6206666666666666,0.9980000000000001,0.9243333333333333,0.8846666666666667,0.633,0.9990000000000001,0.9383333333333335,0.5884999999999999,0.6153333333333333,0.9958333333333335,0.5765,0.9966666666666667,0.6506666666666667,0.6961666666666666,0.7858333333333332
