Theories,SU2nf4,SU2adj1nf2,SU6s1a1A2F8nf1,SU6adj1s1A1F8nf1,SU3adj1nf2,SU3adj1nf3,SU5s1a1A2F8nf0,SU3nf6,SU5s1a1A2F8nf1,SU6s2S2nf1,SU10s2A2F16nf1,SU8s1S2a1f8nf1,Sp2adj1a2nf4,SU5adj1s1A1F8nf0,SU9s2A2F16nf0,SO5adj1nf2,SU7a2A2nf1,SU3adj1nf4,Sp2s1a2nf0,Sp2adj1nf1,SU5s1S1a1A1nf1,SU4adj2a1A1nf1,Sp2s2a1nf1,Sp2s1a1nf2,Sp2s1a2nf1,SU5adj1a2A2nf1,Sp3a3nf1,SU4a3A3nf1
SU2nf4,0.0,0.003004626062886659,0.0067102740463991385,0.005937171043518957,0.0011666666666666624,0.024508501926202395,0.0027080128015453103,0.026679163738351656,0.001979057014506312,0.0011666666666666624,0.002260776661041748,0.002260776661041748,0.0068718427093627694,0.024689178916188277,0.0,0.0011666666666666624,0.044910095375835776,0.0011666666666666624,0.002260776661041748,0.0,0.008950481054731712,0.0016329931618554463,0.0047609522856952285,0.013666666666666666,0.020011108026404843,0.0,0.0011666666666666624,0.0016329931618554463
SU2adj1nf2,0.003004626062886659,0.0,0.020361319538117685,0.06707292879976078,0.05499520181090549,0.03527668414752788,0.009352658564398814,0.028357342768476904,0.01780761385225745,0.07003986959820337,0.002260776661041748,0.09027135019853567,0.03525935652025178,0.022003156339236614,0.0,0.030013422923011557,0.02838231060987734,0.03694026709883584,0.009293067906300434,0.04715253027262811,0.03940530139178964,0.050579969684978375,0.005918426968188235,0.046138679844332106,0.005385164807134514,0.032914029430219156,0.04566666666666667,0.03581433604950212
SU6s1a1A2F8nf1,0.0067102740463991385,0.020361319538117685,0.0,0.04164132562731402,0.030741304100148022,0.04184130070211064,0.04156019730463272,0.0565442304749123,0.03741508905360094,0.02753785273643051,0.002260776661041748,0.05189305241445034,0.04063010651666514,0.05762064637687509,0.0,0.02244808826307191,0.02595722977857572,0.040809857197060186,0.0,0.017215141913766243,0.03515402616423268,0.0845512664994834,0.0,0.03405224743765902,0.0016329931618554463,0.04811011674620353,0.0253311402559511,0.021731313812100733
SU6adj1s1A1F8nf1,0.005937171043518957,0.06707292879976078,0.04164132562731402,0.0,0.03260921819227059,0.02851120637379079,0.0293276509647655,0.030433899228035535,0.09532473737470015,0.03242255730540424,0.02939623936643748,0.04425965054840205,0.038281123866005344,0.04761652374263932,0.0011666666666666624,0.06565820588471787,0.028331372481167707,0.02881164887872804,0.0016329931618554463,0.05757989618299469,0.03637803061067367,0.042337598210364064,0.001979057014506312,0.02814890959009089,0.002499999999999991,0.03324195809181187,0.029503295484478408,0.026465910988372268
SU3adj1nf2,0.0011666666666666624,0.05499520181090549,0.030741304100148022,0.03260921819227059,0.0,0.06889928237007342,0.019261360284258226,0.1136265813971361,0.020589236670325264,0.05006689968876087,0.002260776661041748,0.04372928080817246,0.10892199043352081,0.08233468284993876,0.0,0.05320949163448191,0.026920149413486635,0.08162941327187836,0.007557189365836436,0.0701355829803959,0.07054569047393643,0.06353389296710502,0.0060644684662200885,0.07131717106622282,0.008326663997864539,0.0950239735832782,0.05032560647092757,0.05898705130977664
SU3adj1nf3,0.024508501926202395,0.03527668414752788,0.04184130070211064,0.02851120637379079,0.06889928237007342,0.0,0.02782335150352826,0.09652129874339191,0.026087459737497546,0.10614311617392393,0.0027080128015453103,0.03454304882638796,0.06282780700719494,0.08191730247294796,0.010677078252031317,0.04999472194364345,0.02760032205931261,0.06511122961688115,0.0033333333333333214,0.04291982189048682,0.059424087895585086,0.07164360093934109,0.005,0.041198705481281,0.004932882862316248,0.06407916111255585,0.05919013619026588,0.04419024527854284
SU5s1a1A2F8nf0,0.0027080128015453103,0.009352658564398814,0.04156019730463272,0.0293276509647655,0.019261360284258226,0.02782335150352826,0.0,0.04985228179331412,0.023653165162874544,0.013913422775626898,0.002260776661041748,0.06672684783670081,0.06992555565266058,0.05157222551378257,0.0,0.007195677714974319,0.026343879744638983,0.037178622890042604,0.0011666666666666624,0.006584915421712818,0.04086733278413076,0.08014847333404285,0.0011666666666666624,0.015205992970609383,0.0011666666666666624,0.10273496105134913,0.010904891868637067,0.01730767331432955
SU3nf6,0.026679163738351656,0.028357342768476904,0.0565442304749123,0.030433899228035535,0.1136265813971361,0.09652129874339191,0.04985228179331412,0.0,0.027846803127907594,0.10993685056026989,0.00884433277428107,0.0370168880377592,0.04532107677449864,0.08011034057265433,0.04193546629445454,0.045801807339400424,0.02730282850630031,0.08473307762877756,0.002260776661041748,0.019524912860809963,0.05660388679233963,0.1005265304948566,0.0030550504633038824,0.06077371507851436,0.00401732359773131,0.08367330650943719,0.09444339868702077,0.051246680109273635
SU5s1a1A2F8nf1,0.001979057014506312,0.01780761385225745,0.03741508905360094,0.09532473737470015,0.020589236670325264,0.026087459737497546,0.023653165162874544,0.027846803127907594,0.0,0.035860842154082216,0.002260776661041748,0.034607320998116385,0.035079275299748656,0.028198207192814392,0.0,0.01692220763113109,0.026381811916545844,0.02134439817219809,0.002499999999999991,0.016244657241348284,0.024610295948376285,0.03789202495981913,0.002499999999999991,0.021612753436596435,0.002260776661041748,0.023528351691806487,0.0200201287597147,0.02049661218619093
SU6s2S2nf1,0.0011666666666666624,0.07003986959820337,0.02753785273643051,0.03242255730540424,0.05006689968876087,0.10614311617392393,0.013913422775626898,0.10993685056026989,0.035860842154082216,0.0,0.03119116684077222,0.042491829279939886,0.10177439647464276,0.11132085758443172,0.028529224782083838,0.07894952677361516,0.027576157173261916,0.05320531510625189,0.005166666666666663,0.06008882314263334,0.09705511034687687,0.05630793312965175,0.004642796092394702,0.09493213950560214,0.003929942040850527,0.06485025486114573,0.10044691798822568,0.039370039370059055
