SU5adj1s1A1F8nf0,SU5adj1s1A1F8nf0,SU3adj1nf2,SU3adj1nf3,SU5s1S1a1A1nf1,Sp2adj1a2nf4,Sp2s1a1nf2,SU8s1S2a1f8nf1,SU4adj2a1A1nf1
SU5adj1s1A1F8nf0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SU3adj1nf2,0.0,0.0,0.0702640522389439,0.07749862603322098,0.07510026220138016,0.06898568468427363,0.06970980411766668,0.0777098115736669
SU3adj1nf3,0.0,0.0702640522389439,0.0,0.060719553667091995,0.08479139252844936,0.06423577327238487,0.10116659039596856,0.06389854999417455
SU5s1S1a1A1nf1,0.0,0.07749862603322098,0.060719553667091995,0.0,0.07952761768913137,0.07726889077424032,0.06867250963993463,0.06592401162430861
Sp2adj1a2nf4,0.0,0.07510026220138016,0.08479139252844936,0.07952761768913137,0.0,0.07928141780944979,0.06050415759614998,0.06601767440112787
Sp2s1a1nf2,0.0,0.06898568468427363,0.06423577327238487,0.07726889077424032,0.07928141780944979,0.0,0.07943636322534622,0.07083810441448188
SU8s1S2a1f8nf1,0.0,0.06970980411766668,0.10116659039596856,0.06867250963993463,0.06050415759614998,0.07943636322534622,0.0,0.058563461410214464
SU4adj2a1A1nf1,0.0,0.0777098115736669,0.06389854999417455,0.06592401162430861,0.06601767440112787,0.07083810441448188,0.058563461410214464,0.0

SU3adj1nf2,SU5adj1s1A1F8nf0,SU3adj1nf2,SU3adj1nf3,SU5s1S1a1A1nf1,Sp2adj1a2nf4,Sp2s1a1nf2,SU8s1S2a1f8nf1,SU4adj2a1A1nf1
SU5adj1s1A1F8nf0,0.0,0.0,0.0702640522389439,0.07749862603322098,0.07510026220138016,0.06898568468427363,0.06970980411766668,0.0777098115736669
SU3adj1nf2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SU3adj1nf3,0.0702640522389439,0.0,0.0,0.06179975628223149,0.08240789845879497,0.06346419229537002,0.04976252246395181,0.08168775237995526
SU5s1S1a1A1nf1,0.07749862603322098,0.0,0.06179975628223149,0.0,0.06845066710529923,0.053467539477497716,0.050596564563999934,0.0639154534145318
Sp2adj1a2nf4,0.07510026220138016,0.0,0.08240789845879497,0.06845066710529923,0.0,0.06288820180229297,0.08705497057167137,0.06120235612345107
Sp2s1a1nf2,0.06898568468427363,0.0,0.06346419229537002,0.053467539477497716,0.06288820180229297,0.0,0.05243455650665296,0.07517264080718414
SU8s1S2a1f8nf1,0.06970980411766668,0.0,0.04976252246395181,0.050596564563999934,0.08705497057167137,0.05243455650665296,0.0,0.053041912149209364
SU4adj2a1A1nf1,0.0777098115736669,0.0,0.08168775237995526,0.0639154534145318,0.06120235612345107,0.07517264080718414,0.053041912149209364,0.0

SU3adj1nf3,SU5adj1s1A1F8nf0,SU3adj1nf2,SU3adj1nf3,SU5s1S1a1A1nf1,Sp2adj1a2nf4,Sp2s1a1nf2,SU8s1S2a1f8nf1,SU4adj2a1A1nf1
SU5adj1s1A1F8nf0,0.0,0.0702640522389439,0.0,0.060719553667091995,0.08479139252844936,0.06423577327238487,0.10116659039596856,0.06389854999417455
SU3adj1nf2,0.0702640522389439,0.0,0.0,0.06179975628223149,0.08240789845879497,0.06346419229537002,0.04976252246395181,0.08168775237995526
SU3adj1nf3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SU5s1S1a1A1nf1,0.060719553667091995,0.06179975628223149,0.0,0.0,0.046282012611359336,0.04982686072173037,0.04472701837636292,0.06702395002193777
Sp2adj1a2nf4,0.08479139252844936,0.08240789845879497,0.0,0.046282012611359336,0.0,0.04207342200851,0.05690407783343892,0.05310843786856761
Sp2s1a1nf2,0.06423577327238487,0.06346419229537002,0.0,0.04982686072173037,0.04207342200851,0.0,0.05155375954726085,0.06811654863196509
SU8s1S2a1f8nf1,0.10116659039596856,0.04976252246395181,0.0,0.04472701837636292,0.05690407783343892,0.05155375954726085,0.0,0.067952507016861
SU4adj2a1A1nf1,0.06389854999417455,0.08168775237995526,0.0,0.06702395002193777,0.05310843786856761,0.06811654863196509,0.067952507016861,0.0

SU5s1S1a1A1nf1,SU5adj1s1A1F8nf0,SU3adj1nf2,SU3adj1nf3,SU5s1S1a1A1nf1,Sp2adj1a2nf4,Sp2s1a1nf2,SU8s1S2a1f8nf1,SU4adj2a1A1nf1
SU5adj1s1A1F8nf0,0.0,0.07749862603322098,0.060719553667091995,0.0,0.07952761768913137,0.07726889077424032,0.06867250963993463,0.06592401162430861
SU3adj1nf2,0.07749862603322098,0.0,0.06179975628223149,0.0,0.06845066710529923,0.053467539477497716,0.050596564563999934,0.0639154534145318
SU3adj1nf3,0.060719553667091995,0.06179975628223149,0.0,0.0,0.046282012611359336,0.04982686072173037,0.04472701837636292,0.06702395002193777
SU5s1S1a1A1nf1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sp2adj1a2nf4,0.07952761768913137,0.06845066710529923,0.046282012611359336,0.0,0.0,0.0610331826363008,0.051733409698301765,0.057862011248132506
Sp2s1a1nf2,0.07726889077424032,0.053467539477497716,0.04982686072173037,0.0,0.0610331826363008,0.0,0.0500493583535787,0.06150218303864114
SU8s1S2a1f8nf1,0.06867250963993463,0.050596564563999934,0.04472701837636292,0.0,0.051733409698301765,0.0500493583535787,0.0,0.07431132376365109
SU4adj2a1A1nf1,0.06592401162430861,0.0639154534145318,0.06702395002193777,0.0,0.057862011248132506,0.06150218303864114,0.07431132376365109,0.0

Sp2adj1a2nf4,SU5adj1s1A1F8nf0,SU3adj1nf2,SU3adj1nf3,SU5s1S1a1A1nf1,Sp2adj1a2nf4,Sp2s1a1nf2,SU8s1S2a1f8nf1,SU4adj2a1A1nf1
SU5adj1s1A1F8nf0,0.0,0.07510026220138016,0.08479139252844936,0.07952761768913137,0.0,0.07928141780944979,0.06050415759614998,0.06601767440112787
SU3adj1nf2,0.07510026220138016,0.0,0.08240789845879497,0.06845066710529923,0.0,0.06288820180229297,0.08705497057167137,0.06120235612345107
SU3adj1nf3,0.08479139252844936,0.08240789845879497,0.0,0.046282012611359336,0.0,0.04207342200851,0.05690407783343892,0.05310843786856761
SU5s1S1a1A1nf1,0.07952761768913137,0.06845066710529923,0.046282012611359336,0.0,0.0,0.0610331826363008,0.051733409698301765,0.057862011248132506
Sp2adj1a2nf4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sp2s1a1nf2,0.07928141780944979,0.06288820180229297,0.04207342200851,0.0610331826363008,0.0,0.0,0.05733688619482679,0.05439271919323916
SU8s1S2a1f8nf1,0.06050415759614998,0.08705497057167137,0.05690407783343892,0.051733409698301765,0.0,0.05733688619482679,0.0,0.08845316819064741
SU4adj2a1A1nf1,0.06601767440112787,0.06120235612345107,0.05310843786856761,0.057862011248132506,0.0,0.05439271919323916,0.08845316819064741,0.0

Sp2s1a1nf2,SU5adj1s1A1F8nf0,SU3adj1nf2,SU3adj1nf3,SU5s1S1a1A1nf1,Sp2adj1a2nf4,Sp2s1a1nf2,SU8s1S2a1f8nf1,SU4adj2a1A1nf1
SU5adj1s1A1F8nf0,0.0,0.06898568468427363,0.06423577327238487,0.07726889077424032,0.07928141780944979,0.0,0.07943636322534622,0.07083810441448188
SU3adj1nf2,0.06898568468427363,0.0,0.06346419229537002,0.053467539477497716,0.06288820180229297,0.0,0.05243455650665296,0.07517264080718414
SU3adj1nf3,0.06423577327238487,0.06346419229537002,0.0,0.04982686072173037,0.04207342200851,0.0,0.05155375954726085,0.06811654863196509
SU5s1S1a1A1nf1,0.07726889077424032,0.053467539477497716,0.04982686072173037,0.0,0.0610331826363008,0.0,0.0500493583535787,0.06150218303864114
Sp2adj1a2nf4,0.07928141780944979,0.06288820180229297,0.04207342200851,0.0610331826363008,0.0,0.0,0.05733688619482679,0.05439271919323916
Sp2s1a1nf2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SU8s1S2a1f8nf1,0.07943636322534622,0.05243455650665296,0.05155375954726085,0.0500493583535787,0.05733688619482679,0.0,0.0,0.06788843425925244
SU4adj2a1A1nf1,0.07083810441448188,0.07517264080718414,0.06811654863196509,0.06150218303864114,0.05439271919323916,0.0,0.06788843425925244,0.0

