Theories,SU2nf4,SU9s2A2F16nf0,SU10s2A2F16nf1,SU4a3A3nf1,SU5s1a1A2F8nf1,SU5s1a1A2F8nf0,Sp2s1a2nf0,Sp2s2a1nf1,Sp2s1a2nf1,Sp3a3nf1,SU6s1a1A2F8nf1,SO12s2nf1,SU2adj2nf1,SU5a3A3nf0,SU5s1S1a2A2nf1,SU7a2A2nf1,SU2adj1nf2,SU5s1S1a1A1nf1,SO5nf5,Sp2s2nf1,SU4s1S1a2A2nf1,SU2adj1nf3,Sp2adj1nf1,SU6s2S2nf1,Sp5a3nf1,Sp4a3nf0,SO5adj1nf2,SU3adj1nf4,SU3adj1nf3,SU3adj2nf2,Sp4s1a1nf1,SU3nf6,Sp2s1a1nf2,SU4adj2a1A1nf0,SU5adj1a2A2nf1,SU3adj1nf2,SU7s1S2a1f8nf0,Sp2adj1a2nf4,Sp2adj2nf2,SU4adj1a2A2nf1,SU6adj1s1A1F8nf1,SU5adj1s1A1F8nf0,SU4adj2a1A1nf1,SU8s1S2a1f8nf1
SU2nf4,0.0,1.0,1.0,0.9974999999999999,0.9950000000000001,0.9991666666666668,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8800000000000001,1.0,1.0,1.0,1.0,0.9791666666666667,0.8408333333333335,1.0,1.0,0.9850000000000001,0.9541666666666664,1.0,0.9550000000000001
SU9s2A2F16nf0,1.0,0.0,0.9533333333333334,0.9808333333333333,1.0,1.0,1.0,1.0,1.0,0.9983333333333334,1.0,1.0,1.0,1.0,1.0,0.9974999999999999,1.0,1.0,0.9641666666666667,1.0,0.9966666666666667,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8800000000000001,1.0,1.0,1.0,1.0,0.9875,0.8958333333333334,1.0,1.0,1.0,0.9333333333333332,1.0,0.9791666666666666
SU10s2A2F16nf1,1.0,0.9533333333333334,0.0,0.9799999999999999,1.0,0.9983333333333334,1.0,1.0,1.0,1.0,0.9958333333333333,1.0,0.9991666666666668,0.9983333333333334,1.0,0.9974999999999999,1.0,0.9991666666666668,1.0,1.0,0.9966666666666667,0.9983333333333334,1.0,0.9983333333333334,1.0,1.0,1.0,0.9983333333333334,1.0,1.0,1.0,0.8791666666666668,1.0,1.0,1.0,1.0,0.9608333333333332,0.885,1.0,1.0,0.9916666666666668,0.9166666666666667,1.0,0.8274999999999999
SU4a3A3nf1,0.9974999999999999,0.9808333333333333,0.9799999999999999,0.0,0.975,0.9775,0.9799999999999999,0.9799999999999999,0.9791666666666666,0.9616666666666667,0.9741666666666667,0.9791666666666666,0.9799999999999999,0.9683333333333334,0.975,0.9716666666666667,0.9775,0.9791666666666666,0.9733333333333334,0.9799999999999999,0.9799999999999999,0.9799999999999999,0.9791666666666666,0.9791666666666666,0.9741666666666665,0.9683333333333332,0.9791666666666666,0.9650000000000001,0.9733333333333333,0.9791666666666666,0.9791666666666666,0.8616666666666667,0.9766666666666668,0.9791666666666666,0.9191666666666667,0.9775,0.9625,0.805,0.9799999999999999,0.9741666666666667,0.9375,0.945,0.9791666666666666,0.8916666666666666
SU5s1a1A2F8nf1,0.9950000000000001,1.0,1.0,0.975,0.0,0.9624999999999998,0.9941666666666666,0.9908333333333333,0.9916666666666668,0.9883333333333333,0.8458333333333334,0.9858333333333335,0.9908333333333333,0.985,0.9758333333333331,0.9891666666666667,0.99,0.9841666666666666,0.9916666666666668,0.985,0.985,0.9766666666666666,0.9883333333333335,0.9841666666666666,0.9875,0.9866666666666667,0.9883333333333335,0.9883333333333335,0.9875,0.9816666666666667,0.9775,0.8800000000000001,0.9816666666666667,0.99,0.9791666666666666,0.9875,0.8766666666666666,0.8333333333333334,0.9800000000000001,0.9875,0.8666666666666666,0.8691666666666666,0.9816666666666667,0.7616666666666665
SU5s1a1A2F8nf0,0.9991666666666668,1.0,0.9983333333333334,0.9775,0.9624999999999998,0.0,0.9991666666666668,0.9974999999999999,0.9974999999999999,0.9833333333333332,0.8966666666666667,0.9966666666666667,0.9991666666666668,0.9750000000000002,0.9925,0.9308333333333334,0.9949999999999999,0.9925,0.9925,0.9966666666666667,0.985,0.9891666666666667,0.9991666666666668,0.9950000000000001,0.9825000000000002,0.9908333333333335,0.9941666666666666,0.9741666666666667,0.9866666666666667,0.9958333333333333,0.99,0.8800000000000001,0.9883333333333333,0.9949999999999999,0.9225,0.9916666666666668,0.8341666666666665,0.8516666666666666,0.9850000000000001,0.9041666666666668,0.8375,0.8591666666666666,0.9908333333333335,0.7683333333333333
Sp2s1a2nf0,1.0,1.0,1.0,0.9799999999999999,0.9941666666666666,0.9991666666666668,0.0,0.8108333333333334,0.6891666666666667,0.9916666666666668,0.9858333333333332,0.9958333333333333,0.9658333333333335,0.9916666666666668,0.9708333333333334,0.985,0.9616666666666667,0.9983333333333334,0.9,0.9891666666666665,0.9625000000000001,0.9450000000000001,0.9491666666666667,0.9974999999999999,1.0,0.9816666666666667,0.96,0.9808333333333333,0.9566666666666667,0.97,0.9925,0.8800000000000001,0.9591666666666665,0.9658333333333333,0.9783333333333332,0.9016666666666667,0.9433333333333334,0.8916666666666666,0.8958333333333334,0.9291666666666666,0.8933333333333332,0.9158333333333333,0.9783333333333333,0.9533333333333334
Sp2s2a1nf1,1.0,1.0,1.0,0.9799999999999999,0.9908333333333333,0.9974999999999999,0.8108333333333334,0.0,0.8041666666666666,0.9916666666666668,0.9916666666666666,0.9933333333333334,0.8808333333333334,0.9974999999999999,0.9383333333333335,0.93,0.9783333333333333,0.9825000000000002,0.9158333333333333,0.9549999999999998,0.945,0.9383333333333332,0.9533333333333334,0.9933333333333334,1.0,0.9916666666666668,0.9824999999999999,0.9858333333333335,0.9824999999999999,0.8633333333333333,0.9691666666666666,0.8800000000000001,0.9608333333333332,0.9499999999999998,0.9808333333333333,0.9266666666666665,0.9149999999999998,0.8908333333333334,0.8300000000000001,0.9441666666666666,0.9433333333333334,0.9175000000000001,0.7825,0.9191666666666667
Sp2s1a2nf1,1.0,1.0,1.0,0.9791666666666666,0.9916666666666668,0.9974999999999999,0.6891666666666667,0.8041666666666666,0.0,0.9916666666666668,0.9733333333333334,0.9933333333333334,0.9758333333333331,0.9891666666666665,0.9616666666666667,0.9799999999999999,0.9674999999999999,0.9958333333333333,0.9283333333333333,0.9858333333333335,0.9566666666666667,0.9466666666666667,0.9891666666666667,0.9925,0.9491666666666667,0.9600000000000002,0.9875,0.9791666666666667,0.9408333333333333,0.9691666666666666,0.9858333333333335,0.8800000000000001,0.8816666666666666,0.9641666666666666,0.9266666666666667,0.9458333333333334,0.9158333333333333,0.8783333333333333,0.8908333333333334,0.765,0.8883333333333331,0.9041666666666668,0.9525,0.9133333333333333
Sp3a3nf1,1.0,0.9983333333333334,1.0,0.9616666666666667,0.9883333333333333,0.9833333333333332,0.9916666666666668,0.9916666666666668,0.9916666666666668,0.0,0.9283333333333333,0.9941666666666669,0.9933333333333334,0.9324999999999999,0.99,0.9433333333333334,0.9866666666666667,0.9925,0.9608333333333334,0.9908333333333335,0.9925,0.99,0.9908333333333335,0.9916666666666668,0.8708333333333333,0.8350000000000002,0.9908333333333335,0.6758333333333333,0.9533333333333334,0.99,0.9891666666666667,0.8725000000000002,0.9816666666666667,0.9908333333333335,0.9283333333333333,0.9816666666666667,0.8316666666666667,0.8191666666666666,0.9866666666666667,0.9724999999999999,0.8549999999999999,0.715,0.99,0.7516666666666667
