Theories,SU2nf4,SU2adj1nf2,SU6s1a1A2F8nf1,SU6adj1s1A1F8nf1,SU3adj1nf2,SU3adj1nf3,SU5s1a1A2F8nf0,SU3nf6,SU5s1a1A2F8nf1,SU6s2S2nf1,SU10s2A2F16nf1,SU8s1S2a1f8nf1,Sp2adj1a2nf4,SU5adj1s1A1F8nf0,SU9s2A2F16nf0,SO5adj1nf2,SU7a2A2nf1,SU3adj1nf4,Sp2s1a2nf0,Sp2adj1nf1,SU5s1S1a1A1nf1,SU4adj2a1A1nf1,Sp2s2a1nf1,Sp2s1a1nf2,Sp2s1a2nf1,SU5adj1a2A2nf1,Sp3a3nf1,SU4a3A3nf1
SU2nf4,0.0,1.0,0.9961666666666668,0.9886666666666667,1.0,1.0,0.9998333333333334,0.8808333333333335,0.9981666666666668,1.0,0.9991666666666668,0.9368333333333334,0.8543333333333334,0.954,1.0,1.0,0.9996666666666667,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SU2adj1nf2,1.0,0.0,0.9793333333333334,0.8698333333333333,0.6088333333333332,0.8494999999999999,0.9951666666666666,0.8805,0.9878333333333335,0.9601666666666666,0.9991666666666668,0.8721666666666669,0.8673333333333333,0.8908333333333333,1.0,0.6081666666666667,0.8966666666666666,0.9531666666666666,0.9578333333333334,0.7070000000000001,0.9703333333333335,0.7843333333333333,0.9806666666666668,0.8436666666666666,0.96,0.9188333333333334,0.9888333333333335,0.9773333333333334
SU6s1a1A2F8nf1,0.9961666666666668,0.9793333333333334,0.0,0.8063333333333333,0.9675,0.9553333333333335,0.9071666666666667,0.8748333333333334,0.8725,0.9885,0.9971666666666666,0.7403333333333335,0.8428333333333333,0.8044999999999999,1.0,0.9786666666666668,0.9576666666666667,0.8043333333333332,0.9868333333333336,0.9826666666666668,0.9804999999999999,0.9626666666666668,0.9871666666666669,0.9576666666666668,0.9780000000000001,0.9185000000000001,0.9343333333333332,0.968
SU6adj1s1A1F8nf1,0.9886666666666667,0.8698333333333333,0.8063333333333333,0.0,0.8541666666666667,0.8341666666666667,0.8355,0.8596666666666667,0.8684999999999999,0.8758333333333335,0.9921666666666666,0.6200000000000001,0.8315,0.7398333333333332,0.9991666666666668,0.872,0.8119999999999998,0.7538333333333332,0.9133333333333334,0.8951666666666668,0.9066666666666666,0.7043333333333334,0.9526666666666667,0.835,0.9098333333333334,0.8176666666666667,0.8456666666666668,0.9291666666666667
SU3adj1nf2,1.0,0.6088333333333332,0.9675,0.8541666666666667,0.0,0.7695000000000001,0.9928333333333333,0.8796666666666666,0.9870000000000002,0.8186666666666669,0.9991666666666668,0.7933333333333334,0.8723333333333332,0.8525,1.0,0.5885,0.8988333333333334,0.9393333333333334,0.8956666666666667,0.7381666666666666,0.8881666666666667,0.6755,0.9061666666666668,0.7285,0.9203333333333333,0.7946666666666666,0.985,0.9771666666666667
SU3adj1nf3,1.0,0.8494999999999999,0.9553333333333335,0.8341666666666667,0.7695000000000001,0.0,0.9836666666666667,0.8789999999999999,0.9865,0.9443333333333335,0.9990000000000001,0.7608333333333335,0.8498333333333332,0.7130000000000001,1.0,0.8885,0.8873333333333332,0.7699999999999999,0.9655000000000001,0.9206666666666666,0.9420000000000001,0.7776666666666666,0.9743333333333335,0.5636666666666666,0.9358333333333333,0.774,0.9613333333333334,0.9756666666666668
SU5s1a1A2F8nf0,0.9998333333333334,0.9951666666666666,0.9071666666666667,0.8355,0.9928333333333333,0.9836666666666667,0.0,0.8808333333333335,0.9613333333333334,0.9938333333333333,0.9985,0.7543333333333335,0.8586666666666666,0.857,1.0,0.9953333333333333,0.9241666666666665,0.9355,0.9983333333333334,0.9966666666666666,0.9898333333333333,0.9896666666666667,0.9963333333333334,0.9886666666666666,0.9958333333333335,0.9231666666666665,0.9860000000000001,0.9766666666666667
SU3nf6,0.8808333333333335,0.8805,0.8748333333333334,0.8596666666666667,0.8796666666666666,0.8789999999999999,0.8808333333333335,0.0,0.8794999999999998,0.8811666666666668,0.8788333333333332,0.8015000000000001,0.6138333333333333,0.8656666666666666,0.8815000000000001,0.8808333333333335,0.8776666666666667,0.8771666666666667,0.8808333333333335,0.8809999999999999,0.8811666666666668,0.8808333333333335,0.8808333333333335,0.8794999999999998,0.8808333333333335,0.8781666666666667,0.8738333333333334,0.8706666666666666
SU5s1a1A2F8nf1,0.9981666666666668,0.9878333333333335,0.8725,0.8684999999999999,0.9870000000000002,0.9865,0.9613333333333334,0.8794999999999998,0.0,0.9871666666666666,0.9978333333333335,0.7536666666666666,0.8611666666666666,0.8836666666666666,0.9996666666666667,0.9875,0.9901666666666666,0.9854999999999999,0.9896666666666667,0.9881666666666667,0.9848333333333333,0.9854999999999999,0.9881666666666666,0.9845,0.9878333333333333,0.9765,0.9898333333333333,0.977
SU6s2S2nf1,1.0,0.9601666666666666,0.9885,0.8758333333333335,0.8186666666666669,0.9443333333333335,0.9938333333333333,0.8811666666666668,0.9871666666666666,0.0,0.9988333333333334,0.8513333333333334,0.8815,0.9130000000000001,1.0,0.9033333333333333,0.9316666666666665,0.9765,0.9941666666666668,0.8016666666666665,0.7389999999999999,0.5883333333333334,0.9793333333333334,0.9406666666666667,0.9945,0.9591666666666667,0.9956666666666668,0.9784999999999999
