SU2nf4,SU2nf4,SU9s2A2F16nf0,SU10s2A2F16nf1,SU5s1a1A2F8nf1,SU4a3A3nf1,SU5s1a1A2F8nf0,Sp2s2a1nf1,Sp2s1a2nf0
SU2nf4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SU9s2A2F16nf0,0.0,0.0,0.00920346150661279,0.004745368112013908,0.010914369280454257,0.0031914236925211156,0.0007777777777777751,0.0007777777777777751
SU10s2A2F16nf1,0.0,0.00920346150661279,0.0,0.003720148676174033,0.010671873729054749,0.004873713822102514,0.002036700308869255,0.002036700308869255
SU5s1a1A2F8nf1,0.0,0.004745368112013908,0.003720148676174033,0.0,0.01006153904237491,0.009262295798385518,0.007888888888888907,0.006868248649122493
SU4a3A3nf1,0.0,0.010914369280454257,0.010671873729054749,0.01006153904237491,0.0,0.011223872265932792,0.010499265112436902,0.010017885240476561
SU5s1a1A2F8nf0,0.0,0.0031914236925211156,0.004873713822102514,0.009262295798385518,0.011223872265932792,0.0,0.0057187152144256796,0.0044735160309327445
Sp2s2a1nf1,0.0,0.0007777777777777751,0.002036700308869255,0.007888888888888907,0.010499265112436902,0.0057187152144256796,0.0,0.04515118635904963
Sp2s1a2nf0,0.0,0.0007777777777777751,0.002036700308869255,0.006868248649122493,0.010017885240476561,0.0044735160309327445,0.04515118635904963,0.0

SU9s2A2F16nf0,SU2nf4,SU9s2A2F16nf0,SU10s2A2F16nf1,SU5s1a1A2F8nf1,SU4a3A3nf1,SU5s1a1A2F8nf0,Sp2s2a1nf1,Sp2s1a2nf0
SU2nf4,0.0,0.0,0.00920346150661279,0.004745368112013908,0.010914369280454257,0.0031914236925211156,0.0007777777777777751,0.0007777777777777751
SU9s2A2F16nf0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SU10s2A2F16nf1,0.00920346150661279,0.0,0.0,0.010482201257840655,0.012380789579719218,0.00807679193128276,0.009213516640723483,0.009213516640723483
SU5s1a1A2F8nf1,0.004745368112013908,0.0,0.010482201257840655,0.0,0.009114498015473706,0.008468532894351644,0.007993824777157765,0.0067412494720522345
SU4a3A3nf1,0.010914369280454257,0.0,0.012380789579719218,0.009114498015473706,0.0,0.010911541064169708,0.009493337494797265,0.01024393828588099
SU5s1a1A2F8nf0,0.0031914236925211156,0.0,0.00807679193128276,0.008468532894351644,0.010911541064169708,0.0,0.005385164807134507,0.0045051410961585
Sp2s2a1nf1,0.0007777777777777751,0.0,0.009213516640723483,0.007993824777157765,0.009493337494797265,0.005385164807134507,0.0,0.025990501588840233
Sp2s1a2nf0,0.0007777777777777751,0.0,0.009213516640723483,0.0067412494720522345,0.01024393828588099,0.0045051410961585,0.025990501588840233,0.0

SU10s2A2F16nf1,SU2nf4,SU9s2A2F16nf0,SU10s2A2F16nf1,SU5s1a1A2F8nf1,SU4a3A3nf1,SU5s1a1A2F8nf0,Sp2s2a1nf1,Sp2s1a2nf0
SU2nf4,0.0,0.00920346150661279,0.0,0.003720148676174033,0.010671873729054749,0.004873713822102514,0.002036700308869255,0.002036700308869255
SU9s2A2F16nf0,0.00920346150661279,0.0,0.0,0.010482201257840655,0.012380789579719218,0.00807679193128276,0.009213516640723483,0.009213516640723483
SU10s2A2F16nf1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SU5s1a1A2F8nf1,0.003720148676174033,0.010482201257840655,0.0,0.0,0.008982836858403443,0.009138171197756471,0.007581654270769783,0.007303812635353252
SU4a3A3nf1,0.010671873729054749,0.012380789579719218,0.0,0.008982836858403443,0.0,0.01039705561359074,0.0094548961775577,0.009469900334516682
SU5s1a1A2F8nf0,0.004873713822102514,0.00807679193128276,0.0,0.009138171197756471,0.01039705561359074,0.0,0.006593112755176367,0.005121969142940495
Sp2s2a1nf1,0.002036700308869255,0.009213516640723483,0.0,0.007581654270769783,0.0094548961775577,0.006593112755176367,0.0,0.02528943565118754
Sp2s1a2nf0,0.002036700308869255,0.009213516640723483,0.0,0.007303812635353252,0.009469900334516682,0.005121969142940495,0.02528943565118754,0.0

SU5s1a1A2F8nf1,SU2nf4,SU9s2A2F16nf0,SU10s2A2F16nf1,SU5s1a1A2F8nf1,SU4a3A3nf1,SU5s1a1A2F8nf0,Sp2s2a1nf1,Sp2s1a2nf0
SU2nf4,0.0,0.004745368112013908,0.003720148676174033,0.0,0.01006153904237491,0.009262295798385518,0.007888888888888907,0.006868248649122493
SU9s2A2F16nf0,0.004745368112013908,0.0,0.010482201257840655,0.0,0.009114498015473706,0.008468532894351644,0.007993824777157765,0.0067412494720522345
SU10s2A2F16nf1,0.003720148676174033,0.010482201257840655,0.0,0.0,0.008982836858403443,0.009138171197756471,0.007581654270769783,0.007303812635353252
SU5s1a1A2F8nf1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SU4a3A3nf1,0.01006153904237491,0.009114498015473706,0.008982836858403443,0.0,0.0,0.01418092963920556,0.010627822791331752,0.009968468807714168
SU5s1a1A2F8nf0,0.009262295798385518,0.008468532894351644,0.009138171197756471,0.0,0.01418092963920556,0.0,0.008502722875426211,0.008974586891692731
Sp2s2a1nf1,0.007888888888888907,0.007993824777157765,0.007581654270769783,0.0,0.010627822791331752,0.008502722875426211,0.0,0.025844024072247607
Sp2s1a2nf0,0.006868248649122493,0.0067412494720522345,0.007303812635353252,0.0,0.009968468807714168,0.008974586891692731,0.025844024072247607,0.0

SU4a3A3nf1,SU2nf4,SU9s2A2F16nf0,SU10s2A2F16nf1,SU5s1a1A2F8nf1,SU4a3A3nf1,SU5s1a1A2F8nf0,Sp2s2a1nf1,Sp2s1a2nf0
SU2nf4,0.0,0.010914369280454257,0.010671873729054749,0.01006153904237491,0.0,0.011223872265932792,0.010499265112436902,0.010017885240476561
SU9s2A2F16nf0,0.010914369280454257,0.0,0.012380789579719218,0.009114498015473706,0.0,0.010911541064169708,0.009493337494797265,0.01024393828588099
SU10s2A2F16nf1,0.010671873729054749,0.012380789579719218,0.0,0.008982836858403443,0.0,0.01039705561359074,0.0094548961775577,0.009469900334516682
SU5s1a1A2F8nf1,0.01006153904237491,0.009114498015473706,0.008982836858403443,0.0,0.0,0.01418092963920556,0.010627822791331752,0.009968468807714168
SU4a3A3nf1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
