Theories,SU2nf4,SU2adj1nf2,SU6s1a1A2F8nf1,SU6adj1s1A1F8nf1,SU3adj1nf2,SU3adj1nf3,SU5s1a1A2F8nf0,SU3nf6,SU5s1a1A2F8nf1,SU6s2S2nf1,SU10s2A2F16nf1,SU8s1S2a1f8nf1,Sp2adj1a2nf4,SU5adj1s1A1F8nf0,SU9s2A2F16nf0,SO5adj1nf2,SU7a2A2nf1,SU3adj1nf4,Sp2s1a2nf0,Sp2adj1nf1,SU5adj1nf2,SU5s1S1a1A1nf1,SU4adj2a1A1nf1,Sp2s2a1nf1,SU5adj1nf4,Sp2s1a1nf2,Sp2s1a2nf1,SU3nf5,SU5adj1a2A2nf1,SU2nf5,Sp3a3nf1,SU4a3A3nf1
SU2nf4,0.0,0.9998333333333334,0.9965,0.9968333333333333,0.9995,0.9756666666666668,0.9990000000000001,0.8791666666666668,0.9995,1.0,0.9995,0.9993333333333334,0.995,0.9765,1.0,0.9998333333333334,0.9511666666666666,0.9995,0.9995,1.0,0.9995,0.9901666666666666,0.9993333333333334,0.9971666666666666,0.9996666666666667,0.9953333333333334,0.9703333333333335,0.9966666666666667,0.9998333333333334,0.9923333333333333,0.9995,0.9993333333333334
SU2adj1nf2,0.9998333333333334,0.0,0.9593333333333333,0.8833333333333334,0.6211666666666666,0.8316666666666667,0.9913333333333333,0.9350000000000002,0.9753333333333335,0.6878333333333333,0.9995,0.7943333333333332,0.8981666666666667,0.9458333333333332,1.0,0.5383333333333333,0.8894999999999998,0.9063333333333334,0.9968333333333333,0.5700000000000001,0.5994999999999999,0.8581666666666666,0.7953333333333332,0.9958333333333332,0.8433333333333334,0.7988333333333333,0.9971666666666666,0.9125,0.9244999999999999,0.9176666666666666,0.7566666666666667,0.9018333333333333
SU6s1a1A2F8nf1,0.9965,0.9593333333333333,0.0,0.7776666666666665,0.9018333333333333,0.8626666666666667,0.8881666666666667,0.866,0.905,0.9229999999999998,0.9995,0.7293333333333334,0.789,0.7818333333333334,1.0,0.9521666666666665,0.8975,0.7889999999999999,1.0,0.978,0.9231666666666665,0.8486666666666666,0.6564999999999999,1.0,0.8813333333333334,0.8858333333333335,0.9998333333333334,0.8871666666666667,0.7093333333333334,0.9333333333333335,0.9031666666666668,0.9083333333333335
SU6adj1s1A1F8nf1,0.9968333333333333,0.8833333333333334,0.7776666666666665,0.0,0.805,0.8016666666666665,0.8028333333333332,0.8006666666666665,0.6891666666666667,0.7098333333333335,0.9339999999999997,0.5611666666666667,0.7158333333333334,0.7105000000000001,0.9986666666666667,0.8791666666666668,0.8958333333333333,0.802,0.9998333333333334,0.9338333333333333,0.8053333333333333,0.7676666666666666,0.6318333333333335,0.9996666666666667,0.8018333333333334,0.7993333333333332,0.9998333333333334,0.8048333333333332,0.8018333333333332,0.9303333333333331,0.8029999999999998,0.7963333333333332
SU3adj1nf2,0.9995,0.6211666666666666,0.9018333333333333,0.805,0.0,0.6546666666666667,0.9788333333333332,0.76,0.9633333333333334,0.5793333333333333,0.9995,0.7293333333333333,0.7530000000000001,0.8061666666666667,1.0,0.6046666666666666,0.8889999999999999,0.7468333333333333,0.9901666666666666,0.6864999999999999,0.5773333333333333,0.7023333333333334,0.6579999999999999,0.9954999999999999,0.5901666666666666,0.6481666666666667,0.9943333333333334,0.6818333333333332,0.7613333333333333,0.9088333333333334,0.5976666666666667,0.8035
SU3adj1nf3,0.9756666666666668,0.8316666666666667,0.8626666666666667,0.8016666666666665,0.6546666666666667,0.0,0.964,0.6051666666666666,0.9561666666666667,0.7591666666666665,0.9991666666666668,0.7313333333333333,0.6093333333333334,0.7121666666666667,0.9991666666666668,0.8753333333333332,0.8893333333333332,0.6106666666666666,0.9964999999999999,0.8961666666666666,0.7776666666666665,0.6003333333333333,0.6803333333333335,0.9966666666666666,0.5726666666666667,0.5598333333333333,0.996,0.5688333333333333,0.6478333333333333,0.8975,0.5778333333333333,0.8350000000000002
SU5s1a1A2F8nf0,0.9990000000000001,0.9913333333333333,0.8881666666666667,0.8028333333333332,0.9788333333333332,0.964,0.0,0.9490000000000001,0.9465,0.9766666666666667,0.9991666666666668,0.7681666666666667,0.9420000000000001,0.8618333333333332,1.0,0.9928333333333333,0.8968333333333333,0.9238333333333334,0.9998333333333334,0.9943333333333334,0.9863333333333333,0.8910000000000001,0.8643333333333332,0.9998333333333334,0.9823333333333334,0.9803333333333335,1.0,0.9743333333333334,0.7423333333333332,0.9425,0.9836666666666666,0.9645
SU3nf6,0.8791666666666668,0.9350000000000002,0.866,0.8006666666666665,0.76,0.6051666666666666,0.9490000000000001,0.0,0.9485000000000002,0.8208333333333334,0.9856666666666666,0.733,0.5456666666666667,0.6266666666666667,0.8953333333333333,0.9455000000000001,0.89,0.6189999999999999,0.9998333333333334,0.9685000000000001,0.9213333333333332,0.5906666666666667,0.7096666666666667,0.9978333333333333,0.6868333333333334,0.5565,0.9986666666666667,0.7073333333333334,0.6685,0.9308333333333334,0.8245,0.915
SU5s1a1A2F8nf1,0.9995,0.9753333333333335,0.905,0.6891666666666667,0.9633333333333334,0.9561666666666667,0.9465,0.9485000000000002,0.0,0.9451666666666667,0.9995,0.7234999999999999,0.8731666666666668,0.8895000000000001,0.9998333333333334,0.9733333333333334,0.8978333333333332,0.9565,0.9995,0.9823333333333334,0.9656666666666668,0.9381666666666666,0.7836666666666667,0.9995,0.9640000000000001,0.9615,0.9996666666666667,0.9633333333333334,0.9466666666666669,0.9546666666666667,0.9646666666666668,0.9643333333333334
SU6s2S2nf1,1.0,0.6878333333333333,0.9229999999999998,0.7098333333333335,0.5793333333333333,0.7591666666666665,0.9766666666666667,0.8208333333333334,0.9451666666666667,0.0,0.9483333333333333,0.6445000000000001,0.7658333333333333,0.7866666666666667,0.9828333333333334,0.7245000000000001,0.8903333333333333,0.8808333333333332,0.9951666666666668,0.737,0.6963333333333334,0.7959999999999999,0.5705,0.997,0.6796666666666666,0.7346666666666666,0.9956666666666668,0.8396666666666667,0.8749999999999999,0.9323333333333333,0.6971666666666665,0.879
SU10s2A2F16nf1,0.9995,0.9995,0.9995,0.9339999999999997,0.9995,0.9991666666666668,0.9991666666666668,0.9856666666666666,0.9995,0.9483333333333333,0.0,0.7788333333333334,0.9886666666666667,0.9399999999999998,0.9516666666666667,0.9995,0.9081666666666667,0.9995,0.9993333333333334,0.9995,0.9995,0.9781666666666667,0.9940000000000001,0.9981666666666668,0.9995,0.9981666666666668,0.9983333333333334,0.9995,0.9998333333333334,0.9985,0.9995,0.9995
SU8s1S2a1f8nf1,0.9993333333333334,0.7943333333333332,0.7293333333333334,0.5611666666666667,0.7293333333333333,0.7313333333333333,0.7681666666666667,0.733,0.7234999999999999,0.6445000000000001,0.7788333333333334,0.0,0.6655,0.6655,0.8631666666666667,0.7886666666666666,0.8865,0.7278333333333333,0.9998333333333334,0.7926666666666666,0.7573333333333333,0.7028333333333333,0.5866666666666667,0.9951666666666666,0.7263333333333333,0.7273333333333332,0.9981666666666668,0.7673333333333333,0.7318333333333333,0.7855000000000001,0.7476666666666667,0.7488333333333334
Sp2adj1a2nf4,0.995,0.8981666666666667,0.789,0.7158333333333334,0.7530000000000001,0.6093333333333334,0.9420000000000001,0.5456666666666667,0.8731666666666668,0.7658333333333333,0.9886666666666667,0.6655,0.0,0.6306666666666667,0.9988333333333334,0.9225,0.8885,0.6311666666666667,0.9983333333333334,0.9378333333333333,0.8550000000000001,0.5931666666666666,0.6238333333333334,0.995,0.644,0.5838333333333334,0.9971666666666666,0.6519999999999999,0.6625,0.9063333333333334,0.6930000000000001,0.7979999999999999
SU5adj1s1A1F8nf0,0.9765,0.9458333333333332,0.7818333333333334,0.7105000000000001,0.8061666666666667,0.7121666666666667,0.8618333333333332,0.6266666666666667,0.8895000000000001,0.7866666666666667,0.9399999999999998,0.6655,0.6306666666666667,0.0,0.9478333333333332,0.9493333333333334,0.8956666666666666,0.6653333333333334,0.9996666666666667,0.9608333333333334,0.9054999999999999,0.703,0.5633333333333334,0.9991666666666668,0.6891666666666667,0.7023333333333334,0.9988333333333334,0.6496666666666667,0.6861666666666667,0.8908333333333333,0.7378333333333333,0.8141666666666667
SU9s2A2F16nf0,1.0,1.0,1.0,0.9986666666666667,1.0,0.9991666666666668,1.0,0.8953333333333333,0.9998333333333334,0.9828333333333334,0.9516666666666667,0.8631666666666667,0.9988333333333334,0.9478333333333332,0.0,1.0,0.9111666666666666,1.0,1.0,1.0,1.0,0.9956666666666668,0.9993333333333334,1.0,1.0,1.0,1.0,1.0,1.0,0.9985,1.0,1.0
SO5adj1nf2,0.9998333333333334,0.5383333333333333,0.9521666666666665,0.8791666666666668,0.6046666666666666,0.8753333333333332,0.9928333333333333,0.9455000000000001,0.9733333333333334,0.7245000000000001,0.9995,0.7886666666666666,0.9225,0.9493333333333334,1.0,0.0,0.8913333333333333,0.9131666666666667,0.9893333333333335,0.5898333333333334,0.6001666666666667,0.8628333333333333,0.8026666666666668,0.9953333333333333,0.8678333333333333,0.8426666666666668,0.9968333333333333,0.8979999999999998,0.919,0.9119999999999999,0.7621666666666667,0.8926666666666668
