Theories,SU2nf4,SU2adj1nf2,SU6s1a1A2F8nf1,SU6adj1s1A1F8nf1,SU3adj1nf2,SU3adj1nf3,SU5s1a1A2F8nf0,SU3nf6,SU5s1a1A2F8nf1,SU6s2S2nf1,SU10s2A2F16nf1,SU8s1S2a1f8nf1,Sp2adj1a2nf4,SU5adj1s1A1F8nf0,SU9s2A2F16nf0,SO5adj1nf2,SU7a2A2nf1,SU3adj1nf4,Sp2s1a2nf0,Sp2adj1nf1,SU5adj1nf2,SU5s1S1a1A1nf1,SU4adj2a1A1nf1,Sp2s2a1nf1,SU5adj1nf4,Sp2s1a1nf2,Sp2s1a2nf1,SU3nf5,SU5adj1a2A2nf1,SU2nf5,Sp3a3nf1,SU4a3A3nf1
SU2nf4,0.0,0.0011666666666666626,0.004740487551109293,0.007617596588017625,0.001979057014506312,0.01906421895710507,0.003179797338056485,0.029309175658448303,0.0035000000000000027,0.0,0.001979057014506312,0.002260776661041748,0.011180339887498955,0.024982771841588935,0.0,0.0011666666666666626,0.04163365358830655,0.001979057014506312,0.001979057014506312,0.0,0.001979057014506312,0.008770214744615257,0.002260776661041748,0.004597704741377905,0.0016329931618554463,0.01345362404707371,0.017172329163188338,0.004409585518440976,0.0011666666666666626,0.007965202096899023,0.001979057014506312,0.002260776661041748
SU2adj1nf2,0.0011666666666666626,0.0,0.025961509971494337,0.07023769168568492,0.055782563982345275,0.044253060157839176,0.008326663997864544,0.06489307444643928,0.01699346279537451,0.07184493332479643,0.001979057014506312,0.09900112232809395,0.05218263866246875,0.02292802748699601,0.0,0.032659863237109045,0.02792897738510628,0.026747793263079557,0.006211548384528073,0.049159604012508754,0.04894469668241221,0.055489989087121744,0.05231209760232861,0.006066758241067103,0.05088112507491249,0.0529152886959693,0.004890466917040405,0.05210166344113529,0.027508079621166658,0.022951639980136003,0.049046463231873866,0.035288099977187785
SU6s1a1A2F8nf1,0.004740487551109293,0.025961509971494337,0.0,0.06174409553417504,0.02935841730520681,0.03797806384392619,0.04041761167280092,0.06476109943476871,0.031446603773522014,0.03071192312803322,0.001979057014506312,0.037904851639041906,0.042145251478929655,0.06939600532851697,0.0,0.021135147135623266,0.024678488158268078,0.04198015404132449,0.0,0.01839081896551163,0.019599461443848113,0.038418745424597105,0.07358460738798873,0.0,0.030575952787916343,0.037537018765184026,0.0011666666666666624,0.03101119869409186,0.043895076919602025,0.023511226632776466,0.024203420327622207,0.02415229457698239
SU6adj1s1A1F8nf1,0.007617596588017625,0.07023769168568492,0.06174409553417504,0.0,0.040551750201988125,0.03126943839882287,0.03151763174972241,0.03978553617696874,0.09116910417216764,0.044337405827986315,0.032567877834864624,0.03672760088362248,0.041474557127097675,0.053067305272539424,0.0045215533220835154,0.06712860791048775,0.026100766272276376,0.03285320887422313,0.0011666666666666624,0.05581243389942583,0.030856297754447315,0.03691732505056249,0.04686535085872196,0.001632993161855446,0.0329262644235402,0.032738017315924586,0.0011666666666666624,0.033668729309751705,0.03271467560591118,0.03608477672247828,0.03323986896618109,0.035125172992851963
SU3adj1nf2,0.001979057014506312,0.055782563982345275,0.02935841730520681,0.040551750201988125,0.0,0.06549300217071541,0.021551617624257856,0.12743189902410185,0.020207259421636894,0.046225293701368485,0.001979057014506312,0.027999999999999997,0.09579723957980789,0.08642289434326222,0.0,0.050253800298529105,0.02694851057521032,0.07035406487506209,0.009956851354162577,0.06829043368827975,0.051989315141564324,0.06722763981842257,0.06489221833163049,0.006710274046399129,0.06308481944528688,0.07010488174474332,0.0067577116442377756,0.11024833080117107,0.10655932098549094,0.02755852358567531,0.051262938746124274,0.07098689237379595
SU3adj1nf3,0.01906421895710507,0.044253060157839176,0.03797806384392619,0.03126943839882287,0.06549300217071541,0.0,0.0226960593740656,0.0694000080051228,0.022410934831014966,0.09191254901626146,0.002499999999999991,0.025849994627121727,0.0430322876196209,0.06774564356637422,0.004787135538781688,0.036475257976393324,0.02764054992217052,0.06320249643452033,0.0052941267247562,0.03232688939223472,0.05119244735961221,0.058045958802773974,0.059272440663618885,0.005773502691896261,0.049442446900973214,0.040848296578111225,0.005333333333333336,0.04496325660408111,0.05941403687494882,0.026887109674836127,0.04987790648729711,0.035823642100341134
SU5s1a1A2F8nf0,0.003179797338056485,0.008326663997864544,0.04041761167280092,0.03151763174972241,0.021551617624257856,0.0226960593740656,0.0,0.07423012266668505,0.02028203912606203,0.01683250823060346,0.002499999999999991,0.05646262283827928,0.05096185937650932,0.06906297448303574,0.0,0.007455423082115026,0.025104780421266383,0.045886635672419185,0.0011666666666666626,0.006333333333333341,0.010105004260816088,0.036660605559646724,0.09729736778442559,0.0011666666666666626,0.009225568335398702,0.011990737165736641,0.0,0.015169413670643669,0.09780706632049764,0.026312755673078222,0.011661903789690608,0.022035955466766875
SU3nf6,0.029309175658448303,0.06489307444643928,0.06476109943476871,0.03978553617696874,0.12743189902410185,0.0694000080051228,0.07423012266668505,0.0,0.04446253104206582,0.15058450931103254,0.04576631463812174,0.03904982572161993,0.03625680012846632,0.08820745748266161,0.051912319240127285,0.07093052156081252,0.02682246156571847,0.0786878502551555,0.0011666666666666624,0.04410498838000073,0.07520638270785265,0.05471237926141071,0.10035160409502403,0.004349329450233296,0.10447075614203666,0.04787976840192757,0.0030550504633038824,0.10714268783055406,0.08651091774388299,0.02490258799580655,0.10947361427404423,0.09473647660748206
SU5s1a1A2F8nf1,0.0035000000000000027,0.01699346279537451,0.031446603773522014,0.09116910417216764,0.020207259421636894,0.022410934831014966,0.02028203912606203,0.04446253104206582,0.0,0.033295395076997254,0.001979057014506312,0.04277492775498803,0.030518209500413222,0.029145706754550027,0.0011666666666666626,0.01787300882460601,0.02419882917277886,0.01773962920820061,0.001979057014506312,0.014685593847940465,0.019267128022157895,0.02566287850833053,0.0415986110879251,0.001979057014506312,0.018592113023179115,0.021140403654298246,0.0016329931618554463,0.019364916731037077,0.019790570145063194,0.028144468570415585,0.019689252567496474,0.02088593359709405
SU6s2S2nf1,0.0,0.07184493332479643,0.03071192312803322,0.044337405827986315,0.046225293701368485,0.09191254901626146,0.01683250823060346,0.15058450931103254,0.033295395076997254,0.0,0.029344694769431676,0.03619430587506518,0.08578477590911908,0.10581692786233317,0.024967200706348943,0.09056013962494144,0.03015515434106305,0.07032168149929927,0.0066853903733772035,0.08591274643497321,0.09407680077704834,0.08877624807470871,0.045680350747826406,0.0052068331172711,0.10259358871023298,0.10150752571990797,0.005830951894845302,0.09541663027655783,0.0523874454850057,0.024360715187457947,0.08760089421156993,0.051860925132083346
