Theories,SU2nf4,SU2adj1nf2,SU6s1a1A2F8nf1,SU6adj1s1A1F8nf1,SU3adj1nf2,SU5s1a1A2F8nf0,SU3adj1nf3,SU3nf6,SU5s1a1A2F8nf1,SU6s2S2nf1,SU10s2A2F16nf1,SU8s1S2a1f8nf1,Sp2adj1a2nf4,SU5adj1s1A1F8nf0,SU9s2A2F16nf0,SO5adj1nf2,SU7a2A2nf1,SU3adj1nf4,Sp2s1a2nf0,Sp2adj1nf1,SU5adj1nf2,SU5s1S1a1A1nf1,SU4adj2a1A1nf1,Sp2s2a1nf1,SU5adj1nf4,Sp2s1a1nf2,Sp2s1a2nf1,Sp2nf5
SU2nf4,0.0,0.0011666666666666624,0.2135220519446801,0.19227158165238853,0.0011666666666666624,0.007320063751999259,0.0011666666666666624,0.029178092999905113,0.007608474807008901,0.0011666666666666624,0.002891558595482902,0.030197957988358528,0.0776180105101616,0.1689016808021098,0.0011666666666666624,0.0011666666666666624,0.002499999999999991,0.013541089731299739,0.0011666666666666624,0.0011666666666666624,0.0011666666666666624,0.0011666666666666624,0.0011666666666666624,0.0011666666666666624,0.2189581390738117,0.0011666666666666624,0.0011666666666666624,0.029424574008055853
SU2adj1nf2,0.0011666666666666624,0.0,0.11791663722025546,0.022927421718690184,0.01990323815083588,0.23968318209206457,0.04716990566028302,0.11149850522166953,0.12694716748842147,0.008273115763993916,0.14750000000000005,0.03758545818087982,0.11244751862288667,0.1060089094788211,0.002499999999999991,0.13065050920511392,0.10429512079777378,0.031216537639882837,0.1620034293189842,0.0809293244476658,0.1371460089750255,0.011629703349613017,0.09288119651827634,0.16649357678634666,0.0618681393502881,0.05180653111979866,0.16573313555901314,0.029159046623646667
SU6s1a1A2F8nf1,0.2135220519446801,0.11791663722025546,0.0,0.018257418583505533,0.11687184339171593,0.035865876695141734,0.10728065477470246,0.054594464513863995,0.02746917464278014,0.09928130628561341,0.08328014969567078,0.03580968211717794,0.08989561848178267,0.03881723557619447,0.03924318766076192,0.11673997696685666,0.08501650166617981,0.041940765107205395,0.11717460855018416,0.11723539946999323,0.10935175149742941,0.11293754419540426,0.1135385397122933,0.11717460855018416,0.011809835825371253,0.11001022679733008,0.11717460855018416,0.028855964143772197
SU6adj1s1A1F8nf1,0.19227158165238853,0.022927421718690184,0.018257418583505533,0.0,0.023638480868655193,0.021758778560490112,0.023228335186912454,0.07236097782030804,0.023295206946208194,0.02331010748819299,0.02372820637506715,0.043014532428006236,0.09540789624903522,0.028039654459750783,0.02324746103221692,0.02381409479932233,0.023288647687470194,0.02305127135563483,0.02326716809392821,0.02326716809392821,0.023638480868655193,0.02331010748819299,0.02386827275787765,0.02325940669922601,0.021822516404443878,0.023228335186912454,0.02326716809392821,0.02927076660727863
SU3adj1nf2,0.0011666666666666624,0.01990323815083588,0.11687184339171593,0.023638480868655193,0.0,0.23573178025506494,0.02272785857830772,0.11149850522166953,0.1364021831040675,0.06593683846429602,0.11676436385587285,0.037925731517152186,0.11244751862288667,0.10522515542080864,0.0,0.020581140234042745,0.02270646016739143,0.031057741922640374,0.14437614838408114,0.055072931443475734,0.12473349367529335,0.057773744517345904,0.1056593057373031,0.16432217676801197,0.0618681393502881,0.047386120799707214,0.16309540493561156,0.029257477676655586
SU5s1a1A2F8nf0,0.007320063751999259,0.23968318209206457,0.035865876695141734,0.021758778560490112,0.23573178025506494,0.0,0.15460307600792136,0.07709734106958553,0.15259641760757905,0.19762478477042184,0.18760189823725726,0.03667764987018661,0.11023409434270123,0.09685556256612213,0.215814027450591,0.2401689798639468,0.06542255812111836,0.09897025366801437,0.23084632935738392,0.23367647387883195,0.18249231338454902,0.2170497254855056,0.2217333233112846,0.23053078849568975,0.011667857082124757,0.20512760256321752,0.23053078849568975,0.028963578661637946
SU3adj1nf3,0.0011666666666666624,0.04716990566028302,0.10728065477470246,0.023228335186912454,0.02272785857830772,0.15460307600792136,0.0,0.10060870295909351,0.1650105215500582,0.19786365956834465,0.11676436385587285,0.0371591920735039,0.1116493767709132,0.10371019986267288,0.0,0.06067124524847005,0.10236861498200185,0.03373754914367999,0.15634799149475648,0.08271705453599706,0.01926712802215789,0.16993266640381746,0.03375771516754848,0.16916633825912294,0.011860297916438129,0.021960191255997755,0.16930413134028624,0.028963578661637946
SU3nf6,0.029178092999905113,0.11149850522166953,0.054594464513863995,0.07236097782030804,0.11149850522166953,0.07709734106958553,0.10060870295909351,0.0,0.07414025747040387,0.11156711980786374,0.07406153597591067,0.038536058150487815,0.05060742150229659,0.056136985233543775,0.0571022474747419,0.11156711980786374,0.08963273831462351,0.057153788636936015,0.12003946110434777,0.11156711980786374,0.10067121954384203,0.11156711980786374,0.11156711980786374,0.11156711980786374,0.050119024997167166,0.10067121954384203,0.12003946110434777,0.029812376251781375
SU5s1a1A2F8nf1,0.007608474807008901,0.12694716748842147,0.02746917464278014,0.023295206946208194,0.1364021831040675,0.15259641760757905,0.1650105215500582,0.07414025747040387,0.0,0.15486024165176948,0.232153026639279,0.036210802562525755,0.09755112619658589,0.08301957600469904,0.2114973732434729,0.12871426149075754,0.13546176172222507,0.13845536785870344,0.11227446528732858,0.11277324840384599,0.1681266057337611,0.13468327042856262,0.16287597531045925,0.09427265421814181,0.016401219466856715,0.16806281894312944,0.11204711310674431,0.028963578661637946
SU6s2S2nf1,0.0011666666666666624,0.008273115763993916,0.09928130628561341,0.02331010748819299,0.06593683846429602,0.19762478477042184,0.19786365956834465,0.11156711980786374,0.15486024165176948,0.0,0.11676436385587285,0.03774034092762456,0.11244751862288667,0.10758769033263568,0.0,0.016183839676253177,0.021922210959055506,0.03139178944317199,0.013405015645065266,0.012023125864580944,0.17943034860357376,0.0452490024444984,0.07153786875960637,0.022886191858362492,0.0618681393502881,0.11823939933691967,0.019790570145063194,0.029257477676655586
