Theories,SU2nf4,SU2adj1nf2,SU6s1a1A2F8nf1,SU6adj1s1A1F8nf1,SU3adj1nf2,SU5s1a1A2F8nf0,SU3adj1nf3,SU3nf6,SU5s1a1A2F8nf1,SU6s2S2nf1,SU10s2A2F16nf1,SU8s1S2a1f8nf1,Sp2adj1a2nf4,SU5adj1s1A1F8nf0,SU9s2A2F16nf0,SO5adj1nf2,SU7a2A2nf1,SU3adj1nf4,Sp2s1a2nf0,Sp2adj1nf1,SU5adj1nf2,SU5s1S1a1A1nf1,SU4adj2a1A1nf1,Sp2s2a1nf1,SU5adj1nf4,Sp2s1a1nf2,Sp2s1a2nf1,Sp2nf5
SU2nf4,0.0,0.9996666666666667,0.9768333333333333,0.946,0.9998333333333334,0.9928333333333335,0.9998333333333334,0.9841666666666665,0.9895,0.9998333333333334,0.9996666666666667,0.7716666666666667,0.7398333333333333,0.9331666666666668,0.9998333333333334,0.9998333333333334,0.9980000000000001,0.9978333333333335,0.9998333333333334,0.9998333333333334,0.9998333333333334,0.9998333333333334,0.9998333333333334,0.9998333333333334,0.9645,0.9998333333333334,0.9998333333333334,1.0
SU2adj1nf2,0.9996666666666667,0.0,0.9963333333333334,0.9858333333333333,0.7553333333333333,0.9971666666666666,0.887,0.9973333333333333,0.9991666666666668,0.9963333333333334,0.9998333333333334,0.9784999999999999,0.9338333333333333,0.9473333333333335,0.9998333333333334,0.9268333333333334,0.9930000000000001,0.9693333333333334,0.9806666666666666,0.8421666666666667,0.8778333333333334,0.991,0.9843333333333333,0.9864999999999999,0.9915,0.9101666666666667,0.9895,1.0
SU6s1a1A2F8nf1,0.9768333333333333,0.9963333333333334,0.0,0.7881666666666667,0.9966666666666666,0.9,0.9930000000000001,0.9736666666666666,0.8178333333333333,0.9958333333333332,0.9873333333333334,0.6615000000000001,0.8541666666666665,0.6995,0.9826666666666668,0.9976666666666668,0.8911666666666666,0.8403333333333333,0.9988333333333334,0.9981666666666666,0.9950000000000001,0.9978333333333335,0.995,0.9985,0.8678333333333333,0.9945,0.9988333333333334,0.9881666666666667
SU6adj1s1A1F8nf1,0.946,0.9858333333333333,0.7881666666666667,0.0,0.9814999999999999,0.8856666666666668,0.9463333333333332,0.9368333333333332,0.6128333333333333,0.9635000000000001,0.9505,0.6263333333333333,0.8224999999999999,0.7248333333333332,0.9734999999999999,0.9876666666666667,0.885,0.8228333333333334,0.992,0.9888333333333335,0.9686666666666666,0.9804999999999999,0.975,0.9928333333333333,0.8338333333333335,0.9508333333333333,0.9938333333333333,0.9634999999999999
SU3adj1nf2,0.9998333333333334,0.7553333333333333,0.9966666666666666,0.9814999999999999,0.0,0.9978333333333335,0.7826666666666666,0.9966666666666667,0.9993333333333334,0.986,1.0,0.971,0.9405,0.9335,1.0,0.6021666666666667,0.9599999999999999,0.9591666666666667,0.9510000000000001,0.7398333333333333,0.759,0.9691666666666667,0.8748333333333332,0.9636666666666666,0.991,0.7401666666666665,0.9584999999999999,1.0
SU5s1a1A2F8nf0,0.9928333333333335,0.9971666666666666,0.9,0.8856666666666668,0.9978333333333335,0.0,0.9701666666666666,0.992,0.9155,0.9981666666666668,0.9975,0.8305,0.9153333333333332,0.8403333333333333,0.9986666666666667,0.9990000000000001,0.8925,0.797,1.0,0.9996666666666667,0.9883333333333334,0.9988333333333334,0.9928333333333333,1.0,0.9536666666666668,0.9906666666666668,0.9995,0.9993333333333334
SU3adj1nf3,0.9998333333333334,0.887,0.9930000000000001,0.9463333333333332,0.7826666666666666,0.9701666666666666,0.0,0.9956666666666666,0.9805000000000001,0.9906666666666668,0.9998333333333334,0.9079999999999999,0.9264999999999999,0.8898333333333334,1.0,0.8733333333333333,0.8903333333333333,0.8515,0.9738333333333334,0.9178333333333333,0.5358333333333333,0.9856666666666666,0.8089999999999997,0.9793333333333334,0.9826666666666668,0.5478333333333333,0.9810000000000001,1.0
SU3nf6,0.9841666666666665,0.9973333333333333,0.9736666666666666,0.9368333333333332,0.9966666666666667,0.992,0.9956666666666666,0.0,0.9915,0.9978333333333333,0.9965,0.8011666666666667,0.5750000000000001,0.9721666666666667,0.997,0.9978333333333333,0.9948333333333332,0.9925,0.9978333333333333,0.9975,0.9956666666666666,0.9980000000000001,0.9968333333333333,0.9980000000000001,0.9581666666666666,0.9961666666666668,0.9980000000000001,0.835
SU5s1a1A2F8nf1,0.9895,0.9991666666666668,0.8178333333333333,0.6128333333333333,0.9993333333333334,0.9155,0.9805000000000001,0.9915,0.0,0.9985,0.9993333333333334,0.6281666666666667,0.8775,0.7869999999999999,1.0,0.9996666666666667,0.9061666666666666,0.9105000000000001,0.9998333333333334,0.9998333333333334,0.9973333333333333,0.9993333333333334,0.9993333333333334,0.9998333333333334,0.9755000000000001,0.9985,0.9998333333333334,0.9996666666666667
SU6s2S2nf1,0.9998333333333334,0.9963333333333334,0.9958333333333332,0.9635000000000001,0.986,0.9981666666666668,0.9906666666666668,0.9978333333333333,0.9985,0.0,1.0,0.9640000000000001,0.917,0.9326666666666666,1.0,0.9898333333333333,0.8108333333333332,0.9848333333333334,0.9926666666666668,0.9863333333333333,0.9846666666666667,0.5943333333333334,0.9175,0.9811666666666667,0.9930000000000001,0.9848333333333333,0.9853333333333333,1.0
