Theories,SU2nf4,SU2adj1nf2,SU6s1a1A2F8nf1,SU6adj1s1A1F8nf1,SU3adj1nf2,SU5s1a1A2F8nf0,SU3adj1nf3,SU3nf6,SU5s1a1A2F8nf1,SU6s2S2nf1,SU10s2A2F16nf1,SU8s1S2a1f8nf1,Sp2adj1a2nf4,SU5adj1s1A1F8nf0,SU9s2A2F16nf0,SO5adj1nf2,SU7a2A2nf1,SU3adj1nf4,Sp2s1a2nf0,Sp2adj1nf1,SU5adj1nf2,SU5s1S1a1A1nf1,SU4adj2a1A1nf1,Sp2s2a1nf1,SU5adj1nf4,Sp2s1a1nf2,Sp2s1a2nf1,Sp2nf5
SU2nf4,0.0,0.0,0.010441636738451398,0.016666666666666666,0.0,0.004096068575814829,0.0,0.029011970709423462,0.008578072821638527,0.0,0.002499999999999991,0.050039151338393685,0.10173508626711719,0.012610621625351301,0.0,0.0,0.002891558595482902,0.003958114029012639,0.0,0.0,0.0,0.0,0.0,0.0,0.004714045207910318,0.0,0.0,0.02303379160180876
SU2adj1nf2,0.0,0.0,0.003480102169636847,0.051273774973177075,0.04886603000949523,0.004546060565661949,0.02676232841555872,0.040291989829796745,0.00724377127070025,0.01116666666666668,0.013082006302126943,0.05155390921700853,0.06117279714964087,0.01380821011813866,0.003452052529534651,0.025486379804820367,0.005580223014261073,0.031253444254638205,0.025292181488445087,0.03392188739507936,0.018633899812498248,0.01217465491183313,0.011509657780413034,0.01600781059358212,0.005335936864527375,0.018352262954621026,0.01565691185671328,0.00698410894658566
SU6s1a1A2F8nf1,0.010441636738451398,0.003480102169636847,0.0,0.10897362066114899,0.010302372973683726,0.054906233202109626,0.010857664983268222,0.044510922504731605,0.08760707733967615,0.03785792152538518,0.03935627861811463,0.08457820181478336,0.06847627326307996,0.0895786432880814,0.0360570535555959,0.007272474743090473,0.03785975582476875,0.01727313263745494,0.0025873624493766745,0.007916228058025285,0.011091788754649898,0.016028620235898867,0.011883695646650599,0.0060575939484620875,0.02529602515987222,0.015441646429200626,0.0044127340982912456,0.031217872373939186
SU6adj1s1A1F8nf1,0.016666666666666666,0.051273774973177075,0.10897362066114899,0.0,0.04842204502542663,0.03448026810929533,0.04424552708090013,0.05113734230264393,0.041605288125429435,0.07169844256792939,0.04807401700618652,0.061862077775214325,0.04710036565085716,0.06704082504133003,0.08463975950396416,0.04986091767217197,0.037764254115352114,0.03218695387886217,0.048443552489240274,0.04869861964733246,0.0423923473177779,0.05027176145710433,0.04642676431159558,0.048965974580995185,0.03403266404826726,0.04195533339159635,0.048362060428489693,0.048369239536438166
SU3adj1nf2,0.0,0.04886603000949523,0.010302372973683726,0.04842204502542663,0.0,0.0076829537144107365,0.04289651630506971,0.0406629096625195,0.008825468196582495,0.011638060166730727,0.015478479684172262,0.049121165386103054,0.04692665672207121,0.012293855737273356,0.0038586123009300786,0.04484572319507055,0.006601767440112798,0.03239041353377398,0.02477902338672773,0.055461698495448186,0.04119735698102758,0.017387735140993295,0.019790570145063184,0.02292257499593892,0.007418071028089297,0.03663786747797057,0.02326716809392821,0.006984108946585656
SU5s1a1A2F8nf0,0.004096068575814829,0.004546060565661949,0.054906233202109626,0.03448026810929533,0.0076829537144107365,0.0,0.0066437104759982605,0.04189139397166068,0.018214768123085666,0.07897890013583796,0.023984369910422913,0.05417153824247153,0.061749718847763,0.0875342789997153,0.0016329931618554463,0.00506622805119022,0.029533408577782246,0.01317510278264779,0.0011666666666666626,0.009429563439877102,0.009752492558885205,0.016262601951170744,0.015595583420386114,0.008491826135238013,0.014177446878757822,0.01068358034035824,0.004714045207910312,0.0067268120235368534
SU3adj1nf3,0.0,0.02676232841555872,0.010857664983268222,0.04424552708090013,0.04289651630506971,0.0066437104759982605,0.0,0.04048456495999433,0.013148721948877357,0.010780641085864165,0.015695894721586,0.05241421562896845,0.056955391901616005,0.03640054944640258,0.0032015621187164132,0.03679107681671377,0.012953978367882035,0.04897873688312784,0.023933356545949743,0.02347812220392044,0.0660649932515953,0.016478942792411036,0.030072135496724092,0.025079872407968898,0.00879393730551529,0.07888616974969553,0.02604749934681297,0.010828203913853862
SU3nf6,0.029011970709423462,0.040291989829796745,0.044510922504731605,0.05113734230264393,0.0406629096625195,0.04189139397166068,0.04048456495999433,0.0,0.04250784241368488,0.04223643766544081,0.04460599112725156,0.07535563829085533,0.073852142073801,0.03633027510064972,0.041466184348749095,0.04019431966501403,0.040800667205873546,0.030681608678671184,0.04018844499493743,0.04036087214122113,0.04062873914416302,0.040585985539619736,0.040125151436197444,0.040178767195290274,0.03915212496006939,0.040852376511858725,0.04021090233589228,0.10842867599384297
SU5s1a1A2F8nf1,0.008578072821638527,0.00724377127070025,0.08760707733967615,0.041605288125429435,0.008825468196582495,0.018214768123085666,0.013148721948877357,0.04250784241368488,0.0,0.012498888839501794,0.020816659994661316,0.050756499310159506,0.07540796450714679,0.11067018066710152,0.011456439237389609,0.012280291346525769,0.042621069385405566,0.011883695646650599,0.007617596588017636,0.009917717031207907,0.012710450643291755,0.015088627063675034,0.016657497477779257,0.01378001773906293,0.011180339887498954,0.014229273425661,0.012325447929656222,0.030368111930481
SU6s2S2nf1,0.0,0.01116666666666668,0.03785792152538518,0.07169844256792939,0.011638060166730727,0.07897890013583796,0.010780641085864165,0.04223643766544081,0.012498888839501794,0.0,0.011671427600007733,0.056124860801609125,0.08835597194178658,0.17367154503704846,0.0,0.010620995977569884,0.050091305521905584,0.012143814154631245,0.01165356407094224,0.013069259946743563,0.011382247385975913,0.05309347103615158,0.033245300419758574,0.01825741858350554,0.010060925515191057,0.014892205269125778,0.013182479955523466,0.030985659765625635
SU10s2A2F16nf1,0.002499999999999991,0.013082006302126943,0.03935627861811463,0.04807401700618652,0.015478479684172262,0.023984369910422913,0.015695894721586,0.04460599112725156,0.020816659994661316,0.011671427600007733,0.0,0.07332746188616286,0.07917561352953179,0.05464760846652953,0.030960996969305314,0.014492335138885587,0.019793377119071365,0.012775845264491206,0.012833333333333339,0.016485684025170987,0.015731249862049178,0.012225883290062205,0.016313763786719757,0.016495790708878168,0.017658016750347578,0.015954797258365766,0.014461635069690048,0.0118836956466506
SU8s1S2a1f8nf1,0.050039151338393685,0.05155390921700853,0.08457820181478336,0.061862077775214325,0.049121165386103054,0.05417153824247153,0.05241421562896845,0.07535563829085533,0.050756499310159506,0.056124860801609125,0.07332746188616286,0.0,0.05112511885343424,0.07066135986363252,0.10732207497890534,0.05059891303180336,0.07262556176872038,0.06617925992669035,0.045557046046077694,0.052551826271257644,0.04774236413640755,0.05776508941874457,0.051532082779134354,0.054980046885716234,0.03684200501239493,0.05450891874016786,0.05367184240052381,0.07020525463081646
Sp2adj1a2nf4,0.10173508626711719,0.06117279714964087,0.06847627326307996,0.04710036565085716,0.04692665672207121,0.061749718847763,0.056955391901616005,0.073852142073801,0.07540796450714679,0.08835597194178658,0.07917561352953179,0.05112511885343424,0.0,0.06048048353716171,0.10700467279516347,0.05626721958654078,0.056273390198604924,0.06976966070976379,0.06567089664887077,0.05248306605203456,0.046644339897188435,0.07399117815283417,0.0825489753621045,0.04891716354091771,0.08354705926070115,0.0569914710968034,0.04970719822677149,0.038360859682175466
SU5adj1s1A1F8nf0,0.012610621625351301,0.01380821011813866,0.0895786432880814,0.06704082504133003,0.012293855737273356,0.0875342789997153,0.03640054944640258,0.03633027510064972,0.11067018066710152,0.17367154503704846,0.05464760846652953,0.07066135986363252,0.06048048353716171,0.0,0.07344385610791415,0.017017148213885114,0.044166352200138356,0.06922688141980043,0.01311169961014463,0.017873785895053746,0.03921769725236016,0.055563027275338406,0.05205339139341024,0.01656971802884876,0.06183670251378043,0.06373229601666297,0.015885003409925148,0.039511250155985805
SU9s2A2F16nf0,0.0,0.003452052529534651,0.0360570535555959,0.08463975950396416,0.0038586123009300786,0.0016329931618554463,0.0032015621187164132,0.041466184348749095,0.011456439237389609,0.0,0.030960996969305314,0.10732207497890534,0.10700467279516347,0.07344385610791415,0.0,0.0,0.002260776661041748,0.001979057014506312,0.0,0.007498147919468001,0.0035590260840104243,0.0,0.0,0.0,0.0038333333333333284,0.0016329931618554463,0.0,0.0418874152408042
SO5adj1nf2,0.0,0.025486379804820367,0.007272474743090473,0.04986091767217197,0.04484572319507055,0.00506622805119022,0.03679107681671377,0.04019431966501403,0.012280291346525769,0.010620995977569884,0.014492335138885587,0.05059891303180336,0.05626721958654078,0.017017148213885114,0.0,0.0,0.006984108946585664,0.03304710442854427,0.014765763704521949,0.049750488551481696,0.03764785666025506,0.017074997966487593,0.017692591041952494,0.022576413453966607,0.0066164777470930705,0.040141762680668505,0.02467342249826273,0.010159833769418787
SU7a2A2nf1,0.002891558595482902,0.005580223014261073,0.03785975582476875,0.037764254115352114,0.006601767440112798,0.029533408577782246,0.012953978367882035,0.040800667205873546,0.042621069385405566,0.050091305521905584,0.019793377119071365,0.07262556176872038,0.056273390198604924,0.044166352200138356,0.002260776661041748,0.006984108946585664,0.0,0.026878843394428677,0.004409585518440976,0.009604686356149285,0.023402279091290803,0.037206630233512596,0.031889130854676276,0.009013878188659986,0.02718710887330407,0.028077768983861797,0.006808899405271843,0.015832456116050556
