Theories,SU2nf4,SU2adj1nf2,SU6s1a1A2F8nf1,SU6adj1s1A1F8nf1,SU3adj1nf2,SU5s1a1A2F8nf0,SU3adj1nf3,SU3nf6,SU5s1a1A2F8nf1,SU6s2S2nf1,SU10s2A2F16nf1,SU8s1S2a1f8nf1,Sp2adj1a2nf4,SU5adj1s1A1F8nf0,SU9s2A2F16nf0,SO5adj1nf2,SU7a2A2nf1,SU3adj1nf4,Sp2s1a2nf0,Sp2adj1nf1,SU5adj1nf2,SU5s1S1a1A1nf1,SU4adj2a1A1nf1,Sp2s2a1nf1,SU5adj1nf4,Sp2s1a1nf2,Sp2s1a2nf1,Sp2nf5
SU2nf4,0.0,1.0,0.9916666666666667,0.9348333333333335,1.0,0.9995,1.0,0.7603333333333333,0.9943333333333334,1.0,0.9990000000000001,0.8601666666666665,0.5710000000000001,0.97,1.0,1.0,0.9986666666666667,0.9990000000000001,1.0,1.0,0.9998333333333334,1.0,1.0,1.0,0.8813333333333334,0.9998333333333334,1.0,0.6211666666666666
SU2adj1nf2,1.0,0.0,0.7611666666666665,0.639,0.7105,0.9480000000000001,0.8731666666666666,0.8948333333333331,0.9778333333333334,0.9803333333333335,0.9746666666666667,0.6535,0.5893333333333333,0.6776666666666666,0.9978333333333335,0.8614999999999999,0.9820000000000002,0.7463333333333334,0.8328333333333332,0.7020000000000001,0.9610000000000001,0.983,0.9533333333333331,0.9565,0.5678333333333333,0.9296666666666665,0.9675000000000001,0.6376666666666666
SU6s1a1A2F8nf1,0.9916666666666667,0.7611666666666665,0.0,0.5235,0.7338333333333334,0.5289999999999999,0.6605,0.8816666666666666,0.5268333333333333,0.5508333333333333,0.5613333333333334,0.5731666666666667,0.5846666666666667,0.5408333333333333,0.5368333333333333,0.7164999999999999,0.5406666666666666,0.6158333333333332,0.743,0.7423333333333333,0.5948333333333333,0.5515,0.5645,0.6506666666666666,0.5306666666666666,0.6033333333333333,0.7241666666666666,0.6296666666666667
SU6adj1s1A1F8nf1,0.9348333333333335,0.639,0.5235,0.0,0.5971666666666666,0.5428333333333333,0.588,0.8616666666666668,0.5375,0.5473333333333332,0.5479999999999999,0.5638333333333333,0.5806666666666667,0.5275,0.5529999999999999,0.5971666666666666,0.5445,0.5818333333333333,0.6208333333333333,0.6138333333333333,0.5791666666666666,0.5466666666666666,0.5598333333333333,0.5853333333333333,0.5358333333333334,0.5741666666666666,0.5865,0.632
SU3adj1nf2,1.0,0.7105,0.7338333333333334,0.5971666666666666,0.0,0.8788333333333334,0.5834999999999999,0.8941666666666666,0.9663333333333334,0.9748333333333333,0.9670000000000001,0.6355000000000001,0.589,0.6613333333333332,0.8795000000000002,0.5456666666666666,0.9765,0.7445,0.7943333333333333,0.5549999999999999,0.7180000000000001,0.9731666666666667,0.9116666666666666,0.7946666666666665,0.5670000000000001,0.7114999999999999,0.7826666666666666,0.6363333333333333
SU5s1a1A2F8nf0,0.9995,0.9480000000000001,0.5289999999999999,0.5428333333333333,0.8788333333333334,0.0,0.8683333333333333,0.8931666666666667,0.8538333333333334,0.6273333333333333,0.9503333333333335,0.6178333333333333,0.5888333333333333,0.6004999999999999,0.7795000000000001,0.86,0.6339999999999999,0.847,0.8906666666666666,0.8846666666666667,0.8546666666666667,0.7001666666666666,0.8351666666666666,0.8541666666666665,0.5523333333333333,0.8515,0.8693333333333334,0.6363333333333333
SU3adj1nf3,1.0,0.8731666666666666,0.6605,0.588,0.5834999999999999,0.8683333333333333,0.0,0.894,0.9375,0.9748333333333333,0.9655,0.6353333333333333,0.589,0.6459999999999999,0.7698333333333335,0.7223333333333332,0.9741666666666667,0.7278333333333334,0.9166666666666665,0.8270000000000001,0.5893333333333333,0.972,0.8815000000000001,0.9088333333333333,0.5645,0.5833333333333334,0.902,0.6363333333333333
SU3nf6,0.7603333333333333,0.8948333333333331,0.8816666666666666,0.8616666666666668,0.8941666666666666,0.8931666666666667,0.894,0.0,0.8943333333333334,0.8965000000000001,0.8985,0.8278333333333334,0.6014999999999999,0.8768333333333334,0.8965000000000001,0.8951666666666666,0.8965,0.8918333333333334,0.8956666666666666,0.8951666666666666,0.8946666666666667,0.8959999999999999,0.8956666666666666,0.8956666666666666,0.8525,0.8938333333333333,0.8956666666666666,0.6175
SU5s1a1A2F8nf1,0.9943333333333334,0.9778333333333334,0.5268333333333333,0.5375,0.9663333333333334,0.8538333333333334,0.9375,0.8943333333333334,0.0,0.9129999999999999,0.6908333333333333,0.6155,0.5926666666666667,0.6016666666666667,0.7830000000000001,0.9446666666666669,0.909,0.9286666666666668,0.9725000000000001,0.9576666666666667,0.9106666666666667,0.8973333333333333,0.8723333333333333,0.9396666666666669,0.5805,0.9011666666666668,0.9455,0.6403333333333333
SU6s2S2nf1,1.0,0.9803333333333335,0.5508333333333333,0.5473333333333332,0.9748333333333333,0.6273333333333333,0.9748333333333333,0.8965000000000001,0.9129999999999999,0.0,0.9755000000000001,0.6253333333333333,0.5896666666666666,0.63,0.8390000000000001,0.9743333333333335,0.5958333333333334,0.9375,0.9801666666666666,0.9698333333333334,0.9676666666666666,0.6448333333333334,0.898,0.9605,0.5785000000000001,0.9644999999999999,0.9743333333333333,0.6403333333333333
