Theories,SU2nf4,SU2adj1nf2,SU3adj1nf2,SU3adj1nf3,SU3nf6,SU3adj1nf4,SU5adj1nf2,SU5adj1nf4,Sp2nf5,SU3nf5,SU2nf5,SO5nf5
SU2nf4,0.0,1.0,0.9998333333333334,1.0,0.8848333333333332,0.9998333333333334,0.9998333333333334,1.0,1.0,0.9253333333333333,1.0,0.9998333333333334
SU2adj1nf2,1.0,0.0,0.6168333333333333,0.8343333333333333,0.883,0.9430000000000001,0.7796666666666665,0.9681666666666667,0.9826666666666667,0.9213333333333332,0.9971666666666666,0.8353333333333335
SU3adj1nf2,0.9998333333333334,0.6168333333333333,0.0,0.7508333333333332,0.8833333333333334,0.9278333333333335,0.747,0.9651666666666666,0.9846666666666668,0.9321666666666667,0.9966666666666667,0.8695
SU3adj1nf3,1.0,0.8343333333333333,0.7508333333333332,0.0,0.8823333333333333,0.7588333333333334,0.5506666666666666,0.944,0.99,0.9156666666666666,0.997,0.8208333333333332
SU3nf6,0.8848333333333332,0.883,0.8833333333333334,0.8823333333333333,0.0,0.8793333333333334,0.8825,0.8676666666666665,0.9934999999999999,0.8788333333333332,0.9058333333333333,0.8780000000000001
SU3adj1nf4,0.9998333333333334,0.9430000000000001,0.9278333333333335,0.7588333333333334,0.8793333333333334,0.0,0.8,0.6743333333333332,0.9988333333333332,0.893,0.997,0.7660000000000001
SU5adj1nf2,0.9998333333333334,0.7796666666666665,0.747,0.5506666666666666,0.8825,0.8,0.0,0.9448333333333333,0.9845,0.9159999999999999,0.9971666666666666,0.8171666666666667
SU5adj1nf4,1.0,0.9681666666666667,0.9651666666666666,0.944,0.8676666666666665,0.6743333333333332,0.9448333333333333,0.0,0.9998333333333334,0.9005,0.9898333333333333,0.9593333333333334
Sp2nf5,1.0,0.9826666666666667,0.9846666666666668,0.99,0.9934999999999999,0.9988333333333332,0.9845,0.9998333333333334,0.0,0.9528333333333334,0.9926666666666668,0.9771666666666667
SU3nf5,0.9253333333333333,0.9213333333333332,0.9321666666666667,0.9156666666666666,0.8788333333333332,0.893,0.9159999999999999,0.9005,0.9528333333333334,0.0,0.8763333333333333,0.8759999999999998
SU2nf5,1.0,0.9971666666666666,0.9966666666666667,0.997,0.9058333333333333,0.997,0.9971666666666666,0.9898333333333333,0.9926666666666668,0.8763333333333333,0.0,0.9286666666666666
SO5nf5,0.9998333333333334,0.8353333333333335,0.8695,0.8208333333333332,0.8780000000000001,0.7660000000000001,0.8171666666666667,0.9593333333333334,0.9771666666666667,0.8759999999999998,0.9286666666666666,0.0
